generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty	avg_mlp_loss	min_mlp_loss	max_mlp_loss
0	9.42	3.46	4	16	0.410	0.0	1.5	1.1277	0.0630	1.8618
1	11.56	3.41	3	18	0.320	0.0	0.5	1.1676	0.4245	1.8607
2	13.66	3.05	7	18	0.370	0.0	1.0	1.0400	0.2645	1.8486
3	12.14	4.30	3	18	0.270	0.0	0.5	0.9882	0.3487	1.6417
4	13.22	3.32	6	18	0.240	0.0	1.0	0.9242	0.2645	1.5641
5	13.04	3.97	3	18	0.220	0.0	0.5	0.9138	0.2657	1.6668
6	12.52	4.05	3	18	0.270	0.0	1.0	1.0650	0.0591	1.8561
7	12.94	4.15	4	18	0.270	0.0	1.0	0.9104	0.3597	1.6220
8	13.62	4.21	3	18	0.330	0.0	1.0	0.7441	0.3597	1.6337
9	13.58	4.38	5	18	0.440	0.0	1.0	0.7739	0.3212	1.7262
10	14.08	4.35	4	18	0.480	0.0	1.0	0.7214	0.3113	1.6220
11	13.16	4.70	4	18	0.420	0.0	1.0	0.6869	0.0774	1.6220
12	11.66	4.57	3	18	0.350	0.0	1.0	0.8887	0.1267	1.7882
13	13.22	3.92	5	18	0.320	0.0	1.0	0.8947	0.2763	1.7882
14	11.48	4.20	4	18	0.380	0.0	1.0	0.8222	0.0423	1.7224
15	11.84	4.01	4	18	0.330	0.0	1.0	0.9565	0.2002	1.6922
16	12.20	4.16	4	18	0.360	0.0	1.0	0.8496	0.2569	1.5833
17	12.22	4.21	5	18	0.300	0.0	0.5	0.8957	0.3758	1.8607
18	11.86	4.26	4	18	0.330	0.0	1.0	0.7921	0.1027	1.6559
19	12.10	4.19	6	18	0.400	0.0	1.5	0.8546	0.1300	1.7389
20	11.74	4.14	4	18	0.260	0.0	1.0	0.9254	0.1064	1.8649
21	11.92	4.08	5	18	0.290	0.0	1.0	0.8930	0.2627	1.8663
22	12.44	4.30	5	18	0.330	0.0	1.0	0.8329	0.1240	1.7349
23	12.08	4.36	5	18	0.380	0.0	1.5	0.7276	0.1191	1.7224
24	11.76	4.03	5	18	0.280	0.0	1.0	0.8211	0.0983	1.8649
25	12.00	4.06	3	18	0.310	0.0	1.5	0.8509	0.1565	1.5811
26	11.80	4.60	3	18	0.300	0.0	1.0	0.7759	0.1393	1.8649
27	11.44	4.00	3	18	0.280	0.0	1.5	0.8638	0.0983	1.8607
28	11.66	4.34	5	18	0.230	0.0	1.0	0.8676	0.0316	1.6922
29	11.70	4.78	3	18	0.230	0.0	1.0	0.7961	0.1172	1.6421
30	12.78	4.19	4	18	0.170	0.0	0.5	0.7840	0.2660	1.6421
31	12.62	4.44	5	18	0.120	0.0	1.0	0.8051	0.2153	1.7262
32	12.30	4.31	4	18	0.170	0.0	0.5	0.8937	0.2660	1.8649
33	12.28	4.60	3	18	0.130	0.0	1.0	0.9022	0.1172	1.7224
34	13.60	4.26	6	18	0.100	0.0	0.5	0.8513	0.1172	1.8607
35	13.02	4.42	6	18	0.060	0.0	1.0	0.7586	0.2753	1.6582
36	13.68	4.51	5	18	0.140	0.0	1.0	0.8544	0.3284	1.8137
37	14.08	4.09	4	18	0.200	0.0	1.5	0.7728	0.0922	1.7291
38	13.62	4.36	4	18	0.130	0.0	1.0	0.8379	0.1934	1.5992
39	14.24	4.12	4	18	0.160	0.0	1.5	0.7591	0.1172	1.7034
40	14.56	3.78	4	18	0.130	0.0	1.0	0.8154	0.0894	1.6169
41	14.52	3.41	8	18	0.140	0.0	1.0	0.8233	0.1388	1.5641
42	14.60	3.76	5	18	0.050	0.0	0.5	0.8425	0.3166	1.5460
43	14.68	3.87	6	18	0.040	0.0	0.5	0.7477	0.2230	1.7185
44	14.00	3.72	6	18	0.100	0.0	1.0	0.8479	0.4154	1.5726
45	13.20	4.22	5	18	0.140	0.0	1.0	0.8388	0.0960	1.6865
46	13.82	3.70	4	18	0.240	0.0	1.5	0.7968	0.0536	1.7064
47	14.94	3.89	3	18	0.120	0.0	1.0	0.7746	0.2449	1.7224
48	13.94	4.22	5	18	0.120	0.0	1.0	0.8504	0.1957	1.7262
49	14.64	3.92	4	18	0.120	0.0	1.0	0.7884	0.3716	1.6384
50	14.78	3.32	6	18	0.090	0.0	1.0	0.8600	0.3830	1.7882
