generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty	avg_mlp_loss	min_mlp_loss	max_mlp_loss
0	8.72	4.15	2	18	0.440	0.0	1.0	1.7940	0.2000	2.9471
1	10.54	4.49	2	18	0.340	0.0	1.0	1.7075	0.1700	2.8810
2	12.48	4.13	4	18	0.340	0.0	0.5	1.6834	0.6703	2.8375
3	12.40	5.02	3	18	0.340	0.0	0.5	1.4882	0.3820	2.8559
4	13.54	4.85	4	18	0.390	0.0	0.5	1.4151	0.7434	2.9518
5	14.36	4.53	4	18	0.390	0.0	0.5	1.3587	0.1881	2.8932
6	13.86	5.37	2	18	0.400	0.0	0.5	1.1956	0.7426	2.6791
7	14.62	4.89	2	18	0.390	0.0	0.5	1.1291	0.6208	2.8518
8	15.02	4.35	2	18	0.400	0.0	0.5	1.3271	0.6381	2.9521
9	14.42	4.82	2	18	0.400	0.0	1.0	1.2841	0.5022	2.9521
10	15.26	4.58	2	18	0.380	0.0	0.5	1.0544	0.6381	2.9100
11	15.44	4.39	2	18	0.390	0.0	0.5	1.0257	0.5114	2.8160
12	14.62	4.71	4	18	0.370	0.0	1.0	1.1227	0.3505	2.8810
13	15.02	4.44	2	18	0.360	0.0	1.5	1.1184	0.6381	2.5984
14	13.10	5.25	2	18	0.330	0.0	1.0	1.1117	0.1273	2.8698
15	13.98	5.11	2	18	0.280	0.0	0.5	1.0988	0.6381	2.8006
16	14.44	4.78	2	18	0.300	0.0	1.0	1.0038	0.4130	2.7371
17	14.60	4.22	4	18	0.240	0.0	1.0	1.0791	0.3279	2.9521
18	13.90	4.76	2	18	0.240	0.0	1.0	1.1270	0.4221	2.8006
19	14.26	4.28	2	18	0.130	0.0	1.5	1.1001	0.0791	2.9518
20	13.70	3.93	2	18	0.110	0.0	0.5	1.0339	0.3739	2.8006
21	14.14	3.59	8	18	0.140	0.0	1.0	0.9816	0.3333	2.9518
22	14.52	3.92	5	18	0.210	0.0	1.5	0.9857	0.0939	2.9373
23	14.32	4.02	4	18	0.220	0.0	1.5	0.9549	0.0602	2.9471
24	15.10	3.37	9	18	0.060	0.0	0.5	1.0172	0.0825	2.9041
25	14.46	3.70	4	18	0.190	0.0	1.0	0.8312	0.2639	2.6910
26	14.28	4.41	3	18	0.170	0.0	1.0	0.8725	0.1986	2.8006
27	14.62	4.38	3	18	0.160	0.0	1.0	0.8190	0.1460	2.7355
28	13.60	4.55	2	18	0.180	0.0	1.0	0.8721	0.1986	2.9522
29	13.38	4.47	2	18	0.170	0.0	1.0	0.7833	0.0878	2.8698
30	14.54	4.11	3	18	0.190	0.0	1.0	0.7954	0.0727	2.8810
31	14.34	4.06	4	18	0.140	0.0	1.0	0.7561	0.1986	2.5640
32	14.38	3.78	4	18	0.120	0.0	1.0	0.7872	0.1071	2.5640
33	13.86	4.48	2	18	0.220	0.0	1.0	0.6205	0.0449	2.6486
34	13.14	5.57	2	18	0.150	0.0	1.0	0.7247	0.1986	2.0070
35	13.62	4.77	2	18	0.190	0.0	1.0	0.7255	0.1448	2.6486
36	13.76	4.62	2	18	0.190	0.0	1.0	0.6965	0.0927	2.9186
37	14.02	4.34	2	18	0.170	0.0	1.0	0.7250	0.1305	2.9133
38	14.30	4.49	2	18	0.140	0.0	1.0	0.6688	0.0364	1.9466
39	14.50	4.46	4	18	0.130	0.0	1.0	0.6426	0.1986	1.8130
40	12.84	4.98	2	18	0.190	0.0	1.5	0.6937	0.1622	2.6486
41	13.58	4.22	5	18	0.210	0.0	1.0	0.5847	0.0267	2.6791
42	13.96	4.01	5	18	0.240	0.0	1.0	0.7726	0.0582	2.9041
43	13.06	4.91	2	18	0.160	0.0	1.0	0.7395	0.0662	2.6486
44	14.14	4.69	2	18	0.190	0.0	1.5	0.6796	0.1391	2.3786
45	14.22	4.50	5	18	0.200	0.0	1.0	0.7850	0.1262	2.4527
46	14.86	4.11	5	18	0.210	0.0	1.0	0.8127	0.0154	2.8810
47	14.20	4.53	4	18	0.140	0.0	1.5	0.7505	0.0662	2.9521
48	13.14	4.96	2	18	0.170	0.0	1.0	0.7510	0.1391	2.6775
49	12.68	4.83	2	18	0.150	0.0	1.0	0.7363	0.0889	2.3889
50	12.92	4.22	3	18	0.190	0.0	1.0	0.7480	0.0999	2.8560
