	21 Time Points	5 Time Points
n_pairs	9	25
bni3_mean	0.5407094594444444	0.4976120506
boolnet_mean	0.5051413914444445	0.50736836988
mean_diff	0.035568067999999994	-0.009756319280000003
median_diff	0.020000000000000018	-0.013986013999999991
statistic	9.0	135.0
p_value	0.25	0.4593160394594723
significance	ns	ns
