rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition	mlp_loss
1	G10	18	1	0.5	G10	1	7	0.24500344922006037
2	G10	18	1	0.5	G10	1	7	0.24500344922006037
3	G10	18	1	0.5	G10	1	7	0.24500344922006037
4	G10	18	1	0.5	G10	1	7	0.24500344922006037
5	G10	18	1	0.5	G10	1	7	0.24500344922006037
6	G10	18	1	0.5	G10	1	7	0.24500344922006037
7	G10	18	1	0.5	G10	1	7	0.24500344922006037
8	G10	18	1	0.5	G10	1	7	0.24500344922006037
9	G10	18	1	0.5	G10	1	7	0.24500344922006037
10	G10	18	1	0.5	G10	1	7	0.24500344922006037
11	G10	18	1	0.5	G10	1	7	0.24500344922006037
12	G10	18	1	0.5	G10	1	7	0.24500344922006037
13	G10	18	1	0.5	G10	1	7	0.3462663062622073
14	G10	18	1	0.5	G10	1	7	0.8333770958662527
15	G10	18	1	0.5	G10	1	7	0.8333770958662527
16	G10	18	1	0.5	G10	1	7	0.8333770958662527
17	G10	18	1	0.5	G10	1	7	0.8333770958662527
18	G10	18	1	0.5	G10	1	7	0.8428014306446087
19	G10	18	1	0.5	G10	1	7	0.8043708946866295
20	G10	18	1	0.5	G10	1	7	0.8043708946866295
21	G10	18	1	0.5	G10	1	7	0.8043708946866295
22	G10	18	1	0.5	G10	1	7	0.8043708946866295
23	G10	18	1	0.5	G10	1	7	0.8043708946866295
24	G10 | (G1 & G7)	17	3	0.0	G1, G10, G7	3	7	0.32835845152505794
25	G10 | (G1 & G3)	17	3	0.0	G1, G10, G3	3	7	0.4392300051770986
26	G10 & (G2 | G7)	15	3	0.0	G10, G2, G7	3	7	0.4140919128492623
27	G10 | G5	14	2	0.0	G10, G5	2	7	0.8310845502970652
28	G10 | (G4 & G5)	14	3	0.0	G10, G4, G5	3	7	0.49167086892793344
29	G6 & (G10 | G4 | G5)	14	4	0.5	G10, G4, G5, G6	4	7	0.5716872964136078
30	G10 | G4	13	2	0.0	G10, G4	2	7	0.24500344922006037
31	G10 | G4	13	2	0.0	G10, G4	2	7	0.8333770958662527
32	G10 & G4	13	2	0.0	G10, G4	2	7	0.8333770958662527
33	G10 & G4	13	2	0.0	G10, G4	2	7	0.8333770958662527
34	G10 | G4	13	2	0.0	G10, G4	2	7	0.8333770958662527
35	G10 | G4	13	2	0.0	G10, G4	2	7	0.8333770958662527
36	G10 | G4	13	2	0.0	G10, G4	2	7	0.8333770958662527
37	G10 & G4	13	2	0.0	G10, G4	2	7	0.8333770958662527
38	G10 | G3 | G4	12	3	0.0	G10, G3, G4	3	7	0.7002654952120612
39	G10 | G7	12	2	0.0	G10, G7	2	7	0.7725062636688113
40	G7 & (G1 | G10) & (G10 | G4)	12	4	0.5	G1, G10, G4, G7	4	7	0.45322828854301156
41	G10 & G4 & (G1 | G7)	12	4	0.5	G1, G10, G4, G7	4	7	0.45322828854301156
42	G7 & (G1 | G10) & (G10 | G9)	11	4	0.5	G1, G10, G7, G9	4	7	0.39270429215268454
43	G1 & G10 & G4 & G7	10	4	0.5	G1, G10, G4, G7	4	7	0.45322828854301156
44	False	10	1	0.5	False	1	7	0.8043708946866295
45	G1 & G10 & G5 & G7	10	4	0.5	G1, G10, G5, G7	4	7	0.12093469831319885
46	G10 & G4 & (G1 | G7) & (G1 | G8)	10	5	1.0	G1, G10, G4, G7, G8	5	7	0.2080048432556144
47	G1 | (G10 & G4)	9	3	0.0	G1, G10, G4	3	7	0.24500344922006037
48	G4 & G5	9	2	0.0	G4, G5	2	7	2.683855811790748
49	G2 & G4	8	2	0.0	G2, G4	2	7	2.2923539720488586
50	G4	8	1	0.5	G4	1	7	1.882568494676141
