Size	Method	Rep	TP	FP	FN	TN	Precision	Recall	F1_score	Accuracy	Specificity	MCC	Balanced_Accuracy	Coverage_Ratio	DynamicAccuracy	N_Predicciones	N_GoldStandard	Reguladores_Promedio	Reguladores_Mediana	Reguladores_Max	Error_Promedio
size10_4	BoolNet_bestfit	5	3	35	10	42	0.0789473684210526	0.230769230769231	0.117647058823529	0.5	0.545454545454545	-0.159271294354638	0.388111888111888	2.92307692307692	0.97	38	13	3.8	4	5	0.6
size10_5	BoolNet_bestfit	1_5times	2	5	10	73	0.285714285714286	0.166666666666667	0.210526315789474	0.833333333333333	0.935897435897436	0.130180292337871	0.551282051282051	0.583333333333333	1	7	12	0.7	1	1	0
size10_5	BoolNet_bestfit	1	1	22	11	56	0.0434782608695652	0.0833333333333333	0.0571428571428571	0.633333333333333	0.717948717948718	-0.154872283028039	0.400641025641026	1.91666666666667	0.97	23	12	2.3	2	4	0.6
size10_5	BoolNet_bestfit	2_5times	3	6	9	72	0.333333333333333	0.25	0.285714285714286	0.833333333333333	0.923076923076923	0.196116135138184	0.586538461538462	0.75	1	9	12	0.9	1	2	0
size10_5	BoolNet_bestfit	2	7	11	5	67	0.388888888888889	0.583333333333333	0.466666666666667	0.822222222222222	0.858974358974359	0.375889259014853	0.721153846153846	1.5	0.975	18	12	1.8	1.5	4	0.5
size10_5	BoolNet_bestfit	3_5times	2	7	10	71	0.222222222222222	0.166666666666667	0.19047619047619	0.811111111111111	0.91025641025641	0.0871627267280818	0.538461538461538	0.75	1	9	12	0.9	1	2	0
size10_5	BoolNet_bestfit	3	4	17	8	61	0.19047619047619	0.333333333333333	0.242424242424242	0.722222222222222	0.782051282051282	0.0927367001602779	0.557692307692308	1.75	0.965	21	12	2.1	2	4	0.7
size10_5	BoolNet_bestfit	4_5times	1	7	11	71	0.125	0.0833333333333333	0.1	0.8	0.91025641025641	-0.00765704864789611	0.496794871794872	0.666666666666667	1	8	12	0.8	1	1	0
size10_5	BoolNet_bestfit	4	4	14	8	64	0.222222222222222	0.333333333333333	0.266666666666667	0.755555555555556	0.82051282051282	0.130744090092123	0.576923076923077	1.5	0.95	18	12	1.8	2	3	1
size10_5	BoolNet_bestfit	5_5times	0	9	12	69	0	0	0	0.766666666666667	0.884615384615385	-0.130744090092123	0.442307692307692	0.75	1	9	12	0.9	1	2	0
size10_5	BoolNet_bestfit	5	6	29	6	49	0.171428571428571	0.5	0.25531914893617	0.611111111111111	0.628205128205128	0.0893980312535348	0.564102564102564	2.91666666666667	0.985	35	12	3.5	4	5	0.3
