Gene	Rule
ABA4	MYB44
ABCG31	FALSE
ABF3	MYB44
ABF4	MYB44
CYP707A3	HB5
DREB2A	MYB44
FBH3	MYB44
HB5	DREB2A
HB6	MYB44
HB7	DREB2A
MYB44	HB5
PP2C5	HB5
ZAT6	!DREB2A
