combination_id	final_score	composite_score	n_basins	avg_cycle_length	basin_entropy	final_state_concordance	fixed_point_ratio	total_literals	total_nots	avg_k	std_k	k_distance_from_2	G1_position	G1_rule	G10_position	G10_rule	G2_position	G2_rule	G3_position	G3_rule	G4_position	G4_rule	G5_position	G5_rule	G6_position	G6_rule	G7_position	G7_rule	G8_position	G8_rule	G9_position	G9_rule	composite_score_old
4_1_3_4_1_4_2_3_2_2	0.5592391125485353	2.16	5	1.8	1.5099925272704313	0.8	0.6	30	6	3.0	0.0	1.0	52	G10 & G3 & G9	6	G9 | (G4 & ~G6)	204	G3 | G6 | G8	72	G10 | G8 | ~G9	201	G6 & (G10 | G3)	130	~G3 & (G2 | G4)	211	G10 & G3 & G4	32	G2 & (G1 | G7)	32	G5 & (~G1 | ~G2)	39	G7 | G8 | ~G5	2.16
2_4_3_1_0_2_1_4_4_2	0.5592665504565982	2.11	4	2.5	0.9866431926547002	0.7	0.5	30	11	3.0	0.0	1.0	54	G5 & G9 & ~G4	87	G6 | G7 | ~G1	204	G3 | G6 | G8	27	~G7 | (~G3 & ~G9)	209	G7 & (G10 | G6)	139	G6 | (G1 & G5)	210	~G7 & ~G8 & ~G9	33	G2 & (G7 | ~G5)	18	G5 | (G1 & ~G8)	39	G7 | G8 | ~G5	2.11
0_1_1_3_0_4_4_1_0_1	0.5594444444444444	1.9	1	4.0	-0.0	0.0	0.0	30	12	3.0	0.0	1.0	56	G5 | (G7 & G8)	6	G9 | (G4 & ~G6)	202	G2 | G4 | ~G1	25	~G7 | (~G1 & ~G3)	209	G7 & (G10 | G6)	130	~G3 & (G2 | G4)	201	G2 & G6 & G8	30	G2 & G3 & ~G5	16	G5 & (~G6 | ~G8)	38	~G10 | ~G5 | ~G9	1.9
2_1_2_3_2_4_3_1_0_3	0.5594444444444444	1.9	1	4.0	-0.0	0.0	0.0	30	12	3.0	0.0	1.0	54	G5 & G9 & ~G4	6	G9 | (G4 & ~G6)	203	G9 | (G8 & ~G6)	25	~G7 | (~G1 & ~G3)	202	G10 & G9 & ~G2	130	~G3 & (G2 | G4)	212	G3 & G5 & G7	30	G2 & G3 & ~G5	16	G5 & (~G6 | ~G8)	40	~G5 | (G4 & G7)	1.9
1_3_0_3_0_4_4_1_1_4	0.5594444444444444	1.9	1	4.0	-0.0	0.0	0.0	30	12	3.0	0.0	1.0	55	G5 & (~G3 | ~G4)	86	G9 | (G1 & G5)	201	G3 | (G6 & ~G1)	25	~G7 | (~G1 & ~G3)	209	G7 & (G10 | G6)	130	~G3 & (G2 | G4)	201	G2 & G6 & G8	30	G2 & G3 & ~G5	24	G5 & (~G1 | ~G10)	41	G6 | ~G2 | ~G5	1.9
2_4_4_2_3_3_3_4_2_3	0.5594444444444444	1.9	1	4.0	-0.0	0.0	0.0	30	12	3.0	0.0	1.0	54	G5 & G9 & ~G4	87	G6 | G7 | ~G1	205	~G4 | (~G2 & ~G5)	26	G1 | G4 | G5	203	G3 & G6 & G9	129	~G3 | (~G2 & ~G4)	212	G3 & G5 & G7	33	G2 & (G7 | ~G5)	32	G5 & (~G1 | ~G2)	40	~G5 | (G4 & G7)	1.9
4_3_4_2_0_3_0_2_1_1	0.5594444444444444	1.9	1	4.0	-0.0	0.0	0.0	30	12	3.0	0.0	1.0	52	G10 & G3 & G9	86	G9 | (G1 & G5)	205	~G4 | (~G2 & ~G5)	26	G1 | G4 | G5	209	G7 & (G10 | G6)	129	~G3 | (~G2 & ~G4)	209	G7 & G8 & ~G3	31	G7 | (G3 & G8)	24	G5 & (~G1 | ~G10)	38	~G10 | ~G5 | ~G9	1.9
4_1_0_3_4_4_3_1_2_1	0.5594444444444444	1.9	1	4.0	-0.0	0.0	0.0	30	12	3.0	0.0	1.0	52	G10 & G3 & G9	6	G9 | (G4 & ~G6)	201	G3 | (G6 & ~G1)	25	~G7 | (~G1 & ~G3)	204	G1 & G10 & G4	130	~G3 & (G2 | G4)	212	G3 & G5 & G7	30	G2 & G3 & ~G5	32	G5 & (~G1 | ~G2)	38	~G10 | ~G5 | ~G9	1.9
4_3_1_1_1_0_1_1_2_2	0.5594444444444444	1.9	1	4.0	-0.0	0.0	0.0	30	12	3.0	0.0	1.0	52	G10 & G3 & G9	86	G9 | (G1 & G5)	202	G2 | G4 | ~G1	27	~G7 | (~G3 & ~G9)	201	G6 & (G10 | G3)	137	G4 & (G5 | ~G2)	210	~G7 & ~G8 & ~G9	30	G2 & G3 & ~G5	32	G5 & (~G1 | ~G2)	39	G7 | G8 | ~G5	1.9
2_4_4_2_1_4_0_0_0_4	0.5594444444444444	1.9	1	4.0	-0.0	0.0	0.0	30	12	3.0	0.0	1.0	54	G5 & G9 & ~G4	87	G6 | G7 | ~G1	205	~G4 | (~G2 & ~G5)	26	G1 | G4 | G5	201	G6 & (G10 | G3)	130	~G3 & (G2 | G4)	209	G7 & G8 & ~G3	29	~G5 & (G2 | G3)	16	G5 & (~G6 | ~G8)	41	G6 | ~G2 | ~G5	1.9
1_4_1_3_4_4_2_1_2_3	0.5594444444444444	1.9	1	4.0	-0.0	0.0	0.0	30	12	3.0	0.0	1.0	55	G5 & (~G3 | ~G4)	87	G6 | G7 | ~G1	202	G2 | G4 | ~G1	25	~G7 | (~G1 & ~G3)	204	G1 & G10 & G4	130	~G3 & (G2 | G4)	211	G10 & G3 & G4	30	G2 & G3 & ~G5	32	G5 & (~G1 | ~G2)	40	~G5 | (G4 & G7)	1.9
1_1_3_3_0_4_0_1_2_3	0.5594444444444444	1.9	1	4.0	-0.0	0.0	0.0	30	12	3.0	0.0	1.0	55	G5 & (~G3 | ~G4)	6	G9 | (G4 & ~G6)	204	G3 | G6 | G8	25	~G7 | (~G1 & ~G3)	209	G7 & (G10 | G6)	130	~G3 & (G2 | G4)	209	G7 & G8 & ~G3	30	G2 & G3 & ~G5	32	G5 & (~G1 | ~G2)	40	~G5 | (G4 & G7)	1.9
2_1_3_3_2_2_1_1_4_3	0.5594444444444444	1.9	1	4.0	-0.0	0.0	0.0	30	12	3.0	0.0	1.0	54	G5 & G9 & ~G4	6	G9 | (G4 & ~G6)	204	G3 | G6 | G8	25	~G7 | (~G1 & ~G3)	202	G10 & G9 & ~G2	139	G6 | (G1 & G5)	210	~G7 & ~G8 & ~G9	30	G2 & G3 & ~G5	18	G5 | (G1 & ~G8)	40	~G5 | (G4 & G7)	1.9
2_3_2_2_3_3_1_4_1_3	0.5594444444444444	1.9	1	4.0	-0.0	0.0	0.0	30	12	3.0	0.0	1.0	54	G5 & G9 & ~G4	86	G9 | (G1 & G5)	203	G9 | (G8 & ~G6)	26	G1 | G4 | G5	203	G3 & G6 & G9	129	~G3 | (~G2 & ~G4)	210	~G7 & ~G8 & ~G9	33	G2 & (G7 | ~G5)	24	G5 & (~G1 | ~G10)	40	~G5 | (G4 & G7)	1.9
2_3_4_1_3_0_3_1_4_4	0.5594444444444444	1.9	1	4.0	-0.0	0.0	0.0	30	12	3.0	0.0	1.0	54	G5 & G9 & ~G4	86	G9 | (G1 & G5)	205	~G4 | (~G2 & ~G5)	27	~G7 | (~G3 & ~G9)	203	G3 & G6 & G9	137	G4 & (G5 | ~G2)	212	G3 & G5 & G7	30	G2 & G3 & ~G5	18	G5 | (G1 & ~G8)	41	G6 | ~G2 | ~G5	1.9
4_4_2_3_1_3_4_1_1_3	0.5594444444444444	1.9	1	4.0	-0.0	0.0	0.0	30	12	3.0	0.0	1.0	52	G10 & G3 & G9	87	G6 | G7 | ~G1	203	G9 | (G8 & ~G6)	25	~G7 | (~G1 & ~G3)	201	G6 & (G10 | G3)	129	~G3 | (~G2 & ~G4)	201	G2 & G6 & G8	30	G2 & G3 & ~G5	24	G5 & (~G1 | ~G10)	40	~G5 | (G4 & G7)	1.9
0_4_0_3_3_4_3_1_0_1	0.5594444444444444	1.9	1	4.0	-0.0	0.0	0.0	30	12	3.0	0.0	1.0	56	G5 | (G7 & G8)	87	G6 | G7 | ~G1	201	G3 | (G6 & ~G1)	25	~G7 | (~G1 & ~G3)	203	G3 & G6 & G9	130	~G3 & (G2 | G4)	212	G3 & G5 & G7	30	G2 & G3 & ~G5	16	G5 & (~G6 | ~G8)	38	~G10 | ~G5 | ~G9	1.9
0_4_1_3_1_4_4_1_0_1	0.5594444444444444	1.9	1	4.0	-0.0	0.0	0.0	30	12	3.0	0.0	1.0	56	G5 | (G7 & G8)	87	G6 | G7 | ~G1	202	G2 | G4 | ~G1	25	~G7 | (~G1 & ~G3)	201	G6 & (G10 | G3)	130	~G3 & (G2 | G4)	201	G2 & G6 & G8	30	G2 & G3 & ~G5	16	G5 & (~G6 | ~G8)	38	~G10 | ~G5 | ~G9	1.9
4_1_2_1_1_2_1_1_2_2	0.5594444444444444	1.9	1	4.0	-0.0	0.0	0.0	30	12	3.0	0.0	1.0	52	G10 & G3 & G9	6	G9 | (G4 & ~G6)	203	G9 | (G8 & ~G6)	27	~G7 | (~G3 & ~G9)	201	G6 & (G10 | G3)	139	G6 | (G1 & G5)	210	~G7 & ~G8 & ~G9	30	G2 & G3 & ~G5	32	G5 & (~G1 | ~G2)	39	G7 | G8 | ~G5	1.9
