Gene	Position	Rule	Correct	N_Regulators	MSE	Score
G1	1	G33 | G44 | G68	19	3	0.222540	2.6650
G1	2	G33 | G44	19	2	0.391540	2.4960
G1	3	G44 | G67 | G68	19	3	0.536768	2.3507
G1	4	G33 | G68 | G88	19	3	0.626319	2.2612
G1	5	G44 | G89	19	2	0.751789	2.1357
G1	6	G1 | G11 | (G22 & G57)	18	4	0.539081	1.7984
G1	7	G44	19	1	0.643853	1.7436
G2	1	G10 & G46 & G63	20	3	0.054883	2.8826
G2	2	G17 & G46 & G63	19	3	0.093598	2.7939
G2	3	G10 & G46 & ~G78	19	3	0.375037	2.5125
G2	4	G46 & G63	20	2	0.498371	2.4391
G2	5	G46	19	1	0.256066	2.1314
G2	6	G10 & G63	19	2	0.924997	1.9625
G3	1	G60 & G82	18	2	0.753812	2.0837
G4	1	G25 | G67	19	2	0.249084	2.6384
G4	2	G25 | G83	18	2	0.346918	2.4906
G4	3	G25 | G64	18	2	0.589054	2.2484
G5	1	G79 | (~G89 & ~G97)	19	3	0.300840	2.5867
G5	2	~G97 | (G10 & G79)	19	3	0.332170	2.5553
G5	3	G72	18	1	0.983704	1.3538
G5	4	G79	18	1	1.034475	1.3375
G6	1	G77 | (G38 & G82)	18	3	0.249945	2.5876
G6	2	G38 | G77	17	2	0.471461	2.3160
G7	1	G91 | (G28 & G64)	20	3	0.191103	2.7464
G7	2	G28 | G91	20	2	0.420547	2.5170
G7	3	G91	19	1	0.356235	2.0313
G8	1	G24 & (G34 | ~G22)	19	3	0.140813	2.7467
G8	2	G24 & G8 & ~G22	19	3	0.223105	2.6644
G8	3	G24 & (G8 | ~G22)	19	3	0.223105	2.6644
G8	4	G8 & (~G22 | ~G24)	18	3	0.223105	2.6144
G8	5	G8 & ~G22	19	2	0.617760	2.2697
G8	6	G24 & G8	19	2	0.634189	2.2533
G8	7	G24 & (G8 | G89) & (G8 | G91)	19	4	0.202566	2.1849
G8	8	G24 & ~G22	19	2	0.959966	1.9275
G8	9	G24 | G46	18	2	1.028398	1.8375
G8	10	G24	18	1	1.011538	1.3375
G9	1	G6 & G65 & G74	16	3	0.482421	2.2551
G9	2	G74 & (G89 | ~G51)	16	3	0.775623	1.9619
G9	3	G6 & G74	16	2	1.016243	1.7375
G10	1	G42 & (G39 | G75)	19	3	0.197750	2.6898
G10	2	G42 & (G17 | G75)	19	3	0.225967	2.6615
G10	3	G42 & (G50 | G75)	19	3	0.262524	2.6250
G10	4	G42 & (G15 | G75)	19	3	0.312647	2.5749
G10	5	G42 & G75	19	2	0.793225	2.0943
G10	6	G42	18	1	0.610812	1.7267
G10	7	G87	18	1	0.845384	1.4921
G11	1	~G28 & ~G42 & ~G8	18	3	0.306648	2.5309
G11	2	~G25 & ~G42 & ~G8	18	3	0.442243	2.3953
G11	3	~G8	17	1	0.587774	1.6997
G12	1	G12 | G43 | G85	19	3	0.185071	2.7024
G12	2	G12 | G14 | G85	19	3	0.372093	2.5154
G12	3	G12 | G43	19	2	0.421098	2.4664
G12	4	G12 | G85	19	2	0.437199	2.4503
G12	5	G12 | G53	18	2	0.480710	2.3568
G12	6	G12 | G90	18	2	0.525308	2.3122
G12	7	G18 | G43	18	2	0.838808	1.9987
G12	8	G12 | G43 | G8 | G90	18	4	0.363634	1.9739
G12	9	G12 | (G43 & G8 & G90)	18	4	0.363634	1.9739
G12	10	G43 | G90	18	2	0.888929	1.9486
G12	11	G8 | G90	18	2	0.989487	1.8480
G12	12	G12	18	1	0.507779	1.8297
G13	1	G43 | G49 | G95	19	3	0.615491	2.2720
G13	2	G34 | G49 | G95	19	3	0.742306	2.1452
G13	3	G49 | G95	18	2	0.777819	2.0597
G14	1	~G44 & ~G57 & ~G7	20	3	0.160601	2.7769
G14	2	~G44 & ~G5 & ~G7	20	3	0.187102	2.7504
G14	3	~G44 & ~G7 & ~G78	20	3	0.224999	2.7125
G14	4	~G41 & ~G44	20	2	0.492202	2.4453
G14	5	~G44	20	1	0.535339	1.9022
G15	1	~G39	17	1	0.863372	1.4241
G16	1	G10 & (G35 | ~G91)	18	3	0.272290	2.5652
G16	2	~G35 & (~G64 | ~G91)	18	3	0.444821	2.3927
G16	3	G10	18	1	0.354534	1.9830
G16	4	~G83	18	1	1.052236	1.3375
G16	5	~G35	18	1	1.115555	1.3375
G17	1	G22 | G62 | G95	18	3	0.581233	2.2563
G17	2	G22 | G95	17	2	0.661098	2.1264
G18	1	G37 & (~G39 | ~G54)	18	3	0.522761	2.3147
G18	2	G37 & ~G39	18	2	0.894633	1.9429
G19	1	G35 & G4 & ~G5	19	3	0.173198	2.7143
G19	2	G35 & G4 & G76	19	3	0.195675	2.6918
G20	1	G52 | G7 | G72	18	3	0.374824	2.4627
G20	2	G33 | G52 | G7	18	3	0.439452	2.3980
G20	3	G52 | G72	18	2	0.586033	2.2515
G20	4	G52 | G7	17	2	0.541239	2.2463
G20	5	G72 | G96	17	2	0.746585	2.0409
G20	6	G33 | G52 | G7 | G72	18	4	0.346954	1.9905
G21	1	G33 & G44 & G74	19	3	0.515442	2.3721
G21	2	G20 & G44 & G74	18	3	0.484183	2.3533
G21	3	G20 & G33 & G74	19	3	0.893696	1.9938
G21	4	G33 & G74	19	2	1.000854	1.8875
G21	5	G44 & G74	18	2	1.374133	1.8375
G22	1	G10 & G47 & G55	20	3	0.069293	2.8682
G22	2	G10 & G33 & G69	20	3	0.147384	2.7901
G22	3	G10 & G69 & G98	20	3	0.263279	2.6742
G22	4	G10 & G33	20	2	0.278252	2.6592
G22	5	G10 & G98	20	2	0.419539	2.5180
G22	6	G10 & G55	20	2	0.441348	2.4962
G22	7	G10 & G69	20	2	0.596408	2.3411
G23	1	G15 | G43 | G63	15	3	0.766071	1.9214
G23	2	G43 | G63	14	2	1.179003	1.6375
G23	3	G90	15	1	0.642563	1.5449
G24	1	G76 & G8	18	2	0.912208	1.9253
G24	2	G8 & G93	19	2	1.068153	1.8875
G24	3	G93	18	1	1.068153	1.3375
G24	4	G8	18	1	1.011098	1.3375
G25	1	G100 & G19 & G87	19	3	0.189353	2.6981
G25	2	G19 & G87	19	2	0.748979	2.1385
