generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty
0	1.74	0.80	0	3	0.370	0.0	0.5
1	2.28	0.75	0	4	0.250	0.0	0.5
2	2.34	0.84	0	4	0.080	0.0	0.5
3	2.50	0.81	1	4	0.130	0.0	0.5
4	2.80	0.82	1	4	0.160	0.0	0.5
5	2.80	1.18	0	4	0.170	0.0	0.5
6	2.72	1.08	0	4	0.160	0.0	0.5
7	2.64	1.11	0	4	0.170	0.0	0.5
8	2.84	1.05	0	4	0.100	0.0	0.5
9	2.82	1.01	0	4	0.110	0.0	0.5
10	2.82	1.14	0	4	0.090	0.0	0.5
11	2.82	1.09	0	4	0.180	0.0	0.5
12	2.76	1.11	0	4	0.110	0.0	0.5
13	2.68	1.22	0	4	0.170	0.0	0.5
14	2.78	1.12	0	4	0.090	0.0	0.5
15	3.00	0.94	1	4	0.100	0.0	0.5
16	2.92	0.96	1	4	0.160	0.0	0.5
17	2.78	1.14	0	4	0.150	0.0	0.5
18	2.96	1.04	0	4	0.140	0.0	0.5
19	3.10	1.06	0	4	0.140	0.0	0.5
20	2.68	1.09	0	4	0.190	0.0	1.0
21	2.82	1.19	0	4	0.150	0.0	1.0
22	2.92	1.02	1	4	0.150	0.0	1.0
23	3.00	0.94	1	4	0.090	0.0	1.0
24	2.66	1.31	0	4	0.110	0.0	0.5
25	2.92	1.09	0	4	0.150	0.0	0.5
26	2.84	1.21	1	4	0.120	0.0	0.5
27	2.80	1.26	0	4	0.110	0.0	0.5
28	2.60	1.30	0	4	0.190	0.0	0.5
29	3.06	0.97	0	4	0.200	0.0	1.0
30	2.84	1.08	0	4	0.150	0.0	0.5
31	2.86	1.15	0	4	0.160	0.0	0.5
32	2.76	1.21	0	4	0.210	0.0	0.5
33	3.00	0.94	1	4	0.180	0.0	0.5
34	2.96	1.04	0	4	0.170	0.0	0.5
35	2.94	1.17	0	4	0.120	0.0	0.5
36	2.78	1.06	0	4	0.180	0.0	0.5
37	2.86	1.18	0	4	0.240	0.0	0.5
38	2.64	1.23	0	4	0.160	0.0	0.5
39	2.68	1.21	0	4	0.100	0.0	0.5
40	2.78	1.30	0	4	0.170	0.0	0.5
41	3.08	1.13	0	4	0.170	0.0	1.0
42	2.84	1.07	0	4	0.190	0.0	1.0
43	3.12	0.95	0	4	0.190	0.0	1.0
44	2.82	1.01	1	4	0.180	0.0	1.0
45	2.96	0.98	0	4	0.210	0.0	0.5
46	2.92	1.21	0	4	0.190	0.0	0.5
47	3.18	1.03	0	4	0.130	0.0	0.5
48	2.90	1.02	0	4	0.110	0.0	0.5
49	2.78	1.10	0	4	0.130	0.0	1.0
50	2.78	1.04	1	4	0.100	0.0	0.5
