generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty
0	2.28	1.28	0	4	0.370	0.0	0.5
1	2.60	1.34	0	4	0.320	0.0	0.5
2	2.94	1.36	0	4	0.370	0.0	0.5
3	3.14	1.31	0	4	0.210	0.0	0.5
4	3.06	1.29	0	4	0.110	0.0	0.5
5	3.36	1.14	0	4	0.090	0.0	0.5
6	3.60	0.87	0	4	0.110	0.0	0.5
7	3.68	0.65	1	4	0.130	0.0	0.5
8	3.56	0.98	0	4	0.100	0.0	1.5
9	3.66	0.71	1	4	0.170	0.0	0.5
10	3.48	0.96	0	4	0.130	0.0	1.0
11	3.36	1.21	0	4	0.120	0.0	0.5
12	3.46	1.02	1	4	0.070	0.0	0.5
13	3.38	1.11	0	4	0.080	0.0	0.5
14	3.60	0.82	1	4	0.080	0.0	0.5
15	3.52	0.85	1	4	0.120	0.0	0.5
16	3.26	1.15	0	4	0.140	0.0	1.0
17	3.40	1.15	0	4	0.140	0.0	0.5
18	3.58	0.92	0	4	0.110	0.0	1.0
19	3.44	1.00	0	4	0.100	0.0	0.5
20	3.62	0.77	1	4	0.100	0.0	0.5
21	3.50	1.12	0	4	0.080	0.0	0.5
22	3.46	0.92	0	4	0.130	0.0	1.5
23	3.34	1.18	0	4	0.140	0.0	0.5
24	3.56	1.02	0	4	0.130	0.0	1.0
25	3.50	1.08	0	4	0.120	0.0	0.5
26	3.66	0.86	0	4	0.110	0.0	1.0
27	3.44	1.02	0	4	0.150	0.0	0.5
28	3.52	0.98	0	4	0.170	0.0	0.5
29	3.36	1.13	0	4	0.090	0.0	0.5
30	3.32	1.12	0	4	0.110	0.0	0.5
31	3.62	0.89	0	4	0.140	0.0	0.5
32	3.44	0.88	1	4	0.140	0.0	1.0
33	3.66	0.68	2	4	0.100	0.0	0.5
34	3.52	0.92	1	4	0.120	0.0	0.5
35	3.52	0.98	0	4	0.100	0.0	0.5
36	3.24	1.16	0	4	0.120	0.0	0.5
37	3.52	0.98	0	4	0.160	0.0	1.0
38	3.42	1.02	1	4	0.090	0.0	0.5
39	3.34	1.12	0	4	0.110	0.0	0.5
40	3.56	0.98	0	4	0.090	0.0	0.5
41	3.38	1.15	0	4	0.150	0.0	1.0
42	3.50	1.02	1	4	0.070	0.0	0.5
43	3.22	1.29	0	4	0.100	0.0	0.5
44	3.62	0.85	0	4	0.130	0.0	0.5
45	3.64	0.87	1	4	0.050	0.0	0.5
46	3.48	1.00	1	4	0.110	0.0	1.0
47	3.44	1.10	0	4	0.070	0.0	0.5
48	3.62	0.87	0	4	0.090	0.0	0.5
49	3.42	0.96	0	4	0.090	0.0	0.5
50	3.54	0.96	0	4	0.080	0.0	0.5
