Size	Network	Method	Binarization	Rep	Source_File	Gene	Position	Rule	Score	MSE	Correct	TP	FP	FN	TN	Precision	Recall	F1_score	Accuracy	DynamicAccuracy	N_Predictions	N_Errors	N_Regulators
10	size10_3	rules_WCSS_size10_3_2	WCSS	2	rules_by_gene.tsv	G1	1	G1 | (~G3 & ~G5)	2.5364	0.34559	17	0	2	1	6	0	0	0	0.666666666666667	0.85	20	3	2
10	size10_3	rules_WCSS_size10_3_2	WCSS	2	rules_by_gene.tsv	G2	1	G2 | (G5 & ~G1)	2.7528	0.184713	18	1	1	1	6	0.5	0.5	0.5	0.777777777777778	0.9	20	2	2
10	size10_3	rules_WCSS_size10_3_2	WCSS	2	rules_by_gene.tsv	G3	1	G3 | G6 | ~G5	2.5629	0.319085	17	1	1	0	7	0.5	1	0.666666666666667	0.888888888888889	0.85	20	3	2
10	size10_3	rules_WCSS_size10_3_2	WCSS	2	rules_by_gene.tsv	G4	1	~G10 & ~G9	2.3013	0.525064	16	0	2	4	3	0	0	0	0.333333333333333	0.8	20	4	2
10	size10_3	rules_WCSS_size10_3_2	WCSS	2	rules_by_gene.tsv	G4	2	~G1 & ~G10 & ~G9	2.3013	0.525064	16	0	3	4	2	0	0	0	0.222222222222222	0.8	20	4	3
10	size10_3	rules_WCSS_size10_3_2	WCSS	2	rules_by_gene.tsv	G5	1	G10 | G2 | G4	2.2847	0.652821	18	0	3	1	5	0	0	0	0.555555555555556	0.9	20	2	3
10	size10_3	rules_WCSS_size10_3_2	WCSS	2	rules_by_gene.tsv	G6	1	G3 & G5 & G6	2.3191	0.451695	15	0	2	1	6	0	0	0	0.666666666666667	0.75	20	5	2
10	size10_3	rules_WCSS_size10_3_2	WCSS	2	rules_by_gene.tsv	G7	1	~G1 & (G4 | ~G6)	2.4168	0.46513	17	1	2	3	3	0.333333333333333	0.25	0.285714285714286	0.444444444444444	0.85	20	3	3
10	size10_3	rules_WCSS_size10_3_2	WCSS	2	rules_by_gene.tsv	G8	1	G9 & (G2 | G5)	2.4232	0.40323	16	0	3	1	5	0	0	0	0.555555555555556	0.8	20	4	3
10	size10_3	rules_WCSS_size10_3_2	WCSS	2	rules_by_gene.tsv	G8	2	G5 & G9	2.4232	0.40323	16	0	2	1	6	0	0	0	0.666666666666667	0.8	20	4	2
10	size10_3	rules_WCSS_size10_3_2	WCSS	2	rules_by_gene.tsv	G9	1	G2 | G4 | G9	2.0763	0.750047	16	0	2	0	7	0	0	0	0.777777777777778	0.8	20	4	2
10	size10_3	rules_WCSS_size10_3_2	WCSS	2	rules_by_gene.tsv	G10	1	G4 | (G5 & G6)	2.4146	0.467334	17	0	3	0	6	0	0	0	0.666666666666667	0.85	20	3	3
10	size10_3	rules_WCSS_size10_3_2	WCSS	2	rules_by_gene.tsv	G10	2	G5 & (G4 | G6)	2.4146	0.467334	17	0	3	0	6	0	0	0	0.666666666666667	0.85	20	3	3
