generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty	avg_mlp_loss	min_mlp_loss	max_mlp_loss
0	10.58	1.87	6	13	0.350	0.0	1.0	1.2432	0.3309	1.3843
1	11.16	1.95	7	14	0.340	0.0	1.0	1.2466	0.5159	1.3833
2	11.68	1.95	7	15	0.280	0.0	1.0	1.2429	0.3856	1.3843
3	12.28	2.05	7	15	0.200	0.0	0.5	1.2904	0.8555	1.3833
4	12.80	1.72	8	15	0.110	0.0	0.5	1.2869	0.8714	1.3833
5	12.72	2.19	7	15	0.110	0.0	0.5	1.2316	0.3309	1.3781
6	13.34	1.80	8	15	0.080	0.0	0.5	1.2633	0.6417	1.3833
7	13.40	1.66	9	15	0.080	0.0	0.5	1.2443	0.6417	1.3833
8	12.52	2.72	7	15	0.180	0.0	0.5	1.2046	0.4388	1.3781
9	12.96	2.38	7	15	0.150	0.0	1.0	1.2012	0.6417	1.3833
10	13.30	1.91	8	15	0.120	0.0	0.5	1.1839	0.6417	1.3842
11	13.28	1.82	7	15	0.140	0.0	0.5	1.1748	0.6417	1.3833
12	13.42	1.70	8	15	0.120	0.0	0.5	1.1340	0.6417	1.3843
13	13.38	1.53	9	15	0.160	0.0	1.0	1.1338	0.6417	1.3833
14	13.38	2.01	7	15	0.100	0.0	0.5	1.0507	0.5073	1.3833
15	13.14	1.76	8	15	0.180	0.0	1.0	1.0158	0.5179	1.3833
16	12.74	1.91	8	15	0.160	0.0	1.0	1.0745	0.3107	1.3833
17	12.68	2.17	7	15	0.180	0.0	1.5	1.0961	0.0141	1.3833
18	13.02	1.77	10	15	0.180	0.0	1.0	1.0412	0.2678	1.3833
19	13.04	2.05	6	15	0.140	0.0	1.0	1.0575	0.3770	1.3833
20	12.84	1.75	10	15	0.100	0.0	1.0	1.0538	0.3107	1.3833
21	12.84	1.91	9	15	0.150	0.0	1.0	0.9987	0.4951	1.3843
22	13.00	1.91	10	15	0.130	0.0	1.0	1.0592	0.6417	1.3843
23	13.20	1.75	9	15	0.120	0.0	1.0	1.1025	0.3107	1.3833
24	13.08	1.66	10	15	0.070	0.0	0.5	1.0851	0.6417	1.3843
25	13.16	1.76	8	15	0.150	0.0	0.5	1.0495	0.6417	1.3833
26	13.02	2.05	7	15	0.160	0.0	1.0	1.0434	0.3856	1.3833
27	13.26	1.72	10	15	0.180	0.0	1.0	1.0957	0.4795	1.3843
28	13.42	1.84	8	15	0.120	0.0	0.5	1.1360	0.5311	1.3833
29	13.42	1.51	10	15	0.130	0.0	1.0	1.0949	0.6417	1.3833
30	13.06	1.68	10	15	0.130	0.0	0.5	1.0482	0.6417	1.3833
31	13.36	1.55	10	15	0.100	0.0	0.5	1.0474	0.4372	1.3833
32	13.16	1.76	8	15	0.190	0.0	1.0	1.0553	0.4951	1.3833
33	12.58	1.83	8	15	0.110	0.0	1.0	1.1042	0.2920	1.3843
34	13.02	2.04	7	15	0.150	0.0	0.5	1.0006	0.3656	1.3843
35	13.14	1.55	10	15	0.110	0.0	1.0	1.0446	0.3107	1.3843
36	13.06	1.94	7	15	0.140	0.0	1.0	1.0643	0.3065	1.3843
37	13.04	1.79	8	15	0.180	0.0	1.0	1.0797	0.6417	1.3843
38	13.38	1.86	7	15	0.140	0.0	1.0	1.0898	0.6417	1.3833
39	13.46	1.70	10	15	0.070	0.0	0.5	1.0979	0.6417	1.3843
40	13.48	1.79	7	15	0.120	0.0	1.0	1.0514	0.4577	1.3833
41	13.14	1.71	10	15	0.120	0.0	0.5	1.0998	0.5603	1.3833
42	13.10	1.99	8	15	0.070	0.0	0.5	1.1022	0.6417	1.3833
43	13.48	1.36	10	15	0.150	0.0	1.0	1.0892	0.6226	1.3833
44	12.94	2.17	6	15	0.050	0.0	0.5	1.0788	0.2560	1.3833
45	12.88	1.91	9	15	0.100	0.0	1.0	1.0689	0.3107	1.3833
46	12.88	2.03	7	15	0.160	0.0	1.0	1.1125	0.6417	1.3833
47	13.42	1.56	7	15	0.130	0.0	1.0	1.0862	0.3107	1.3697
48	13.14	1.90	9	15	0.150	0.0	1.0	1.0677	0.6226	1.3833
49	13.42	1.54	10	15	0.130	0.0	1.0	1.0730	0.3065	1.3843
50	13.28	1.54	10	15	0.060	0.0	0.5	1.0194	0.4387	1.3833
