rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition	mlp_loss
1	G8 | (G30 & G93)	17	3	0.0	G30, G8, G93	3	1	0.6574077192206271
2	G8 | (G30 & G93)	17	3	0.0	G30, G8, G93	3	1	0.6574077192206271
3	G8 | (G30 & G93)	17	3	0.0	G30, G8, G93	3	1	0.6574077192206271
4	G8 | (G30 & G93)	17	3	0.0	G30, G8, G93	3	1	0.6574077192206271
5	G8 | (G30 & G93)	17	3	0.0	G30, G8, G93	3	1	0.6574077192206271
6	G8 | (G30 & G93)	17	3	0.0	G30, G8, G93	3	1	0.6574077192206271
7	G8 | (G30 & G93)	17	3	0.0	G30, G8, G93	3	1	0.6574077192206271
8	G8 | (G30 & G93)	17	3	0.0	G30, G8, G93	3	1	0.6574077192206271
9	G8 | (G30 & G93)	17	3	0.0	G30, G8, G93	3	1	0.6574077192206271
10	G8 | (G30 & G93)	17	3	0.0	G30, G8, G93	3	1	0.6574077192206271
11	G8 | (G30 & G93)	17	3	0.0	G30, G8, G93	3	1	0.6574077192206271
12	G8 | (G30 & G93)	17	3	0.0	G30, G8, G93	3	1	0.6574077192206271
13	G8 | (G47 & G93)	17	3	0.0	G47, G8, G93	3	1	0.9552199145084885
14	G8 | G93	17	2	0.0	G8, G93	2	1	0.9864636161963002
15	G8 | (G23 & G93) | (G38 & G93)	17	4	0.5	G23, G38, G8, G93	4	1	0.5566056515487966
16	G93 | (G31 & G38 & G8)	16	4	0.5	G31, G38, G8, G93	4	1	0.36228928805922067
17	G8 | (G57 & G93)	15	3	0.0	G57, G8, G93	3	1	0.7957448763380439
18	G30 & G93	15	2	0.0	G30, G93	2	1	1.1018418938698449
19	G93	15	1	0.5	G93	1	1	1.266327394495372
20	G93	15	1	0.5	G93	1	1	1.266327394495372
21	G30 | G8 | G93	14	3	0.0	G30, G8, G93	3	1	0.6574077192206271
22	G30 | G8	14	2	0.0	G30, G8	2	1	1.1737087317126336
23	G30 | G8	14	2	0.0	G30, G8	2	1	1.1737087317126336
24	G30 & G8	14	2	0.0	G30, G8	2	1	1.1737087317126336
25	G77 & G8	14	2	0.0	G77, G8	2	1	1.1819634290989696
26	G8 | (G30 & G49)	13	3	0.0	G30, G49, G8	3	1	0.7001526941530476
27	G38 & (G30 | G49)	13	3	0.0	G30, G38, G49	3	1	1.0461186242319198
28	G30 | G93	13	2	0.0	G30, G93	2	1	1.1018418938698449
29	G30 & G38	13	2	0.0	G30, G38	2	1	1.3721678094670193
30	G30 | (G23 & G93) | (G38 & G93)	13	4	0.5	G23, G30, G38, G93	4	1	0.8214747515305182
31	G30 & (G23 | G8) & (G38 | G8)	13	4	0.5	G23, G30, G38, G8	4	1	1.0976717783384577
32	G30	13	1	0.5	G30	1	1	1.3673624116789722
33	G23 & G38 & (G49 | G78 | G8)	13	5	1.0	G23, G38, G49, G78, G8	5	1	0.10237409465723019
34	G8 & (G23 | G38) & (G47 | G80)	13	5	1.0	G23, G38, G47, G8, G80	5	1	0.9758404248305036
35	G52 | G8	12	2	0.0	G52, G8	2	1	1.188326626825098
36	G23 & G92 & (G48 | ~G47)	12	4	0.5	G23, G47, G48, G92	4	1	0.4845459130904022
37	G38 | G8	11	2	0.0	G38, G8	2	1	1.179773601190481
38	(G30 | G38) & (G38 | G80) & (~G23 | ~G47)	11	5	1.0	G23, G30, G38, G47, G80	5	1	1.1553828029279198
39	G38 | G93	10	2	0.0	G38, G93	2	1	1.2523245410440753
40	G80 & G90	10	2	0.0	G80, G90	2	1	1.2999998667295822
41	G38	10	1	0.5	G38	1	1	1.329668266769621
42	G30 | G38	10	2	0.0	G30, G38	2	1	1.3721678094670193
43	~G78	10	1	0.5	G78	1	1	1.4037763678214057
44	G38 | (G23 & G47)	9	3	0.0	G23, G38, G47	3	1	0.9185677375183787
45	G23 | G38 | G93	8	3	0.0	G23, G38, G93	3	1	1.1814834183730902
46	G23 | G38	8	2	0.0	G23, G38	2	1	1.329668266769621
47	G23 | G38	8	2	0.0	G23, G38	2	1	1.329668266769621
48	G23 | G38	8	2	0.0	G23, G38	2	1	1.329668266769621
49	G23 | G29	8	2	0.0	G23, G29	2	1	1.375148551652718
50	G68	8	1	0.5	G68	1	1	1.278903883390874
