rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition	mlp_loss
1	True	18	1	0.5	True	1	3	0.3831970878153087
2	G3 | G6 | ~G8	18	3	0.0	G3, G6, G8	3	3	0.4326960966486172
3	G3 | G6 | ~G8	18	3	0.0	G3, G6, G8	3	3	0.4326960966486172
4	G3 | G6 | ~G8	18	3	0.0	G3, G6, G8	3	3	0.4326960966486172
5	G3 | G6 | ~G8	18	3	0.0	G3, G6, G8	3	3	0.4326960966486172
6	G3 | G6 | ~G8	18	3	0.0	G3, G6, G8	3	3	0.4326960966486172
7	G3 | ~G7 | ~G8	18	3	0.0	G3, G7, G8	3	3	0.4505231045642909
8	G3 | G7 | ~G8	18	3	0.0	G3, G7, G8	3	3	0.4505231045642909
9	G3 | G7 | ~G8	18	3	0.0	G3, G7, G8	3	3	0.4505231045642909
10	True	18	1	0.5	True	1	3	0.4505231045642909
11	G3 | G7 | G8	18	3	0.0	G3, G7, G8	3	3	0.4505231045642909
12	G3 | G7 | G8	18	3	0.0	G3, G7, G8	3	3	0.4505231045642909
13	G3 | G7 | G8	18	3	0.0	G3, G7, G8	3	3	0.4505231045642909
14	G3 | G7 | G8	18	3	0.0	G3, G7, G8	3	3	0.4505231045642909
15	G3 | G7 | G8	18	3	0.0	G3, G7, G8	3	3	0.4505231045642909
16	G3 | G5 | ~G8	18	3	0.0	G3, G5, G8	3	3	0.48328734398429307
17	True	18	1	0.5	True	1	3	1.1067373666458253
18	True	18	1	0.5	True	1	3	1.1067373666458253
19	G4 | G7	18	2	0.0	G4, G7	2	3	1.1757984630876495
20	G3 | G7	18	2	0.0	G3, G7	2	3	1.2728288843861157
21	G3 | G7	18	2	0.0	G3, G7	2	3	1.2728288843861157
22	G3 | G7	18	2	0.0	G3, G7	2	3	1.2728288843861157
23	G3 | G6 | G7 | G8	18	4	0.5	G3, G6, G7, G8	4	3	0.2452821615383359
24	G1 | G3 | G7 | G8	18	4	0.5	G1, G3, G7, G8	4	3	0.36224711369382034
25	G3 | G4 | G5 | G8	18	4	0.5	G3, G4, G5, G8	4	3	0.48004985183556903
26	G6 | G7 | G9	17	3	0.0	G6, G7, G9	3	3	0.3831970878153087
27	G3 | G6 | G8	17	3	0.0	G3, G6, G8	3	3	0.4326960966486172
28	G3 | (G8 & ~G7)	17	3	0.0	G3, G7, G8	3	3	0.4505231045642909
29	G4 | G6 | ~G8	17	3	0.0	G4, G6, G8	3	3	0.7485339339826933
30	G3	17	1	0.5	G3	1	3	0.8380410551864798
31	G7 | G8	17	2	0.0	G7, G8	2	3	1.1067373666458253
32	G7 | G8	17	2	0.0	G7, G8	2	3	1.1067373666458253
33	G7 | G8	17	2	0.0	G7, G8	2	3	1.1067373666458253
34	G7 | ~G8	17	2	0.0	G7, G8	2	3	1.1067373666458253
35	G10 | G7	16	2	0.0	G10, G7	2	3	1.4311818394328695
36	~G8	12	1	0.5	G8	1	3	1.1443939540288077
37	~G8	12	1	0.5	G8	1	3	1.1443939540288077
38	G4 | G8	11	2	0.0	G4, G8	2	3	1.1378298933805642
39	~G4	10	1	0.5	G4	1	3	1.2599995360546623
40	G6 | G8	9	2	0.0	G6, G8	2	3	0.9788867365092131
41	G8 | ~G7	9	2	0.0	G7, G8	2	3	1.1067373666458253
42	G6 | (~G3 & ~G8)	4	3	0.0	G3, G6, G8	3	3	0.4326960966486172
43	G9 | (~G7 & ~G8)	3	3	0.0	G7, G8, G9	3	3	0.7265251192753932
44	G6	3	1	0.5	G6	1	3	0.9788867365092131
45	~G1 & ~G5	3	2	0.0	G1, G5	2	3	1.1039171312362617
46	G10	3	1	0.5	G10	1	3	1.4311818394328695
47	G6	3	1	0.5	G6	1	3	0.8703761416997065
48	G6	3	1	0.5	G6	1	3	0.8703761416997065
49	~G3	3	1	0.5	G3	1	3	1.2738141154168408
50	G10 & G6	2	2	0.0	G10, G6	2	3	0.9517133870659513
