rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition	mlp_loss
1	G10 & G2 & G5	19	3	0.0	G10, G2, G5	3	9	0.21877672045580987
2	G10 & G2 & G5	19	3	0.0	G10, G2, G5	3	9	0.21877672045580987
3	G10 & G2 & G5	19	3	0.0	G10, G2, G5	3	9	0.21877672045580987
4	G10 & G2 & G5	19	3	0.0	G10, G2, G5	3	9	0.21877672045580987
5	G10 & G2 & G5	19	3	0.0	G10, G2, G5	3	9	0.21877672045580987
6	G10 & G2 & G5	19	3	0.0	G10, G2, G5	3	9	0.21877672045580987
7	G10 & G2 & G5	19	3	0.0	G10, G2, G5	3	9	0.21877672045580987
8	G10 & G2 & G5	19	3	0.0	G10, G2, G5	3	9	0.21877672045580987
9	G10 & G2 & G5	19	3	0.0	G10, G2, G5	3	9	0.21877672045580987
10	G10 & G2 & G5	19	3	0.0	G10, G2, G5	3	9	0.21877672045580987
11	G10 & G2 & G5	19	3	0.0	G10, G2, G5	3	9	0.21877672045580987
12	G10 & G2 & G5	19	3	0.0	G10, G2, G5	3	9	0.21877672045580987
13	G10 & G2 & G5	19	3	0.0	G10, G2, G5	3	9	0.21877672045580987
14	G2 & G5 & G9	19	3	0.0	G2, G5, G9	3	9	0.5049107969012393
15	G10 & G2 & G9	19	3	0.0	G10, G2, G9	3	9	0.5908782061283993
16	G10 & G2 & G9	19	3	0.0	G10, G2, G9	3	9	0.5908782061283993
17	G10 & G2 & G8	19	3	0.0	G10, G2, G8	3	9	0.6606445652748726
18	G1 & G10 & G2	19	3	0.0	G1, G10, G2	3	9	0.6615299154172931
19	G10 & G5 & G8	19	3	0.0	G10, G5, G8	3	9	0.8287274652719658
20	G10 & G2	19	2	0.0	G10, G2	2	9	1.1657901551524443
21	G10 & G2	19	2	0.0	G10, G2	2	9	1.1657901551524443
22	G10 & G2	19	2	0.0	G10, G2	2	9	1.1657901551524443
23	G10 & G3	19	2	0.0	G10, G3	2	9	1.254385694933963
24	G10 & G5 & G9	19	3	0.0	G10, G5, G9	3	9	1.316589543965553
25	G10 & G9	19	2	0.0	G10, G9	2	9	1.4183568244504667
26	G1 & G10 & G2 & G9	19	4	0.5	G1, G10, G2, G9	4	9	0.5509206277353845
27	G1 & G2 & ~G10 & ~G3	19	4	0.5	G1, G10, G2, G3	4	9	1.0741022206174977
28	G10 & G2 & G3 & G9	19	4	0.5	G10, G2, G3, G9	4	9	1.40864374014193
29	G10 & (G2 | G5)	18	3	0.0	G10, G2, G5	3	9	0.21877672045580987
30	G2 & G5	18	2	0.0	G2, G5	2	9	1.0414865686505268
31	G2 & G5	18	2	0.0	G2, G5	2	9	1.0414865686505268
32	G2 & G5	18	2	0.0	G2, G5	2	9	1.0414865686505268
33	G10 & G5	18	2	0.0	G10, G5	2	9	1.1039660679509695
34	G4 & G9	18	2	0.0	G4, G9	2	9	1.4296681739940398
35	G9	18	1	0.5	G9	1	9	1.162149464699309
36	G10	18	1	0.5	G10	1	9	1.3221548482695857
37	G10	18	1	0.5	G10	1	9	1.3221548482695857
38	G10	18	1	0.5	G10	1	9	1.3221548482695857
39	G10	18	1	0.5	G10	1	9	1.3221548482695857
40	G10	18	1	0.5	G10	1	9	1.3221548482695857
41	G10	18	1	0.5	G10	1	9	1.3221548482695857
42	G1 & G5	16	2	0.0	G1, G5	2	9	0.960276511027335
43	G4 & G5	15	2	0.0	G4, G5	2	9	1.392852755501737
44	G1 | G2	11	2	0.0	G1, G2	2	9	1.1812546476580377
45	G4 & G7	11	2	0.0	G4, G7	2	9	1.279861134393191
46	G5 & ~G10	8	2	0.0	G10, G5	2	9	0.21877672045580987
47	G5	7	1	0.5	G5	1	9	1.431601313121197
48	G3	2	1	0.5	G3	1	9	1.254385694933963
49	G3	2	1	0.5	G3	1	9	1.254385694933963
50	G3	2	1	0.5	G3	1	9	1.3342397254982763
