Dataset	Replicate	Method	File	Total_Genes	Unique_Patterns	Distinct_Patterns	Max_Frequency	Unique_Ratio
NA	NA	SSD	bin_SSD.tsv	13	3	7	4	0.231
NA	NA	WCSS	bin_WCSS.tsv	13	3	7	4	0.231
