Size	Network	Method	Binarization	Rep	Source_File	Gene	Position	Rule	Score	MSE	Correct	TP	FP	FN	TN	Precision	Recall	F1_score	Accuracy	DynamicAccuracy	N_Predictions	N_Errors	N_Regulators
10	size10_4	rules_SSD_size10_4_3	SSD	3	rules_by_gene.tsv	G1	1	G4 | G6 | G9	2.7528	0.184717	20	1	2	2	4	0.333333333333333	0.333333333333333	0.333333333333333	0.555555555555556	1	20	0	3
10	size10_4	rules_SSD_size10_4_3	SSD	3	rules_by_gene.tsv	G2	1	G2 | G5	2.6868	0.200743	19	0	1	1	7	0	0	0	0.777777777777778	0.95	20	1	1
10	size10_4	rules_SSD_size10_4_3	SSD	3	rules_by_gene.tsv	G2	2	G2 | (G1 & G5)	2.6868	0.200743	19	1	1	0	7	0.5	1	0.666666666666667	0.888888888888889	0.95	20	1	2
10	size10_4	rules_SSD_size10_4_3	SSD	3	rules_by_gene.tsv	G3	1	G4 | (G1 & G3)	2.8354	0.102143	20	0	2	3	4	0	0	0	0.444444444444444	1	20	0	2
10	size10_4	rules_SSD_size10_4_3	SSD	3	rules_by_gene.tsv	G3	2	G1 & (G3 | G4)	2.8354	0.102143	20	0	2	3	4	0	0	0	0.444444444444444	1	20	0	2
10	size10_4	rules_SSD_size10_4_3	SSD	3	rules_by_gene.tsv	G4	1	G1 & G4 & ~G9	2.5089	0.37864	19	0	2	1	6	0	0	0	0.666666666666667	0.95	20	1	2
10	size10_4	rules_SSD_size10_4_3	SSD	3	rules_by_gene.tsv	G5	1	G1 & G5 & G9	2.6252	0.262275	19	0	2	0	7	0	0	0	0.777777777777778	0.95	20	1	2
10	size10_4	rules_SSD_size10_4_3	SSD	3	rules_by_gene.tsv	G6	1	G1 | G2 | G7	2.3212	0.566305	19	0	3	1	5	0	0	0	0.555555555555556	0.95	20	1	3
10	size10_4	rules_SSD_size10_4_3	SSD	3	rules_by_gene.tsv	G7	1	G2 & G3 & G4	2.699	0.188513	19	0	3	2	4	0	0	0	0.444444444444444	0.95	20	1	3
10	size10_4	rules_SSD_size10_4_3	SSD	3	rules_by_gene.tsv	G8	1	G9 & (G10 | G2)	2.4086	0.528898	20	0	3	0	6	0	0	0	0.666666666666667	1	20	0	3
10	size10_4	rules_SSD_size10_4_3	SSD	3	rules_by_gene.tsv	G8	2	G10 & (G2 | G9)	2.4086	0.528898	20	0	3	0	6	0	0	0	0.666666666666667	1	20	0	3
10	size10_4	rules_SSD_size10_4_3	SSD	3	rules_by_gene.tsv	G9	1	G2 & G6 & G9	2.7567	0.130767	19	1	1	1	6	0.5	0.5	0.5	0.777777777777778	0.95	20	1	2
10	size10_4	rules_SSD_size10_4_3	SSD	3	rules_by_gene.tsv	G9	2	G2 & G9	2.7567	0.130767	19	1	0	1	7	1	0.5	0.666666666666667	0.888888888888889	0.95	20	1	1
10	size10_4	rules_SSD_size10_4_3	SSD	3	rules_by_gene.tsv	G10	1	G10 & (G8 | ~G2)	2.3681	0.469364	18	0	2	0	7	0	0	0	0.777777777777778	0.9	20	2	2
10	size10_4	rules_SSD_size10_4_3	SSD	3	rules_by_gene.tsv	G10	2	G10 | (G2 & G8)	2.3681	0.469364	18	0	2	0	7	0	0	0	0.777777777777778	0.9	20	2	2
