Gene	Position	Rule	Correct	N_Regulators	MSE	Score
G1	1	G4 | G8 | ~G5	20	3	0.102387	2.8351
G1	2	G4 | G6 | G7	20	3	0.257219	2.6803
G1	3	G6 | G7	20	2	0.257219	2.6803
G1	4	G1 | G2 | G7	19	3	0.212465	2.6750
G1	5	G4 | G6 | G8	20	3	0.269430	2.6681
G1	6	G6 | (G4 & G8)	20	3	0.269438	2.6681
G1	7	G4 | G6 | ~G7	19	3	0.257219	2.6303
G1	8	G4 | G5 | G6	19	3	0.267954	2.6195
G1	9	G1 | G4 | ~G5	19	3	0.273351	2.6141
G1	10	G6 | (G1 & G4)	20	3	0.338319	2.5992
G1	11	G3 | G4 | G6	19	3	0.315745	2.5718
G1	12	G1 | G4 | G6	19	3	0.338319	2.5492
G1	13	G4 | G6 | G9	20	3	0.389978	2.5475
G1	14	G4 | G6	20	2	0.391519	2.5460
G1	15	G1 | G8 | ~G5	19	3	0.362744	2.5248
G1	16	G8 | ~G5	20	2	0.424763	2.5127
G1	17	G4 | G6 | ~G9	19	3	0.389978	2.4975
G1	18	G2 | G6 | G8	20	3	0.487034	2.4505
G1	19	G1 | G6 | G7	19	3	0.440450	2.4471
G1	20	G6 | G8	20	2	0.495142	2.4424
G1	21	G1 | G6 | G8	19	3	0.456810	2.4307
G1	22	G4 | ~G9	19	2	0.463272	2.4242
G1	23	G1 | G2 | G3	19	3	0.482137	2.4054
G1	24	G6 | (~G1 & ~G9)	20	3	0.546886	2.3906
G1	25	G4 | G6 | G7 | G8	20	4	0.091043	2.3465
G1	26	G1 | G6 | G9	19	3	0.546886	2.3406
G1	27	G6 | G7 | (~G1 & ~G4)	20	4	0.114242	2.3233
G1	28	G10 | G3 | G6 | G7	19	4	0.108730	2.2788
G1	29	G1 | G4 | G6 | G7	19	4	0.114242	2.2733
G1	30	G6 | (G5 & G7)	20	3	0.671871	2.2656
G1	31	G1 | G3 | G6	19	3	0.622471	2.2650
G1	32	G4 | G6 | G7 | G9	20	4	0.176143	2.2614
G1	33	True	19	1	0.152392	2.2351
G1	34	G4 | G6 | G8 | G9	20	4	0.220849	2.2167
G1	35	G6 | G7 | G9	20	3	0.723785	2.2137
G1	36	G2 | G6 | G7	20	3	0.724438	2.2131
G1	37	G1 | (G2 & G3)	19	3	0.685243	2.2023
G1	38	G1 | G6	19	2	0.685360	2.2021
G1	39	G1 | G5 | G6 | G7	19	4	0.197981	2.1895
G1	40	G2 | G4 | G6 | G7	20	4	0.265369	2.1721
G1	41	G4 | G5 | G6 | G7	19	4	0.219258	2.1682
G1	42	G3 | G4 | G6 | G7	19	4	0.225640	2.1619
G1	43	G1 | G2 | G3 | G7	19	4	0.226424	2.1611
G1	44	G1 | G4 | G6 | G8	19	4	0.266324	2.1212
G1	45	G10 | G6	20	2	0.822148	2.1154
G1	46	G1 | G5 | G6 | G8	19	4	0.344361	2.0431
G1	47	G1 | G3 | G6 | G9	19	4	0.381901	2.0056
G1	48	G2 | G6	20	2	1.132899	1.9375
G1	49	G6 | G9	20	2	1.298815	1.9375
G1	50	G2 | G4 | G5 | G6 | G7	19	5	0.055621	1.8944
G1	51	G1 | G4 | G6 | G8 | G9	19	5	0.060000	1.8900
G1	52	G1 | G2 | G4 | G5 | G7	19	5	0.062045	1.8880
G1	53	G5 | G6	19	2	1.242449	1.8875
G1	54	G3 | G6	19	2	1.250883	1.8875
G1	55	G10 | G2 | G4 | G6 | G7	20	5	0.202244	1.7978
G1	56	G2 | G3 | G4 | G6 | G7	19	5	0.224402	1.7256
G1	57	G6	20	1	0.960139	1.4774
G1	58	~G5	20	1	1.427142	1.4375
G2	1	~G8 & (G2 | G5)	19	3	0.160892	2.7266
G2	2	G2 | (G10 & G5)	18	3	0.151792	2.6857
G2	3	G2 | G5 | G8	18	3	0.160892	2.6766
G2	4	G2 | (G3 & ~G6)	19	3	0.222731	2.6648
G2	5	G2 & (~G1 | ~G9)	18	3	0.206150	2.6313
G2	6	G2 | (~G10 & ~G6)	19	3	0.277463	2.6100
G2	7	G2 | G5 | G9	18	3	0.241104	2.5964
G2	8	G2 | (G1 & ~G6)	19	3	0.330865	2.5566
G2	9	G2 | G5 | ~G1	19	3	0.334500	2.5530
G2	10	G2 | G5	19	2	0.372301	2.5152
G2	11	G2 | (G3 & G5)	19	3	0.413863	2.4736
G2	12	G2 | G5 | ~G6	19	3	0.594944	2.2926
G2	13	G2 & ~G4	18	2	0.589955	2.2475
G2	14	G2 | G5 | G7	18	3	0.603810	2.2337
G2	15	G2 & ~G5	18	2	0.617548	2.2200
G2	16	G2 | (~G3 & ~G6 & ~G8)	18	4	0.132700	2.2048
G2	17	G2 | (~G10 & ~G4 & ~G6)	19	4	0.256954	2.1305
G2	18	G2 & (~G8 | ~G9)	18	3	0.707286	2.1302
G2	19	G2 | ~G6	19	2	0.831912	2.0556
G2	20	G2 & G6	18	2	0.831912	2.0056
G2	21	G2	18	1	0.413863	1.9236
G2	22	G2 & (~G3 | ~G8 | ~G9)	18	4	0.828941	1.5086
G3	1	G4 | (G1 & G3)	20	3	0.167854	2.7696
G3	2	G10 | (G3 & ~G2)	20	3	0.181830	2.7557
G3	3	G3 | (G4 & G6)	19	3	0.152410	2.7351
G3	4	G3 | G4 | G7	19	3	0.162087	2.7254
G3	5	G3 & (G1 | G4)	19	3	0.167854	2.7196
G3	6	~G2 & (~G10 | ~G5)	19	3	0.200481	2.6870
G3	7	G10 | (~G2 & ~G9)	19	3	0.205950	2.6815
G3	8	G10 | (G1 & G3)	20	3	0.276040	2.6615
G3	9	G1 & (G10 | G3)	20	3	0.276040	2.6615
G3	10	G8 | G9 | ~G2	19	3	0.246966	2.6405
G3	11	G3 | G4 | G5	19	3	0.248423	2.6391
G3	12	G10 | G3 | G4	19	3	0.255617	2.6319
G3	13	G3 | G4	19	2	0.258622	2.6289
