generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty	avg_mlp_loss	min_mlp_loss	max_mlp_loss
0	11.52	4.38	2	19	0.410	0.0	1.0	1.1286	0.0802	2.0768
1	13.86	4.32	5	19	0.320	0.0	1.0	0.7729	0.0874	1.9742
2	14.48	4.23	3	19	0.250	0.0	1.0	0.7584	0.1181	1.8862
3	14.60	4.53	3	20	0.220	0.0	0.5	0.7651	0.1368	1.9941
4	14.44	4.16	3	20	0.150	0.0	0.5	0.6477	0.1257	2.0709
5	14.80	4.59	3	20	0.130	0.0	1.0	0.6673	0.1208	2.0709
6	14.86	4.20	8	20	0.240	0.0	1.0	0.7822	0.0442	2.0523
7	15.12	4.72	3	20	0.240	0.0	1.0	0.7846	0.0307	2.0709
8	15.08	4.64	4	20	0.190	0.0	0.5	0.7687	0.1937	2.0523
9	16.08	4.44	3	20	0.220	0.0	0.5	0.6953	0.0925	2.0768
10	15.86	4.25	3	20	0.210	0.0	0.5	0.6014	0.1224	2.0768
11	15.82	4.24	8	20	0.240	0.0	1.0	0.7567	0.0382	1.9846
12	15.52	5.00	0	20	0.190	0.0	1.0	0.5644	0.0271	1.9025
13	15.86	4.86	0	20	0.170	0.0	1.0	0.5610	0.0852	2.0709
14	15.70	4.53	3	20	0.140	0.0	1.0	0.6372	0.1171	1.9025
15	16.06	4.15	6	20	0.160	0.0	1.0	0.6313	0.0852	2.0180
16	16.44	3.89	5	20	0.210	0.0	1.0	0.5417	0.0272	1.9025
17	15.62	3.93	9	20	0.250	0.0	1.0	0.4804	0.0445	1.9969
18	16.36	3.69	10	20	0.130	0.0	0.5	0.5401	0.1021	2.0533
19	17.12	3.13	9	20	0.170	0.0	1.0	0.4636	0.0822	2.0277
20	16.38	4.46	1	20	0.150	0.0	1.0	0.4477	0.0390	2.0533
21	16.06	4.43	0	20	0.130	0.0	1.0	0.4902	0.1043	1.9010
22	16.64	3.88	5	20	0.160	0.0	1.0	0.3560	0.0360	1.7045
23	16.38	4.60	0	20	0.140	0.0	0.5	0.4685	0.0852	1.7869
24	16.58	4.35	2	20	0.130	0.0	1.0	0.5020	0.0704	2.0533
25	15.74	4.48	5	20	0.180	0.0	1.0	0.4924	0.0550	1.8927
26	15.66	4.85	3	20	0.100	0.0	1.0	0.4841	0.0704	2.0533
27	15.54	5.15	0	20	0.210	0.0	1.0	0.5333	0.0719	2.0533
28	15.58	4.60	7	20	0.170	0.0	1.0	0.5501	0.0403	2.0533
29	16.08	4.64	5	20	0.210	0.0	1.5	0.4064	0.0719	2.0533
30	16.60	3.88	8	20	0.120	0.0	1.0	0.4651	0.0657	2.0533
31	14.84	4.99	0	20	0.150	0.0	1.5	0.5528	0.0259	2.0533
32	14.58	5.18	0	20	0.140	0.0	1.0	0.6141	0.0657	2.0662
33	16.06	4.73	5	20	0.200	0.0	1.5	0.5586	0.0980	2.0533
34	15.10	4.46	6	20	0.090	0.0	1.0	0.6447	0.0250	2.0533
35	15.50	4.28	5	20	0.130	0.0	1.5	0.4073	0.0197	2.0533
36	14.30	5.52	0	20	0.140	0.0	0.5	0.6622	0.1043	2.0533
37	16.26	4.49	4	20	0.170	0.0	1.0	0.4326	0.0719	2.0533
38	16.92	3.91	9	20	0.140	0.0	1.0	0.3968	0.0224	2.0533
39	16.16	4.41	6	20	0.180	0.0	1.0	0.4693	0.0371	2.0533
40	16.54	3.81	8	20	0.160	0.0	1.5	0.4165	0.0082	2.0533
41	16.72	4.35	0	20	0.220	0.0	1.5	0.3709	0.0155	2.0180
42	16.10	4.41	2	20	0.170	0.0	1.0	0.4185	0.0657	2.0533
43	15.96	4.86	1	20	0.150	0.0	1.0	0.5256	0.1022	2.0619
44	17.88	3.50	9	20	0.190	0.0	1.0	0.3626	0.0403	2.0533
45	16.70	4.04	6	20	0.160	0.0	1.0	0.4343	0.0627	2.0533
46	17.22	4.23	4	20	0.190	0.0	1.0	0.4142	0.0478	2.0533
47	16.00	5.05	0	20	0.120	0.0	1.0	0.4486	0.0421	1.9815
48	17.38	3.97	2	20	0.110	0.0	1.0	0.3683	0.0681	2.0180
49	18.42	2.98	9	20	0.120	0.0	1.0	0.3524	0.0627	2.0533
50	16.26	4.25	4	20	0.170	0.0	1.0	0.3538	0.0067	2.0533
