generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty	avg_mlp_loss	min_mlp_loss	max_mlp_loss
0	10.08	7.02	0	20	0.380	0.0	0.5	0.7730	0.1495	1.6558
1	13.92	6.28	2	20	0.330	0.0	0.5	0.7027	0.1291	1.6558
2	13.64	7.02	0	20	0.340	0.0	1.0	0.7378	0.0777	1.5616
3	13.08	7.06	0	20	0.290	0.0	1.5	0.7604	0.0879	1.6970
4	15.98	5.94	0	20	0.270	0.0	1.0	0.6984	0.0780	1.8089
5	18.16	4.34	0	20	0.270	0.0	0.5	0.8593	0.1654	1.5616
6	17.40	4.92	0	20	0.150	0.0	0.5	0.7794	0.0956	1.6803
7	16.52	5.40	1	20	0.120	0.0	0.5	0.6293	0.1718	1.8089
8	15.58	6.66	0	20	0.090	0.0	1.0	0.5365	0.1629	1.8089
9	16.12	6.48	0	20	0.160	0.0	1.5	0.5754	0.0956	1.5616
10	16.24	5.69	0	20	0.150	0.0	1.5	0.5533	0.0956	1.6803
11	16.64	5.28	0	20	0.140	0.0	0.5	0.4750	0.1518	1.5616
12	15.28	6.75	0	20	0.180	0.0	1.0	0.6193	0.0278	1.8089
13	14.50	7.59	0	20	0.160	0.0	1.0	0.6061	0.0278	1.6803
14	15.48	6.39	0	20	0.180	0.0	1.0	0.6977	0.0426	1.6558
15	16.52	6.23	0	20	0.130	0.0	1.0	0.7557	0.0426	1.6970
16	16.68	5.25	0	20	0.130	0.0	0.5	0.6306	0.1452	1.5616
17	16.52	5.69	0	20	0.180	0.0	1.0	0.6802	0.1149	1.8089
18	14.32	7.64	0	20	0.150	0.0	1.0	0.7600	0.0426	1.6690
19	17.04	5.40	0	20	0.150	0.0	0.5	0.7790	0.1617	1.8089
20	17.42	5.43	0	20	0.150	0.0	0.5	0.7226	0.1617	1.6558
21	16.14	6.21	0	20	0.190	0.0	1.0	0.6462	0.0874	1.8089
22	16.78	5.45	0	20	0.160	0.0	0.5	0.5275	0.1611	1.6558
23	14.16	7.45	0	20	0.100	0.0	0.5	0.5300	0.0542	1.8089
24	15.62	6.67	0	20	0.120	0.0	0.5	0.6557	0.1912	1.8089
25	13.82	7.84	0	20	0.200	0.0	0.5	0.6400	0.1611	1.8089
26	14.50	7.12	0	20	0.180	0.0	0.5	0.6824	0.2370	1.8089
27	14.80	6.45	0	20	0.150	0.0	0.5	0.5248	0.1629	1.5616
28	15.62	5.77	0	20	0.180	0.0	0.5	0.6656	0.0542	1.8089
29	16.40	5.97	0	20	0.180	0.0	0.5	0.6464	0.1629	1.8089
30	12.74	7.33	0	20	0.210	0.0	0.5	0.6586	0.1629	1.6970
31	15.56	6.17	0	20	0.200	0.0	0.5	0.5957	0.0974	1.8089
32	15.26	6.44	0	20	0.180	0.0	0.5	0.5905	0.1629	1.8089
33	15.86	5.31	0	20	0.170	0.0	0.5	0.5093	0.0542	1.6970
34	13.90	7.79	0	20	0.190	0.0	0.5	0.6018	0.0403	1.8089
35	14.28	6.97	0	20	0.100	0.0	0.5	0.4665	0.1629	1.6690
36	15.62	5.94	0	20	0.160	0.0	0.5	0.4870	0.0542	1.5616
37	13.76	6.50	0	20	0.180	0.0	0.5	0.4352	0.0542	1.4529
38	15.94	5.33	0	20	0.130	0.0	0.5	0.3963	0.0956	1.4529
39	15.58	5.92	0	20	0.090	0.0	0.5	0.4125	0.1629	1.8089
40	14.48	6.95	0	20	0.180	0.0	0.5	0.5246	0.0597	1.8089
41	15.56	6.31	0	20	0.210	0.0	0.5	0.5152	0.0758	1.6803
42	16.32	5.41	0	20	0.160	0.0	0.5	0.4095	0.0542	1.4529
43	15.84	6.19	0	20	0.180	0.0	0.5	0.4309	0.0542	1.4529
44	16.68	4.83	0	20	0.150	0.0	1.0	0.3666	0.0542	1.4529
45	15.52	5.94	0	20	0.160	0.0	1.0	0.4643	0.0542	1.5616
46	13.82	7.12	0	20	0.210	0.0	0.5	0.5575	0.1629	1.6558
47	14.94	6.08	0	20	0.170	0.0	0.5	0.3908	0.0542	1.4529
48	16.36	4.76	0	20	0.110	0.0	0.5	0.4016	0.1629	1.5616
49	15.74	6.17	0	20	0.220	0.0	1.0	0.4578	0.0542	1.4529
50	15.64	6.31	0	20	0.150	0.0	0.5	0.4644	0.0542	1.8089
