Gene	Position	Rule	Correct	N_Regulators	MSE	Score
G1	56	G3 & (G1 | G6)	4	3		1.9375
G10	241	~G1 & ~G7	4	2		1.9375
G2	1	G3 | G8	4	2		1.9375
G3	59	G8 & (G1 | ~G10)	4	3		1.9375
G3	61	G10 | (G4 & ~G2)	4	3		1.9375
G4	129	~G1 & (G2 | ~G6)	4	3		1.9375
G4	133	~G1 & (~G2 | ~G3)	4	3		1.9375
G5	36	G1 & (G10 | G3)	4	3		1.9375
G5	37	G3 & (G1 | G6)	4	3		1.9375
G6	39	G3 | (G6 & G8)	4	3		1.9375
G6	40	G3 | (G5 & G7)	4	3		1.9375
G7	65	~G1 | (G5 & ~G3)	4	3		1.9375
G8	241	G10 & (G4 | ~G1)	4	3		1.9375
G8	243	G10 & (G2 | G9)	4	3		1.9375
G9	105	~G1 & (G7 | G9)	4	3		1.9375
G9	115	G7 & (G2 | ~G6)	4	3		1.9375
