generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty
0	1.58	0.92	0	4	0.370	0.0	1.0
1	2.22	0.78	1	4	0.300	0.0	1.5
2	2.42	0.87	0	4	0.270	0.0	0.5
3	2.50	0.81	0	4	0.210	0.0	0.5
4	2.66	0.68	1	4	0.200	0.0	0.5
5	2.38	0.94	0	4	0.210	0.0	0.5
6	2.84	0.86	0	4	0.260	0.0	1.0
7	2.50	1.15	0	4	0.290	0.0	0.5
8	2.70	1.20	0	4	0.390	0.0	0.5
9	2.50	1.27	0	4	0.430	0.0	0.5
10	2.78	1.20	0	4	0.470	0.0	0.5
11	2.56	1.20	0	4	0.490	0.0	1.0
12	2.90	1.08	1	4	0.450	0.0	0.5
13	2.54	1.33	0	4	0.450	0.0	0.5
14	2.70	1.37	0	4	0.400	0.0	0.5
15	2.60	1.31	0	4	0.420	0.0	0.5
16	2.76	1.30	0	4	0.440	0.0	0.5
17	2.90	1.15	1	4	0.400	0.0	0.5
18	2.72	1.20	0	4	0.370	0.0	0.5
19	2.98	1.19	1	4	0.350	0.0	0.5
20	2.26	1.49	0	4	0.350	0.0	0.5
21	2.70	1.32	0	4	0.310	0.0	0.5
22	2.58	1.31	0	4	0.260	0.0	0.5
23	2.58	1.33	0	4	0.280	0.0	0.5
24	2.56	1.34	0	4	0.230	0.0	0.5
25	2.32	1.41	0	4	0.210	0.0	0.5
26	2.74	1.11	0	4	0.210	0.0	0.5
27	2.56	1.28	0	4	0.220	0.0	1.0
28	2.54	1.30	0	4	0.160	0.0	0.5
29	2.72	1.15	0	4	0.200	0.0	1.0
30	2.60	1.28	0	4	0.130	0.0	0.5
31	2.58	1.34	0	4	0.190	0.0	0.5
32	2.44	1.13	0	4	0.180	0.0	0.5
33	2.86	1.13	0	4	0.160	0.0	1.0
34	2.64	1.31	0	4	0.210	0.0	0.5
35	2.36	1.29	0	4	0.220	0.0	0.5
36	2.66	1.26	0	4	0.210	0.0	0.5
37	2.52	1.24	0	4	0.220	0.0	0.5
38	2.62	1.04	1	4	0.190	0.0	0.5
39	2.36	1.29	0	4	0.250	0.0	0.5
40	2.40	1.31	0	4	0.230	0.0	1.0
41	2.68	1.27	0	4	0.200	0.0	0.5
42	2.48	1.30	0	4	0.160	0.0	0.5
43	2.50	1.24	0	4	0.230	0.0	0.5
44	2.46	1.28	0	4	0.250	0.0	0.5
45	2.52	1.27	0	4	0.260	0.0	0.5
46	2.46	1.24	0	4	0.200	0.0	0.5
47	2.64	1.21	0	4	0.210	0.0	1.0
48	2.50	1.30	0	4	0.170	0.0	0.5
49	2.68	1.33	0	4	0.150	0.0	0.5
50	2.74	1.23	0	4	0.190	0.0	0.5
