Dataset	Replicate	Method	File	Total_Genes	Unique_Patterns	Distinct_Patterns	Max_Frequency	Unique_Ratio
1	1	SSD	bin_SSD_size10_1_1.tsv	10	8	9	2	0.8
1	1	SSD	bin_SSD_size10_1_1_5times.tsv	10	8	9	2	0.8
1	1	WCSS	bin_WCSS_size10_1_1.tsv	10	10	10	1	1.0
1	1	WCSS	bin_WCSS_size10_1_1_5times.tsv	10	6	8	2	0.6
1	2	SSD	bin_SSD_size10_1_2.tsv	10	8	9	2	0.8
1	2	SSD	bin_SSD_size10_1_2_5times.tsv	10	5	7	3	0.5
1	2	WCSS	bin_WCSS_size10_1_2.tsv	10	10	10	1	1.0
1	2	WCSS	bin_WCSS_size10_1_2_5times.tsv	10	7	8	3	0.7
1	3	SSD	bin_SSD_size10_1_3.tsv	10	8	9	2	0.8
1	3	SSD	bin_SSD_size10_1_3_5times.tsv	10	6	7	4	0.6
1	3	WCSS	bin_WCSS_size10_1_3.tsv	10	7	8	3	0.7
1	3	WCSS	bin_WCSS_size10_1_3_5times.tsv	10	7	8	3	0.7
1	4	SSD	bin_SSD_size10_1_4.tsv	10	8	9	2	0.8
1	4	SSD	bin_SSD_size10_1_4_5times.tsv	10	2	5	4	0.2
1	4	WCSS	bin_WCSS_size10_1_4.tsv	10	7	8	3	0.7
1	4	WCSS	bin_WCSS_size10_1_4_5times.tsv	10	7	8	3	0.7
1	5	SSD	bin_SSD_size10_1_5.tsv	10	8	9	2	0.8
1	5	SSD	bin_SSD_size10_1_5_5times.tsv	10	7	8	3	0.7
1	5	WCSS	bin_WCSS_size10_1_5.tsv	10	8	9	2	0.8
1	5	WCSS	bin_WCSS_size10_1_5_5times.tsv	10	7	8	3	0.7
2	1	SSD	bin_SSD_size10_2_1.tsv	10	8	9	2	0.8
2	1	SSD	bin_SSD_size10_2_1_5times.tsv	10	4	7	2	0.4
2	1	WCSS	bin_WCSS_size10_2_1.tsv	10	8	9	2	0.8
2	1	WCSS	bin_WCSS_size10_2_1_5times.tsv	10	4	7	2	0.4
2	2	SSD	bin_SSD_size10_2_2.tsv	10	10	10	1	1.0
2	2	SSD	bin_SSD_size10_2_2_5times.tsv	10	3	6	3	0.3
2	2	WCSS	bin_WCSS_size10_2_2.tsv	10	10	10	1	1.0
2	2	WCSS	bin_WCSS_size10_2_2_5times.tsv	10	4	7	2	0.4
2	3	SSD	bin_SSD_size10_2_3.tsv	10	10	10	1	1.0
2	3	SSD	bin_SSD_size10_2_3_5times.tsv	10	3	6	3	0.3
2	3	WCSS	bin_WCSS_size10_2_3.tsv	10	10	10	1	1.0
2	3	WCSS	bin_WCSS_size10_2_3_5times.tsv	10	4	7	2	0.4
2	4	SSD	bin_SSD_size10_2_4.tsv	10	10	10	1	1.0
2	4	SSD	bin_SSD_size10_2_4_5times.tsv	10	2	6	2	0.2
2	4	WCSS	bin_WCSS_size10_2_4.tsv	10	10	10	1	1.0
2	4	WCSS	bin_WCSS_size10_2_4_5times.tsv	10	6	8	2	0.6
2	5	SSD	bin_SSD_size10_2_5.tsv	10	8	9	2	0.8
2	5	SSD	bin_SSD_size10_2_5_5times.tsv	10	4	7	2	0.4
2	5	WCSS	bin_WCSS_size10_2_5.tsv	10	8	9	2	0.8
2	5	WCSS	bin_WCSS_size10_2_5_5times.tsv	10	6	8	2	0.6
3	1	SSD	bin_SSD_size10_3_1.tsv	10	8	9	2	0.8
3	1	SSD	bin_SSD_size10_3_1_5times.tsv	10	7	8	3	0.7
3	1	WCSS	bin_WCSS_size10_3_1.tsv	10	10	10	1	1.0
3	1	WCSS	bin_WCSS_size10_3_1_5times.tsv	10	6	8	2	0.6
3	2	SSD	bin_SSD_size10_3_2.tsv	10	6	8	2	0.6
3	2	SSD	bin_SSD_size10_3_2_5times.tsv	10	6	8	2	0.6
3	2	WCSS	bin_WCSS_size10_3_2.tsv	10	10	10	1	1.0
3	2	WCSS	bin_WCSS_size10_3_2_5times.tsv	10	4	7	2	0.4
3	3	SSD	bin_SSD_size10_3_3.tsv	10	10	10	1	1.0
3	3	SSD	bin_SSD_size10_3_3_5times.tsv	10	8	9	2	0.8
3	3	WCSS	bin_WCSS_size10_3_3.tsv	10	10	10	1	1.0
3	3	WCSS	bin_WCSS_size10_3_3_5times.tsv	10	7	8	3	0.7
3	4	SSD	bin_SSD_size10_3_4.tsv	10	10	10	1	1.0
3	4	SSD	bin_SSD_size10_3_4_5times.tsv	10	6	8	2	0.6
3	4	WCSS	bin_WCSS_size10_3_4.tsv	10	10	10	1	1.0
3	4	WCSS	bin_WCSS_size10_3_4_5times.tsv	10	8	9	2	0.8
3	5	SSD	bin_SSD_size10_3_5.tsv	10	8	9	2	0.8
3	5	SSD	bin_SSD_size10_3_5_5times.tsv	10	4	7	2	0.4
3	5	WCSS	bin_WCSS_size10_3_5.tsv	10	8	9	2	0.8
3	5	WCSS	bin_WCSS_size10_3_5_5times.tsv	10	3	6	3	0.3
4	1	SSD	bin_SSD_size10_4_1.tsv	10	7	8	3	0.7
4	1	SSD	bin_SSD_size10_4_1_5times.tsv	10	4	6	4	0.4
4	1	WCSS	bin_WCSS_size10_4_1.tsv	10	10	10	1	1.0
4	1	WCSS	bin_WCSS_size10_4_1_5times.tsv	10	6	7	4	0.6
4	2	SSD	bin_SSD_size10_4_2.tsv	10	10	10	1	1.0
4	2	SSD	bin_SSD_size10_4_2_5times.tsv	10	6	8	2	0.6
4	2	WCSS	bin_WCSS_size10_4_2.tsv	10	10	10	1	1.0
4	2	WCSS	bin_WCSS_size10_4_2_5times.tsv	10	6	8	2	0.6
4	3	SSD	bin_SSD_size10_4_3.tsv	10	10	10	1	1.0
4	3	SSD	bin_SSD_size10_4_3_5times.tsv	10	5	7	3	0.5
