rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition
1	G5 & G8	4	2	0.0	G5, G8	2	14
2	G4 | (G3 & G9)	4	3	0.0	G3, G4, G9	3	14
3	G8 & ~G4	4	2	0.0	G4, G8	2	14
4	G4 | G8	4	2	0.0	G4, G8	2	14
5	(G4 & ~G8) | (G8 & ~G6)	4	3	0.0	G4, G6, G8	3	14
6	G8 & ~G4	4	2	0.0	G4, G8	2	14
7	G7 & G8 & ~G4	4	3	0.0	G4, G7, G8	3	14
8	G5 & G8	4	2	0.0	G5, G8	2	14
9	G4 | G8	4	2	0.0	G4, G8	2	14
10	G4 | (G3 & G8)	4	3	0.0	G3, G4, G8	3	14
11	G2 & G8	4	2	0.0	G2, G8	2	14
12	G4 | G8	4	2	0.0	G4, G8	2	14
13	G4 | (G3 & G9)	4	3	0.0	G3, G4, G9	3	14
14	G4 | G8	4	2	0.0	G4, G8	2	14
15	G4 | G8	4	2	0.0	G4, G8	2	14
16	G2 & G8	4	2	0.0	G2, G8	2	14
17	G10 & G7 & G8	4	3	0.0	G10, G7, G8	3	14
18	G4 | G8	4	2	0.0	G4, G8	2	14
19	G3 & G8	4	2	0.0	G3, G8	2	14
20	G5 & G8	4	2	0.0	G5, G8	2	14
21	G7 & G8 & ~G4	4	3	0.0	G4, G7, G8	3	14
22	G8	4	1	0.5	G8	1	14
23	G8	4	1	0.5	G8	1	14
24	G8	4	1	0.5	G8	1	14
25	G6 & G8	3	2	0.0	G6, G8	2	14
26	G4 & G8	3	2	0.0	G4, G8	2	14
27	G4 & G7	3	2	0.0	G4, G7	2	14
28	G6 & G8	3	2	0.0	G6, G8	2	14
29	False	3	1	0.5	False	1	14
30	G4 & G7	3	2	0.0	G4, G7	2	14
31	G4 & G5	3	2	0.0	G4, G5	2	14
32	G7	3	1	0.5	G7	1	14
33	G4 & G8	3	2	0.0	G4, G8	2	14
34	G4	3	1	0.5	G4	1	14
35	G9	3	1	0.5	G9	1	14
36	G1 & G10	2	2	0.0	G1, G10	2	14
37	G5 | G8	2	2	0.0	G5, G8	2	14
38	G3	2	1	0.5	G3	1	14
39	True	1	1	0.5	True	1	14
40	G1 | G4	1	2	0.0	G1, G4	2	14
41	G10 | G3	1	2	0.0	G10, G3	2	14
42	~G4 & ~G9	1	2	0.0	G4, G9	2	14
43	G1 | G3	1	2	0.0	G1, G3	2	14
44	G1	1	1	0.5	G1	1	14
45	True	1	1	0.5	True	1	14
46	G1 | G6	0	2	0.0	G1, G6	2	14
47	~G8	0	1	0.5	G8	1	14
48	~G8	0	1	0.5	G8	1	14
49	~G8	0	1	0.5	G8	1	14
50	~G8	0	1	0.5	G8	1	14
