rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition
1	G1 | G2 | G9	4	3	0.0	G1, G2, G9	3	20
2	G1 | G9	4	2	0.0	G1, G9	2	20
3	G1 | G9	4	2	0.0	G1, G9	2	20
4	G1 | G8	4	2	0.0	G1, G8	2	20
5	G1 | G2 | G9	4	3	0.0	G1, G2, G9	3	20
6	G1 | G2	4	2	0.0	G1, G2	2	20
7	G1 | G9	4	2	0.0	G1, G9	2	20
8	G1 | G9	4	2	0.0	G1, G9	2	20
9	G1 | G2	4	2	0.0	G1, G2	2	20
10	G1 | G9	4	2	0.0	G1, G9	2	20
11	G1 | G8	4	2	0.0	G1, G8	2	20
12	G1 | G2	4	2	0.0	G1, G2	2	20
13	G1 | G8	4	2	0.0	G1, G8	2	20
14	G1 | G8	4	2	0.0	G1, G8	2	20
15	G1 | G2 | G9	4	3	0.0	G1, G2, G9	3	20
16	G1 | G2 | G9	4	3	0.0	G1, G2, G9	3	20
17	G1 | G2	4	2	0.0	G1, G2	2	20
18	G1 | G2	4	2	0.0	G1, G2	2	20
19	G1 | G8	4	2	0.0	G1, G8	2	20
20	G1 | G9	4	2	0.0	G1, G9	2	20
21	G1 | G9	4	2	0.0	G1, G9	2	20
22	G1 | G2	4	2	0.0	G1, G2	2	20
23	G1 | G2	4	2	0.0	G1, G2	2	20
24	G2 | G9	3	2	0.0	G2, G9	2	20
25	G1 | G5	3	2	0.0	G1, G5	2	20
26	G2 | G9	3	2	0.0	G2, G9	2	20
27	G2 | G9	3	2	0.0	G2, G9	2	20
28	G2 | G3 | G9	3	3	0.0	G2, G3, G9	3	20
29	G1 | G5	3	2	0.0	G1, G5	2	20
30	G1 | G10	3	2	0.0	G1, G10	2	20
31	G2 | G3	3	2	0.0	G2, G3	2	20
32	G8 | G9	3	2	0.0	G8, G9	2	20
33	G2 | G4 | G9	3	3	0.0	G2, G4, G9	3	20
34	G3 | G9	3	2	0.0	G3, G9	2	20
35	G1 | G2 | G3	3	3	0.0	G1, G2, G3	3	20
36	G1	3	1	0.5	G1	1	20
37	G9	3	1	0.5	G9	1	20
38	G9	3	1	0.5	G9	1	20
39	G2	3	1	0.5	G2	1	20
40	G2	3	1	0.5	G2	1	20
41	G2	3	1	0.5	G2	1	20
42	G1	3	1	0.5	G1	1	20
43	G2	3	1	0.5	G2	1	20
44	G1 | ~G8	2	2	0.0	G1, G8	2	20
45	G10 | G8	2	2	0.0	G10, G8	2	20
46	G3 | G7	2	2	0.0	G3, G7	2	20
47	G5	2	1	0.5	G5	1	20
48	G8	2	1	0.5	G8	1	20
49	G10	2	1	0.5	G10	1	20
50	G7	1	1	0.5	G7	1	20
