rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition
1	G8 | ~G7	4	2	0.0	G7, G8	2	49
2	G1 | G2	4	2	0.0	G1, G2	2	49
3	G8 | ~G7	4	2	0.0	G7, G8	2	49
4	G1 | G2	4	2	0.0	G1, G2	2	49
5	G1 | G2	4	2	0.0	G1, G2	2	49
6	G1 | G2	4	2	0.0	G1, G2	2	49
7	G1 | G9	4	2	0.0	G1, G9	2	49
8	G1 | G9	4	2	0.0	G1, G9	2	49
9	G1 | G2	4	2	0.0	G1, G2	2	49
10	G1 | G8	4	2	0.0	G1, G8	2	49
11	G1 | G9	4	2	0.0	G1, G9	2	49
12	G1 | G9	4	2	0.0	G1, G9	2	49
13	G1 | G2	4	2	0.0	G1, G2	2	49
14	G1 | G2	4	2	0.0	G1, G2	2	49
15	G1 | G2	4	2	0.0	G1, G2	2	49
16	G1 | G2 | G4	4	3	0.0	G1, G2, G4	3	49
17	G1 | G9	4	2	0.0	G1, G9	2	49
18	G1 | G2	4	2	0.0	G1, G2	2	49
19	G1 | G9	4	2	0.0	G1, G9	2	49
20	G1 | G2	4	2	0.0	G1, G2	2	49
21	G2 | G8 | (G1 & G5)	4	4	0.5	G1, G2, G5, G8	4	49
22	G2 | G3	3	2	0.0	G2, G3	2	49
23	G10 & G2	3	2	0.0	G10, G2	2	49
24	G8 | (G10 & G9)	3	3	0.0	G10, G8, G9	3	49
25	G1 | G5	3	2	0.0	G1, G5	2	49
26	True	3	1	0.5	True	1	49
27	G8 | ~G5	3	2	0.0	G5, G8	2	49
28	G1	3	1	0.5	G1	1	49
29	G2 | (G1 & G9)	3	3	0.0	G1, G2, G9	3	49
30	G4 | G8 | G9	3	3	0.0	G4, G8, G9	3	49
31	G1 | G4	3	2	0.0	G1, G4	2	49
32	G2 | G5	3	2	0.0	G2, G5	2	49
33	G2 | G9	3	2	0.0	G2, G9	2	49
34	G2	3	1	0.5	G2	1	49
35	G2	3	1	0.5	G2	1	49
36	G1	3	1	0.5	G1	1	49
37	G2	3	1	0.5	G2	1	49
38	G2	3	1	0.5	G2	1	49
39	G1	3	1	0.5	G1	1	49
40	G1 | G10 | G2 | G6 | G7	3	5	1.0	G1, G10, G2, G6, G7	5	49
41	G10 | G2 | G9	2	3	0.0	G10, G2, G9	3	49
42	~G8	2	1	0.5	G8	1	49
43	G8	2	1	0.5	G8	1	49
44	~G8	2	1	0.5	G8	1	49
45	G8	2	1	0.5	G8	1	49
46	G7 | (G4 & G8)	1	3	0.0	G4, G7, G8	3	49
47	G7 | G8	1	2	0.0	G7, G8	2	49
48	G7	1	1	0.5	G7	1	49
49	~G1	1	1	0.5	G1	1	49
50	False	1	1	0.5	False	1	49
