Gen	Regla	Error	N_reguladores
G1	(!G7)	0	1
G2	(G7 & G8)	0	2
G3	(!G7)	0	1
G4	(!G7)	0	1
G5	(!G8 & G10) | (G8 & !G10)	0	2
G6	(G1)	0	1
G7	1	0	1
G8	(!G8 & !G10)	0	2
G9	(!G7)	0	1
G10	(!G7)	0	1
