Gen	Regla	Error	N_reguladores
G1	(!G2 & !G3 & G4 & !G5) | (!G2 & G3 & !G4 & G5 & !G9)	0	5
G2	(!G4 & !G6 & G7 & G10) | (!G4 & G6 & !G7 & G10) | (!G4 & G6 & G7 & !G10) | (G4 & G6 & G7 & G10)	2	4
G3	(!G3 & G7 & !G10) | (G3 & G7 & G10)	0	3
G4	(!G3 & !G8 & !G9) | (!G2 & !G3 & !G8) | (!G2 & !G3 & !G9 & G10) | (!G2 & G3 & G8 & G9 & G10) | (!G3 & !G8 & G10)	0	5
G5	(G8 & !G9) | (!G2 & G8)	1	3
G6	(!G4) | (G8)	1	2
G7	(G8 & !G10) | (G7 & G10)	0	3
G8	(G8 & !G9) | (!G2 & G8)	1	3
G9	(!G2 & !G8 & !G9 & !G10) | (!G7 & !G8 & !G9 & G10) | (!G2 & G7 & !G9 & !G10)	1	5
G10	(!G2 & !G9 & !G10) | (!G4 & G9 & G10) | (!G2 & G4 & !G9) | (G2 & !G4 & G10) | (G4 & !G9 & !G10)	0	4
