Gen	Regla	Error	N_reguladores
G1	(!G7 & !G10) | (G6 & !G7)	0	3
G2	(!G1 & !G6) | (!G1 & G10)	0	3
G3	(G3 & !G6) | (G3 & G5)	1	3
G4	(!G3 & !G6 & !G9) | (!G3 & G6 & G9)	2	3
G5	(!G4 & !G7 & G10) | (!G4 & !G5 & G7) | (G4 & !G5 & !G7 & !G10) | (G4 & G5 & G7 & G10)	3	4
G6	(!G3 & !G7) | (!G7 & G10) | (G3 & G10)	1	3
G7	(!G4 & !G6 & G9) | (!G6 & G7 & !G9) | (!G4 & G7 & G9)	0	4
G8	(G5 & !G7 & !G9) | (G5 & G7 & G9)	2	3
G9	(!G3 & !G6 & !G8 & !G9) | (G6 & G9) | (!G3 & G6 & G8) | (G3 & G9)	0	4
G10	(!G4 & !G6 & G8) | (!G4 & !G5 & G8) | (G4 & !G5 & G6 & !G8) | (G4 & G5 & !G6 & !G8) | (G4 & G5 & G6 & G8)	2	4
