Gen	Regla	Error	N_reguladores
G1	(G10) | (G6 & !G9)	1	3
G2	(!G3 & G5)	0	2
G3	(!G6 & G10) | (G3 & !G6) | (G3 & G10)	0	3
G4	(G6 & !G9) | (G4)	1	3
G5	(!G5 & !G6 & !G7 & G10) | (!G5 & G7 & G9 & !G10) | (G6 & !G7 & G9 & G10) | (G5 & !G6 & G7 & !G9 & !G10)	1	5
G6	(!G2 & G3 & !G6 & !G7) | (!G2 & G3 & !G5 & !G7) | (!G2 & G3 & G5 & !G6) | (G2 & !G3 & G5 & !G6 & G7)	0	5
G7	(!G1 & G6 & !G10) | (!G1 & G5 & !G10) | (G1 & !G5 & !G6 & !G10) | (G1 & G5 & G6 & G10)	1	4
G8	(G10)	2	1
G9	(!G5 & !G7 & !G9 & G10) | (!G5 & !G6 & G9 & G10) | (!G6 & G7 & G9 & G10) | (G6 & !G7 & !G9 & G10) | (G5 & G6 & !G7 & G10)	1	5
G10	(G10)	2	1
