Gen	Regla	Error	N_reguladores
G1	(!G1 & G6 & !G8 & G10) | (G1 & !G10) | (G1 & !G6 & !G8) | (G1 & G6 & G8)	0	4
G2	(!G1 & !G8 & !G10) | (!G1 & !G7 & !G8) | (!G1 & G7 & G8 & G10) | (G1 & !G7 & G8 & !G10)	0	4
G3	(!G7 & G8) | (G7 & !G8) | (G5)	0	3
G4	(!G6 & !G7 & !G8 & G9) | (G4 & !G6 & !G7 & !G8) | (G4 & !G6 & !G7 & G9) | (G4 & !G6 & !G8 & G9) | (G4 & !G7 & !G8 & G9) | (G4 & G6 & G7 & G8)	0	5
G5	(!G2 & !G3) | (G3 & G4)	0	3
G6	(!G2 & !G5 & !G7 & G8 & G10) | (!G2 & G7 & !G8 & !G10) | (!G2 & G5 & !G7 & !G8 & G10) | (!G2 & G5 & G8 & !G10) | (G2 & !G7 & !G8 & !G10)	2	5
G7	(!G2 & !G6 & !G8 & !G10) | (!G2 & G6 & G8 & G10) | (G2 & G6 & !G8 & !G10)	1	4
G8	(!G6 & !G7 & G8 & G10) | (!G6 & G7 & !G8) | (G6 & !G7 & !G8 & !G10)	1	4
G9	(!G7 & !G8 & !G9) | (!G7 & G8 & G9) | (G7 & !G8 & G9) | (G5 & !G8 & G9) | (G5 & G7 & G8 & !G9)	1	4
G10	(!G4 & !G6 & !G7 & !G8 & !G9) | (!G4 & !G6 & !G7 & G8 & G9) | (!G4 & !G6 & G7 & !G8 & G9) | (!G4 & G6 & !G7 & !G8 & G9) | (G6 & G7 & G8 & !G9) | (G4 & G6 & !G7 & G8 & G9)	1	5
