generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty	avg_mlp_loss	min_mlp_loss	max_mlp_loss
0	13.12	3.85	3	18	0.340	0.0	0.5	1.4005	0.1749	2.6943
1	15.16	4.18	2	18	0.310	0.0	0.5	0.9231	0.2987	2.6943
2	15.08	4.09	3	18	0.300	0.0	1.0	0.9072	0.2987	2.3642
3	15.72	3.48	2	18	0.250	0.0	0.5	0.8710	0.2987	2.3926
4	15.38	3.78	2	18	0.190	0.0	0.5	0.8636	0.1095	2.1306
5	14.58	4.41	2	18	0.160	0.0	1.0	0.8330	0.1658	2.0933
6	14.66	4.63	2	18	0.150	0.0	0.5	0.8087	0.0700	2.3642
7	15.56	2.99	7	18	0.170	0.0	1.0	0.8124	0.1005	2.6314
8	15.50	3.48	3	18	0.160	0.0	1.5	0.7501	0.0472	2.3642
9	15.88	3.55	2	18	0.190	0.0	1.0	0.7418	0.1214	2.6819
10	15.56	3.38	2	18	0.140	0.0	1.0	0.7023	0.1214	2.4165
11	15.60	3.85	3	18	0.160	0.0	1.0	0.6606	0.0291	2.6314
12	15.34	3.71	2	18	0.110	0.0	0.5	0.6871	0.1034	2.7060
13	16.02	2.57	10	18	0.060	0.0	0.5	0.7354	0.2254	2.7060
14	16.12	2.92	2	18	0.110	0.0	0.5	0.5812	0.1245	2.1306
15	16.34	2.25	10	18	0.130	0.0	0.5	0.6570	0.1214	2.6819
16	16.66	2.29	10	18	0.130	0.0	0.5	0.6717	0.1245	2.6943
17	16.28	2.75	7	18	0.100	0.0	1.0	0.5792	0.2238	2.1239
18	15.68	4.04	2	18	0.070	0.0	0.5	0.5846	0.2238	2.1306
19	16.02	3.06	5	18	0.140	0.0	1.0	0.7004	0.2238	2.6314
20	16.04	3.30	2	18	0.170	0.0	1.0	0.5912	0.0295	2.3642
21	16.12	2.59	8	18	0.160	0.0	1.5	0.5562	0.0815	2.2612
22	15.68	3.95	2	18	0.140	0.0	1.0	0.6611	0.2238	2.3642
23	16.08	2.94	7	18	0.060	0.0	0.5	0.6250	0.2238	2.1306
24	16.36	2.81	8	18	0.180	0.0	1.0	0.6284	0.1829	2.1306
25	16.10	3.30	3	18	0.120	0.0	1.0	0.6510	0.1214	2.7253
26	15.96	3.16	7	18	0.120	0.0	0.5	0.5876	0.1214	2.3642
27	15.92	3.57	2	18	0.170	0.0	1.0	0.5216	0.0600	2.3642
28	14.46	4.04	4	18	0.060	0.0	0.5	0.4950	0.1033	1.7482
29	15.04	3.58	2	18	0.110	0.0	0.5	0.5583	0.0295	2.3642
30	15.22	3.66	7	18	0.120	0.0	1.0	0.6745	0.0600	2.7143
31	14.08	4.16	3	18	0.090	0.0	1.5	0.5766	0.0829	2.4165
32	15.50	3.39	7	18	0.120	0.0	0.5	0.4904	0.1214	1.7301
33	15.30	4.01	2	18	0.100	0.0	0.5	0.5455	0.2238	2.0933
34	14.96	4.32	3	18	0.120	0.0	0.5	0.5639	0.2238	2.3642
35	15.24	3.71	6	18	0.090	0.0	0.5	0.5401	0.0600	2.3642
36	15.32	3.70	2	18	0.130	0.0	0.5	0.4984	0.1095	1.8960
37	15.70	3.69	2	18	0.170	0.0	1.0	0.5776	0.1647	2.3642
38	14.96	4.27	2	18	0.170	0.0	1.0	0.5228	0.1034	2.7374
39	14.58	3.70	3	18	0.100	0.0	0.5	0.7068	0.1950	2.3926
40	14.16	4.85	2	18	0.170	0.0	0.5	0.5818	0.1214	2.3642
41	14.90	3.96	3	18	0.160	0.0	1.5	0.5171	0.0600	2.3926
42	14.48	4.13	3	18	0.130	0.0	0.5	0.5102	0.0600	1.6580
43	15.54	2.96	7	18	0.100	0.0	1.0	0.5129	0.2116	2.3642
44	15.26	3.60	2	18	0.160	0.0	1.0	0.6629	0.1245	2.7143
45	15.30	3.37	2	18	0.070	0.0	0.5	0.5252	0.2238	2.3642
46	15.06	3.69	3	18	0.100	0.0	0.5	0.5570	0.0798	2.1306
47	14.16	4.14	3	18	0.140	0.0	1.0	0.5602	0.0295	2.3642
48	14.64	3.97	7	18	0.100	0.0	0.5	0.6979	0.2238	2.3642
49	15.22	3.79	3	18	0.130	0.0	0.5	0.6165	0.2238	2.3642
50	15.48	3.57	4	18	0.120	0.0	1.0	0.5329	0.1224	2.7143
