Gen	Regla	Error	N_reguladores
G1	(G1 & !G7)	1	2
G2	(!G2 & !G7 & G8) | (G2 & !G8) | (G2 & G7)	1	3
G3	(!G7) | (G6)	0	2
G4	(!G1 & !G4 & !G8 & !G9) | (!G1 & G4 & !G8 & G9 & G10) | (!G1 & G4 & G8 & !G9) | (G1 & !G4 & G8 & !G9 & !G10) | (G1 & !G4 & G8 & G9 & G10) | (G1 & G4 & !G8 & !G9 & !G10)	1	5
G5	(G6 & G8) | (G4 & G8) | (G4 & G6)	1	3
G6	(G6 & G8) | (G4 & G8) | (G4 & G6)	1	3
G7	(G2 & !G6)	0	2
G8	(!G6 & !G8 & !G10) | (!G1 & !G6 & !G10) | (G1 & G6 & !G8 & G10)	1	4
G9	(!G4 & G8 & !G9 & !G10) | (G4 & !G8 & !G10) | (G4 & !G8 & G9) | (G4 & G8 & !G9 & G10)	1	4
G10	(G10) | (G4)	3	2
