Gen	Regla	Error	N_reguladores
G1	(!G5 & !G7) | (!G5 & !G6) | (G6 & !G7)	0	3
G2	(!G6 & G8 & !G10) | (!G2 & G6 & !G8 & G10) | (G2 & !G6) | (G2 & G8 & !G10)	0	4
G3	(!G1 & G2 & !G4 & !G8 & !G9) | (!G1 & G2 & !G4 & G8 & G9) | (G1 & !G2 & !G4) | (G1 & !G2 & !G8 & G9) | (G1 & G2 & G4 & G8 & G9)	0	5
G4	(!G2 & !G7 & G8 & G9 & G10) | (G2 & !G7 & G8 & G9 & !G10) | (G2 & G7 & !G8 & G9 & G10) | (G2 & G7 & G8 & !G9 & !G10)	1	5
G5	(!G2 & !G7 & !G8) | (!G2 & !G7 & G10) | (G2 & G8 & !G10) | (G2 & G7)	1	4
G6	(!G4 & !G5 & !G6 & !G7 & G8) | (!G4 & G5 & !G6 & G7 & G8) | (G5 & G6 & !G7 & !G8) | (!G4 & G5 & G6 & !G7)	1	5
G7	(!G1 & !G2 & G5 & !G6 & !G7) | (!G1 & G2 & G5 & !G6 & G7) | (G1 & G2 & G5 & !G6 & !G7)	0	5
G8	(!G2 & G5 & !G8 & G10) | (G5 & !G8 & G9 & !G10) | (G2 & !G5 & !G8 & !G9 & G10) | (G2 & G5 & G9 & !G10) | (G2 & G5 & G8 & G9)	0	5
G9	(!G1 & G2 & !G6 & !G8) | (!G1 & G2 & G8 & G9) | (G1 & !G2 & !G6 & G9) | (G1 & G6 & G8 & G9)	0	5
G10	(!G2 & !G4 & !G6 & !G7 & !G10) | (!G2 & !G4 & G6 & !G7 & G10) | (!G2 & G4 & G6 & !G7 & !G10) | (G2 & !G4 & G6 & !G7 & !G10) | (G2 & G4 & !G6 & G7) | (G2 & G4 & G6 & !G7 & G10)	1	5
