Gen	Regla	Error	N_reguladores
G1	(!G7 & !G10) | (!G5 & !G10) | (G5 & !G7)	0	3
G2	(G3 & !G10)	0	2
G3	(G10) | (G3)	1	2
G4	(G8) | (G7)	0	2
G5	(!G5 & !G7 & !G8 & !G9 & !G10) | (!G5 & !G7 & !G8 & G9 & G10) | (G7 & G8 & !G9 & G10) | (G5 & !G7 & G8 & G9 & G10)	2	5
G6	(!G6 & G7 & !G9 & G10) | (G6 & !G7 & !G9 & G10) | (G6 & G7 & G9 & G10)	0	4
G7	(!G1 & !G5 & !G9 & G10) | (!G1 & G5 & G9 & G10) | (!G1 & G6 & !G9 & G10) | (G1 & !G5 & !G6 & G9 & G10) | (G1 & G5 & !G6 & !G9 & G10)	0	5
G8	(G7) | (G6)	0	2
G9	(!G3 & G5 & !G6 & !G9 & !G10) | (!G3 & G5 & !G6 & G9 & G10) | (G3 & !G5 & !G6 & G9 & G10) | (G3 & !G5 & G6 & !G9 & G10) | (G3 & G5 & !G6 & !G9 & G10) | (G3 & G5 & !G6 & G9 & !G10)	1	5
G10	(!G3 & !G7 & !G9 & !G10) | (!G7 & G9 & G10) | (G3 & G7 & G10)	0	4
