Gen	Regla	Error	N_reguladores
G1	(!G8 & !G9)	0	2
G2	(!G8 & G9) | (G8 & !G9)	0	2
G3	(!G8 & !G9)	0	2
G4	(G8)	0	1
G5	0	0	1
G6	0	0	1
G7	(!G8 & G9) | (G8 & !G9)	0	2
G8	(!G8 & !G10)	0	2
G9	(!G8 & G9) | (G8 & !G9)	0	2
G10	(G9)	0	1
