Gen	Regla	Error	N_reguladores
G1	(!G1 & !G2 & G4)	0	3
G2	(!G6 & !G8 & G9) | (!G6 & G8 & !G9) | (G5 & !G6) | (G5 & !G8 & G9) | (G5 & G8 & !G9)	0	4
G3	(!G7 & G10) | (G3 & !G7) | (G3 & G10)	0	3
G4	(!G7 & G8 & !G9) | (!G2 & !G7 & G8) | (!G2 & G7 & !G8 & G9) | (G2 & G7 & !G9) | (G2 & G7 & G8)	0	4
G5	(!G7 & !G8 & G9 & G10) | (!G7 & G8 & !G9 & G10) | (G2 & G8 & !G9 & !G10) | (G2 & G7 & !G9 & !G10) | (G2 & G7 & !G8 & !G10) | (G2 & G7 & G8 & G9 & G10)	1	5
G6	(!G4 & G10) | (G8 & G10)	0	3
G7	(!G7 & !G8 & G9 & G10) | (!G7 & G8 & G9 & !G10) | (G7 & !G8 & !G9 & !G10) | (!G2 & G7 & !G8 & !G9) | (G2 & G7 & !G8 & !G10) | (G2 & G7 & !G9 & !G10)	0	5
G8	(!G2 & !G7 & !G8 & !G9 & !G10) | (G2 & !G8 & G9 & !G10) | (G2 & !G7 & G8 & !G9) | (G2 & G8 & G9 & G10) | (G2 & G7 & !G8 & !G10)	0	5
G9	(!G2 & !G8 & !G9 & !G10) | (!G2 & !G7 & !G8 & G9 & G10) | (!G7 & G8 & !G9 & G10) | (!G2 & G7 & !G8 & !G10) | (G2 & !G7 & G8 & !G10) | (G7 & !G8 & !G9 & !G10) | (G2 & G7 & !G8 & G9 & G10)	1	5
G10	(!G8 & G9 & G10) | (G8 & !G9 & G10) | (G5 & !G8 & !G9) | (G5 & G10)	0	4
