Gen	Regla	Error	N_reguladores
G1	(!G1 & G8 & G9 & G10) | (G1 & !G8 & !G9 & G10) | (G1 & !G8 & G9 & !G10) | (G1 & G8 & !G9 & !G10)	1	4
G2	(G3 & !G6 & !G8 & !G9) | (!G1 & G3 & !G6 & !G8) | (!G1 & G3 & !G6 & !G9) | (G1 & !G3 & G6 & !G9)	1	5
G3	(G3 & !G6 & !G9) | (!G1 & G3 & !G6) | (G1 & !G3 & G6 & !G9)	1	4
G4	(!G7 & !G8 & !G9 & G10) | (!G7 & !G8 & G9 & !G10) | (!G7 & G8 & !G9 & !G10) | (!G7 & G8 & G9 & G10)	1	4
G5	(!G7 & !G8) | (G6 & !G7)	0	3
G6	(G6 & G10) | (G6 & G9)	1	3
G7	(!G6 & G8) | (!G6 & G7)	1	3
G8	(!G6 & !G8 & !G9 & G10) | (!G6 & G8 & !G9 & !G10) | (G6 & G9 & G10)	1	4
G9	(!G1 & !G3 & !G5 & G6 & !G9) | (G1 & !G3 & G5 & G6 & G9) | (G1 & G3 & G5 & G6 & !G9)	1	5
G10	(!G3 & G5 & G6) | (G3 & !G6 & !G8) | (G3 & !G5 & !G6)	1	4
