Gene	Position	Rule	Correct	N_Regulators	MSE	Score
G1	1	G1 | (G10 & G8)	17	3	0.243685	2.5438
G1	2	G1 & (G4 | G6)	18	3	0.424226	2.4133
G1	3	G1 | (G4 & G6)	17	3	0.424226	2.3633
G1	4	G4 & (G1 | G5)	17	3	0.463939	2.3236
G1	5	G1 | (G10 & G3)	17	3	0.576866	2.2106
G1	6	G1 & G4	18	2	0.664179	2.1733
G1	7	G1 | (G2 & G3)	17	3	0.636547	2.1510
G1	8	G1	18	1	0.424226	1.9133
G1	9	G1 & (G10 | G4 | G8)	18	4	0.459878	1.8776
G1	10	G1 | (G2 & G6 & G7) | (G2 & G6 & G9)	18	5	0.210111	1.6899
G1	11	G1 & (G4 | G6 | G7) & (G4 | G6 | G8)	18	5	0.464281	1.4357
G2	1	G1 & G4 & G8	16	3	0.686097	2.0514
G2	2	G3 & G4 & G6	16	3	0.809775	1.9277
G2	3	G8 & (G1 | G4)	16	3	0.943382	1.7941
G2	4	G1 & G8	16	2	1.095205	1.7375
G2	5	G4 & G8	16	2	1.145912	1.7375
G2	6	G8 & (G1 | G3)	16	3	1.086792	1.7375
G2	7	G4 & G8 & (G1 | G3)	17	4	0.715853	1.5716
G2	8	G8 & (G1 | G3) & (G1 | G4)	17	4	0.715853	1.5716
G2	9	G4 & (G1 | G8) & (G3 | G8)	16	4	0.743656	1.4938
G2	10	(G1 | G4) & (G1 | G5) & (G3 | G4) & (G3 | G5)	16	4	0.776181	1.4613
G3	1	G9 & (G1 | G6)	16	3	0.792711	1.9448
G3	2	G6 & G9	17	2	1.230449	1.7875
G3	3	G9 & (G6 | G8)	17	3	1.287118	1.7875
G3	4	G6 & (G2 | G9)	16	3	1.223576	1.7375
G3	5	G6 & G9 & ~G8	16	3	1.287118	1.7375
G3	6	G5 & G6 & G9	16	3	1.229820	1.7375
G3	7	G6 & G9 & (G5 | G7)	16	4	0.933716	1.3038
G3	8	G9 & (G10 | G6) & (G3 | G6)	17	4	1.197574	1.2875
G4	1	G1 | (G3 & G6)	19	3	0.280272	2.6072
G4	2	G1 | (G8 & G9)	18	3	0.252409	2.5851
G4	3	G1 & (G4 | G6)	18	3	0.254607	2.5829
G4	4	G1 & (G4 | G7)	18	3	0.293788	2.5437
G4	5	G1 | (G3 & G9)	19	3	0.399444	2.4881
G4	6	G1 & G4	18	2	0.381084	2.4564
G4	7	G1 | G3	18	2	0.402030	2.4355
G4	8	G1 | (G10 & G3) | (G3 & G6)	18	4	0.201032	2.1365
G4	9	G1 | (G2 & G3 & G6)	18	4	0.206920	2.1306
G4	10	(G1 & G4) | (G1 & G6) | (G3 & G4) | (G3 & G6)	19	4	0.340665	2.0468
G4	11	G1	18	1	0.310947	2.0266
G5	1	~G1 & (G5 | ~G10)	20	3	0.081348	2.8562
G5	2	~G1 & (~G4 | ~G7)	20	3	0.129952	2.8075
G5	3	~G1 & (G5 | G9)	20	3	0.150918	2.7866
G5	4	~G1 | (~G4 & ~G7)	19	3	0.129952	2.7575
G5	5	~G1 | ~G4	19	2	0.129952	2.7575
G5	6	~G1 & (~G10 | ~G4)	20	3	0.196967	2.7405
G5	7	(G5 & ~G1) | (~G4 & ~G5)	20	3	0.199812	2.7377
G5	8	~G1 | (G3 & G5)	19	3	0.165188	2.7223
