Gen	Regla	Error	N_reguladores
G1	(!G5 & !G10) | (G3 & !G5)	1	3
G2	(!G1 & !G2 & !G3 & G9) | (!G1 & !G2 & G3 & !G9) | (!G1 & G2 & !G3 & !G9) | (G1 & !G2 & !G3 & !G9)	1	4
G3	(!G1 & G6 & G9 & !G10) | (G1 & G6 & !G9) | (G1 & G6 & G10)	0	4
G4	(G7 & !G9) | (G4 & !G9) | (G4 & G7)	0	3
G5	(G6 & !G7 & !G8 & !G9) | (G6 & !G7 & G8 & G9)	2	4
G6	(!G3 & !G4 & !G5 & G10) | (!G3 & G5 & !G9 & !G10) | (!G3 & G4 & !G5 & G9) | (!G3 & G4 & G5 & !G9) | (G3 & G4 & !G5 & !G9 & !G10)	2	5
G7	(G7)	2	1
G8	(!G2 & !G7 & !G9 & G10) | (G2 & !G7 & G9 & G10) | (G2 & G7 & !G9 & !G10)	0	4
G9	(!G2 & !G4 & !G7 & !G9 & G10) | (!G2 & G4 & !G7 & !G9 & !G10) | (!G2 & G4 & !G7 & G9 & G10) | (G2 & !G4 & !G7 & G9 & G10) | (G2 & !G4 & G7 & !G9 & !G10)	1	5
G10	(!G1 & !G3 & !G4 & G10) | (!G1 & !G3 & G4 & !G9 & !G10) | (!G3 & G4 & G9 & G10) | (!G1 & G3 & G4 & !G9 & G10) | (G1 & G3 & G4 & !G9 & !G10)	2	5
