Gen	Regla	Error	N_reguladores
G1	(G8 & !G9) | (!G3 & G8)	1	3
G2	(G8 & !G9) | (!G3 & G8)	1	3
G3	(G7 & G8) | (G6 & G7)	2	3
G4	(!G7 & G10) | (G8)	0	3
G5	(!G8 & !G10) | (G7 & !G8)	0	3
G6	(G5)	0	1
G7	(!G6 & !G7 & G9 & G10) | (G7 & !G8 & G9 & !G10) | (G6 & !G8 & G9 & !G10) | (!G7 & G8 & G9 & G10) | (G6 & G7 & !G8 & G9) | (G6 & G7 & G8 & !G9 & !G10)	1	5
G8	(G8 & !G9) | (!G3 & G8)	1	3
G9	(!G6 & !G7 & G9 & G10) | (!G6 & !G7 & G8) | (!G6 & G7 & !G8 & !G9 & !G10) | (!G6 & G8 & G9 & !G10) | (G6 & !G8 & G9 & !G10) | (G6 & G7 & !G8 & G9)	0	5
G10	(!G3 & !G7 & !G10) | (G3 & !G7 & G8 & G10) | (G3 & G7 & G8 & !G10)	2	4
