Gen	Regla	Error	N_reguladores
G1	(!G2 & !G4 & !G7 & G8 & !G9) | (!G2 & G4 & !G7 & !G8 & !G9) | (!G2 & G4 & !G7 & G8 & G9) | (G4 & G7 & !G8 & G9) | (!G2 & G4 & G7 & G8 & !G9) | (G2 & G4 & !G7 & G8 & !G9)	0	5
G2	(!G1 & !G4 & G6 & G7 & G9) | (G4 & G6 & !G7 & !G9) | (G1 & G4 & !G6 & G7 & !G9) | (G1 & G4 & G6 & !G7)	0	5
G3	(!G1 & !G6 & G8 & !G9) | (!G1 & G6 & !G8 & G9) | (G1 & !G6 & !G8 & !G9) | (G1 & G6 & G8 & G9)	1	4
G4	(!G1 & !G4 & !G7 & !G10) | (G1 & G4)	0	4
G5	(!G4 & G9) | (G5 & !G9)	0	3
G6	(!G7 & !G8 & !G9 & G10) | (!G4 & !G8 & G9 & !G10) | (!G4 & !G7 & !G8 & G10) | (!G4 & !G7 & G8 & !G9 & !G10) | (G4 & !G7 & !G8 & !G9) | (G4 & !G7 & G8 & G9 & !G10) | (G4 & G7 & G8 & !G9 & G10)	0	5
G7	(!G2 & !G3 & !G4 & !G10) | (!G2 & G4 & G10) | (G2 & !G3 & !G4 & G10) | (G2 & !G3 & G4 & !G10)	1	4
G8	(!G3 & !G6 & !G7 & !G9 & G10) | (!G3 & !G6 & G7 & !G9 & !G10) | (!G3 & !G6 & G7 & G9 & G10) | (G6 & !G7 & G9 & !G10) | (!G3 & G6 & !G7 & G9) | (G3 & G6 & !G7 & !G10)	1	5
G9	(!G3 & !G4 & G7 & !G10) | (!G3 & G4 & !G7 & !G9 & !G10) | (!G3 & G4 & G7 & !G9 & G10) | (G3 & !G4 & !G7 & !G9) | (G3 & !G7 & !G9 & G10)	1	5
G10	(!G6 & !G7 & !G9 & !G10) | (!G3 & !G6 & !G9 & !G10) | (!G3 & !G6 & G7 & !G10) | (!G3 & G7 & G9 & G10) | (G3 & !G6 & !G7 & !G9)	1	5
