Gen	Regla	Error	N_reguladores
G1	(!G3 & !G4 & G5 & !G10) | (G4 & !G5 & !G10) | (!G3 & G4 & G10)	2	4
G2	(!G9)	1	1
G3	(!G2)	0	1
G4	(!G1 & !G5 & G10) | (!G5 & G9) | (!G1 & G5 & !G9 & !G10) | (!G1 & G9 & G10) | (G1 & G9 & !G10)	1	4
G5	(!G5 & G10) | (!G1 & G10) | (G1 & !G5)	1	3
G6	(!G5 & !G9 & G10) | (!G3 & !G5 & G9 & !G10) | (!G3 & G5 & !G9)	0	4
G7	(!G5 & !G10) | (G9)	1	3
G8	(!G5 & !G10) | (G9)	1	3
G9	(!G5 & !G10) | (G9)	1	3
G10	(!G5 & !G9 & G10) | (!G5 & G6 & G9) | (G5 & !G6 & G9 & !G10) | (G5 & G6 & !G9 & !G10)	3	4
