Gen	Regla	Error	N_reguladores
G1	0	0	1
G2	(G8 & !G10)	0	2
G3	(!G8 & !G10) | (G8 & G10)	0	2
G4	(G1)	0	1
G5	(!G7)	0	1
G6	(!G8 & !G10) | (G8 & G10)	0	2
G7	(G1)	0	1
G8	(!G5 & !G10)	0	2
G9	(!G8 & !G10) | (G8 & G10)	0	2
G10	(G8 & !G10)	0	2
