Gene	Rule
ABA4	!MYB44
ABCG31	FALSE
ABF3	HB5
ABF4	MYB44
CYP707A3	!CYP707A3
DREB2A	MYB44
FBH3	MYB44
HB5	!MYB44
HB6	TRUE
HB7	!MYB44
MYB44	HB5
PP2C5	FALSE
ZAT6	MYB44
