rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition	mlp_loss
1	G84 & G87 & G90	20	3	0.0	G84, G87, G90	3	1	0.17153625334091654
2	G84 & G87 & G90	20	3	0.0	G84, G87, G90	3	1	0.17153625334091654
3	G84 & G87 & G90	20	3	0.0	G84, G87, G90	3	1	0.17153625334091654
4	G84 & G87 & G90	20	3	0.0	G84, G87, G90	3	1	0.17153625334091654
5	G84 & G87 & G90	20	3	0.0	G84, G87, G90	3	1	0.17153625334091654
6	G84 & G87 & G90	20	3	0.0	G84, G87, G90	3	1	0.17153625334091654
7	G84 & G87 & G90	20	3	0.0	G84, G87, G90	3	1	0.17153625334091654
8	G84 & G87 & G90	20	3	0.0	G84, G87, G90	3	1	0.17153625334091654
9	G84 & G87 & G90	20	3	0.0	G84, G87, G90	3	1	0.17795799139993734
10	G84 & G87 & G90	20	3	0.0	G84, G87, G90	3	1	0.17795799139993734
11	G84 & G87	20	2	0.0	G84, G87	2	1	0.4625905018793204
12	G84 & G87	20	2	0.0	G84, G87	2	1	0.4625905018793204
13	G56 & G87	19	2	0.0	G56, G87	2	1	0.48402603010111744
14	G56 & G87	19	2	0.0	G56, G87	2	1	0.48402603010111744
15	G27 & G56 & G84 & G90	19	4	0.5	G27, G56, G84, G90	4	1	0.07301507286627337
16	G27 & G56 & G69 & G89 & G90	19	5	1.0	G27, G56, G69, G89, G90	5	1	0.20954080252723656
17	G10 & G21	18	2	0.0	G10, G21	2	1	0.5913789248471748
18	G20 & G56	18	2	0.0	G20, G56	2	1	0.7806523276221188
19	G1 & G27 & G84	18	3	0.0	G1, G27, G84	3	1	0.8033364301359673
20	G27 & G56	18	2	0.0	G27, G56	2	1	0.9393231225518622
21	G27 & G56	18	2	0.0	G27, G56	2	1	0.9393231225518622
22	G27 & G56	18	2	0.0	G27, G56	2	1	0.9393231225518622
23	G11 & G84	18	2	0.0	G11, G84	2	1	1.0782720752036834
24	G27 & G51 & G56 & G90	18	4	0.5	G27, G51, G56, G90	4	1	0.06376478327318848
25	G55	18	1	0.5	G55	1	1	0.7068044774919012
26	G1 & G27 & G56 & G69 & G90	18	5	1.0	G1, G27, G56, G69, G90	5	1	0.06839991027873478
27	G1 & G27 & G56 & G65 & G87	18	5	1.0	G1, G27, G56, G65, G87	5	1	0.5707335844737671
28	G10 & G27	17	2	0.0	G10, G27	2	1	0.7231075878080111
29	G10 & G27	17	2	0.0	G10, G27	2	1	0.7231075878080111
30	G39 & G82	17	2	0.0	G39, G82	2	1	1.1814610666059422
31	G10 & G81	16	2	0.0	G10, G81	2	1	0.6996109703280068
32	G1 & G27 & G65	16	3	0.0	G1, G27, G65	3	1	0.9341494194009365
33	G87	16	1	0.5	G87	1	1	0.17216203201576835
34	G87	16	1	0.5	G87	1	1	0.17216203201576835
35	G87	16	1	0.5	G87	1	1	0.17216203201576835
36	G87	16	1	0.5	G87	1	1	0.17216203201576835
37	G87	16	1	0.5	G87	1	1	0.17216203201576835
38	G27 & G69	15	2	0.0	G27, G69	2	1	1.0680724026531137
39	G27 & G44	15	2	0.0	G27, G44	2	1	1.143260631032812
40	G27 & G65	15	2	0.0	G27, G65	2	1	1.1850162835664984
41	G56	15	1	0.5	G56	1	1	0.545242318234888
42	G71	14	1	0.5	G71	1	1	1.1777711625097458
43	G69 & G89	13	2	0.0	G69, G89	2	1	1.0211962984169363
44	G80	13	1	0.5	G80	1	1	0.7944613650313346
45	G84	13	1	0.5	G84	1	1	1.1684593669578303
46	G69 & G75 & G90	12	3	0.0	G69, G75, G90	3	1	0.5825022753738638
47	G10	12	1	0.5	G10	1	1	0.4918522056037783
48	G69	11	1	0.5	G69	1	1	1.027321112379357
49	G5 | G87	10	2	0.0	G5, G87	2	1	0.488747537402068
50	G58	8	1	0.5	G58	1	1	0.72540119915808
