rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition	mlp_loss
1	G10 & G9 & ~G1	19	3	0.0	G1, G10, G9	3	2	0.3532607888395729
2	G10 & G9 & ~G1	19	3	0.0	G1, G10, G9	3	2	0.3532607888395729
3	G10 & G9 & ~G1	19	3	0.0	G1, G10, G9	3	2	0.3532607888395729
4	G10 & G9 & ~G1	19	3	0.0	G1, G10, G9	3	2	0.4058390629143938
5	G10 & G9 & ~G1	19	3	0.0	G1, G10, G9	3	2	0.4058390629143938
6	G10 & G9 & ~G1	19	3	0.0	G1, G10, G9	3	2	0.4058390629143938
7	G10 & ~G1	19	2	0.0	G1, G10	2	2	0.46675032010408735
8	G10 & ~G1	19	2	0.0	G1, G10	2	2	0.46675032010408735
9	G10 & ~G1	19	2	0.0	G1, G10	2	2	0.46675032010408735
10	G10 & (~G1 | ~G2)	19	3	0.0	G1, G10, G2	3	2	0.46675032010408735
11	G10 & (~G1 | ~G2)	19	3	0.0	G1, G10, G2	3	2	0.46675032010408735
12	G10 & ~G1	19	2	0.0	G1, G10	2	2	0.46675032010408735
13	G10 & (~G1 | ~G2)	19	3	0.0	G1, G10, G2	3	2	0.46675032010408735
14	G10 & G9	19	2	0.0	G10, G9	2	2	1.0030950305870932
15	G10 & G2 & ~G1	18	3	0.0	G1, G10, G2	3	2	0.46675032010408735
16	G10	18	1	0.5	G10	1	2	0.9199240866566369
17	G10	18	1	0.5	G10	1	2	0.9199240866566369
18	G10 & (G1 | G2)	17	3	0.0	G1, G10, G2	3	2	0.46675032010408735
19	(G1 & G2) | (G10 & G9) | (G7 & G9)	13	5	1.0	G1, G10, G2, G7, G9	5	2	0.37575900262209605
20	G10 & ~G5	12	2	0.0	G10, G5	2	2	0.9353057203060406
21	G10 & ~G1 & ~G2	11	3	0.0	G1, G10, G2	3	2	0.46675032010408735
22	G6 & (G10 | ~G1)	11	3	0.0	G1, G10, G6	3	2	0.4838009587821255
23	G10 & G8 & ~G5	11	3	0.0	G10, G5, G8	3	2	0.9162194294679903
24	~G1 | ~G10	11	2	0.0	G1, G10	2	2	0.9163731180876091
25	G9 | (G4 & ~G1)	11	3	0.0	G1, G4, G9	3	2	0.9929062206289757
26	G10 | G2	11	2	0.0	G10, G2	2	2	1.0236839047901503
27	G2 & ~G1	11	2	0.0	G1, G2	2	2	2.5442469809709225
28	G3	11	1	0.5	G3	1	2	1.693687808007892
29	G9	11	1	0.5	G9	1	2	1.7937746944953061
30	G9	11	1	0.5	G9	1	2	1.7937746944953061
31	G9	11	1	0.5	G9	1	2	1.7937746944953061
32	True	10	1	0.5	True	1	2	0.46675032010408735
33	G10 | G9	10	2	0.0	G10, G9	2	2	1.0030844832724435
34	G5 & G9	10	2	0.0	G5, G9	2	2	2.0306849377709755
35	False	10	1	0.5	False	1	2	2.5442469809709225
36	G1 & G10 & G2 & G9	10	4	0.5	G1, G10, G2, G9	4	2	0.437776254861595
37	~G1 | ~G10 | ~G2 | ~G9	10	4	0.5	G1, G10, G2, G9	4	2	0.437776254861595
38	G2	10	1	0.5	G2	1	2	2.512523449179903
39	G1 & G7 & G9 & (~G10 | ~G2)	10	5	1.0	G1, G10, G2, G7, G9	5	2	0.37575900262209605
40	G1 & G10	9	2	0.0	G1, G10	2	2	0.9163731180876091
41	G2 & G5	9	2	0.0	G2, G5	2	2	1.267448270809294
42	G1 & G2	9	2	0.0	G1, G2	2	2	2.5442469809709225
43	G1 & G2	9	2	0.0	G1, G2	2	2	2.5442469809709225
44	G1 & G2	9	2	0.0	G1, G2	2	2	2.5442469809709225
45	G1 & G2	9	2	0.0	G1, G2	2	2	2.5442469809709225
46	G4	7	1	0.5	G4	1	2	1.8608180843935727
47	G7	6	1	0.5	G7	1	2	1.3436691368581946
48	~G10 | ~G5	4	2	0.0	G10, G5	2	2	0.9353057203060406
49	(~G1 & ~G10) | (~G1 & ~G2) | (~G10 & ~G7) | (~G10 & ~G9) | (~G2 & ~G7) | (~G2 & ~G9)	3	5	1.0	G1, G10, G2, G7, G9	5	2	0.37575900262209605
50	~G10	2	1	0.5	G10	1	2	0.9199240866566369
