rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition	mlp_loss
1	G10 | G6 | ~G1	17	3	0.0	G1, G10, G6	3	2	0.5791177148289078
2	G10 | G6 | ~G1	17	3	0.0	G1, G10, G6	3	2	0.5791177148289078
3	G10 | G6 | ~G1	17	3	0.0	G1, G10, G6	3	2	0.5791177148289078
4	G10 | G6 | ~G1	17	3	0.0	G1, G10, G6	3	2	0.5791177148289078
5	G10 | G6 | ~G1	17	3	0.0	G1, G10, G6	3	2	0.5791177148289078
6	G10 | G6 | ~G1	17	3	0.0	G1, G10, G6	3	2	0.5791177148289078
7	G10 | G6 | ~G1	17	3	0.0	G1, G10, G6	3	2	0.5791177148289078
8	G10 | G6 | ~G1	17	3	0.0	G1, G10, G6	3	2	0.5791177148289078
9	G10 | G6 | ~G1	17	3	0.0	G1, G10, G6	3	2	0.5791177148289078
10	G10 | G6 | ~G1	17	3	0.0	G1, G10, G6	3	2	0.5791177148289078
11	G10 | G6 | ~G1	17	3	0.0	G1, G10, G6	3	2	0.5791177148289078
12	G10 | G8 | G9	17	3	0.0	G10, G8, G9	3	2	1.1029521868979437
13	G5 | G6 | ~G1	17	3	0.0	G1, G5, G6	3	2	1.3794933075040423
14	G1 | G3 | G9	17	3	0.0	G1, G3, G9	3	2	1.4208439329433897
15	G1 | G3 | G9	17	3	0.0	G1, G3, G9	3	2	1.4208439329433897
16	G10 | ~G1	17	2	0.0	G1, G10	2	2	1.5813988487538198
17	G10 | G3 | G9 | ~G1	17	4	0.5	G1, G10, G3, G9	4	2	0.8794264514318357
18	G1 | G3 | G5	16	3	0.0	G1, G3, G5	3	2	0.6176918233183342
19	G4 | G6 | ~G1	16	3	0.0	G1, G4, G6	3	2	1.0330104435466003
20	G3 | G6 | ~G1	16	3	0.0	G1, G3, G6	3	2	1.1923164735055851
21	G6 | (~G1 & ~G3)	16	3	0.0	G1, G3, G6	3	2	1.1923164735055851
22	G3 | ~G1	16	2	0.0	G1, G3	2	2	1.5420435811640811
23	G3 | G9	16	2	0.0	G3, G9	2	2	1.7025780197670763
24	G6 | G9	16	2	0.0	G6, G9	2	2	1.7045980604136823
25	G6 | G9	16	2	0.0	G6, G9	2	2	1.7045980604136823
26	G3 | G6 | G8 | G9	16	4	0.5	G3, G6, G8, G9	4	2	0.3850887544427779
27	~G3	16	1	0.5	G3	1	2	1.6457410480399566
28	~G3	16	1	0.5	G3	1	2	1.6457410480399566
29	~G6	16	1	0.5	G6	1	2	1.7369863009835247
30	~G1 & ~G3 & ~G6	15	3	0.0	G1, G3, G6	3	2	1.1923164735055851
31	G3 | G6 | ~G10	12	3	0.0	G10, G3, G6	3	2	1.1131450543443813
32	~G1 & ~G10 & ~G3	11	3	0.0	G1, G10, G3	3	2	0.6185545948246983
33	~G10	11	1	0.5	G10	1	2	1.6336319480355732
34	G1 | G10 | G6	9	3	0.0	G1, G10, G6	3	2	0.5791177148289078
35	G1 | G10 | G3	9	3	0.0	G1, G10, G3	3	2	0.6185545948246983
36	G10 | G3	9	2	0.0	G10, G3	2	2	1.717841237979039
37	G10 | G3	9	2	0.0	G10, G3	2	2	1.717841237979039
38	G10 | G6	9	2	0.0	G10, G6	2	2	1.7356844221587395
39	G1 | G10 | G3 | G6	9	4	0.5	G1, G10, G3, G6	4	2	0.795509386041695
40	G1 | G10 | G3 | G6	9	4	0.5	G1, G10, G3, G6	4	2	0.795509386041695
41	G1 | G10 | G3 | G6	9	4	0.5	G1, G10, G3, G6	4	2	0.795509386041695
42	G10	9	1	0.5	G10	1	2	1.6336319480355732
43	G10	9	1	0.5	G10	1	2	1.6336319480355732
44	G1 | G3 | G6	5	3	0.0	G1, G3, G6	3	2	1.1923164735055851
45	G1 | G3 | G6	5	3	0.0	G1, G3, G6	3	2	1.1923164735055851
46	G3 | G6 | G8	5	3	0.0	G3, G6, G8	3	2	1.2540926389876743
47	G1 | G3	5	2	0.0	G1, G3	2	2	1.5420435811640811
48	G6 & (G3 | ~G1)	4	3	0.0	G1, G3, G6	3	2	1.1923164735055851
49	G1 | ~G9	4	2	0.0	G1, G9	2	2	1.586447418004998
50	G6	4	1	0.5	G6	1	2	1.7369863009835247
