Gene	Position	Rule	Correct	N_Regulators	MSE	Score
G1	1	G5 & (G38 | G64)	19	3	0.138277	2.7492
G1	2	G5 & G64	19	2	0.138277	2.7492
G1	3	G64 & (G38 | G5)	19	3	0.138277	2.7492
G1	4	G5 & G64 & G86	19	3	0.364653	2.5228
G1	5	G32 | G64	18	2	0.408609	2.4289
G1	6	G27 & G5	18	2	0.459709	2.3778
G1	7	G64	19	1	0.138277	2.2492
G2	1	G59 & G99 & ~G96	16	3	0.515089	2.2224
G2	2	G59 & G99	15	2	1.149387	1.6875
G3	1	G46 & G55 & G74	17	3	0.612975	2.1745
G3	2	G46 & ~G49	16	2	0.889367	1.8481
G3	3	G46 & G74	16	2	0.897653	1.8398
G3	4	G46 & G55 & G74 & G83	16	4	0.687285	1.5502
G4	1	G30 | G31 | G65	17	3	0.487480	2.3000
G4	2	G30 | G65	17	2	0.493814	2.2937
G4	3	G30 | G31 | G94	16	3	0.557262	2.1802
G4	4	G30 | G31 | G69	17	3	0.684489	2.1030
G4	5	G30 | G69	17	2	0.695969	2.0915
G4	6	G30 | G31	16	2	0.695783	2.0417
G4	7	G31 | G69	17	2	0.766251	2.0212
G5	1	G16 & G5	18	2	0.322410	2.5151
G5	2	G5 & (G16 | G60)	18	3	0.322410	2.5151
G5	3	G5 | (G16 & G60)	18	3	0.322410	2.5151
G5	4	G16 | (G45 & G5)	18	3	0.770187	2.0673
G5	5	G5	18	1	0.322410	2.0151
G5	6	G16 | G33	18	2	0.969145	1.8684
G5	7	G16 | G5	18	2	0.972639	1.8649
G5	8	G16	18	1	0.970634	1.3669
G6	1	G19 | (G17 & G89)	19	3	0.374537	2.5130
G6	2	G19 | G89	19	2	0.374537	2.5130
G6	3	G19 | (G1 & G89) | (G17 & G89)	19	4	0.557833	1.8297
G7	1	G52 & (G33 | G64)	19	3	0.264304	2.6232
G7	2	G52 & G64	19	2	0.264304	2.6232
G7	3	G33 & G52 & G64	18	3	0.264304	2.5732
G7	4	G33 & G52	18	2	0.714623	2.1229
G8	1	~G21 | ~G35	18	2	0.292140	2.5454
G8	2	~G35	19	1	0.305036	2.0825
G9	1	G5 | (G68 & G95)	20	3	0.137091	2.8004
G9	2	G68 & (G5 | G95)	19	3	0.137091	2.7504
G9	3	G5 | G68	19	2	0.717656	2.1698
G10	1	G50 & (~G35 | ~G77)	20	3	0.292200	2.6453
G10	2	G50 & ~G35	20	2	0.407669	2.5298
G10	3	~G35	20	1	0.335830	2.1017
G10	4	G50	19	1	0.454591	1.9329
G11	1	G29 | G50 | ~G86	17	3	0.420555	2.3669
G11	2	G29 | G3 | G50	17	3	0.445955	2.3415
G11	3	G22 | G29	17	2	0.832029	1.9555
G11	4	G29 | G91	16	2	0.869991	1.8675
G11	5	G29 | G3	16	2	0.991962	1.7455
G12	1	G81 & (G10 | G77)	17	3	0.477563	2.3099
G12	2	G50 & (G73 | G81)	18	3	0.668860	2.1686
G12	3	G50 & (G73 | G81) & (G81 | G91)	18	4	0.600843	1.7367
G13	1	G66 | (~G11 & ~G65)	17	3	0.361905	2.4256
G13	2	G66 | (G83 & ~G65)	17	3	0.553264	2.2342
G13	3	~G33	16	1	0.774783	1.4627
G14	1	G50 | (G10 & ~G20)	18	3	0.258669	2.5788
G14	2	G10 | G50 | ~G20	18	3	0.258669	2.5788
G14	3	G50 | (~G10 & ~G20)	17	3	0.258669	2.5288
G14	4	G50 | (G12 & ~G20)	18	3	0.564977	2.2725
G14	5	G50	17	1	0.716199	1.5713
G15	1	G82 | (G21 & G83)	19	3	0.984380	1.9031
G15	2	G83 & (G21 | G82)	18	3	0.984380	1.8531
G15	3	G83 & G87	18	2	1.415649	1.8375
G15	4	G21 | G82	18	2	1.432589	1.8375
G16	1	G86 | (G50 & G79)	19	3	0.408136	2.4794
G16	2	G70 | G86	19	2	0.572545	2.3150
G16	3	G86 | (G49 & G70) | (G49 & G79)	18	4	0.072603	2.2649
G16	4	G79 | G86	18	2	0.717098	2.1204
G16	5	G64 | G70	19	2	0.790794	2.0967
G16	6	G42 | G70	19	2	1.025996	1.8875
G16	7	G86 | (G33 & G79) | (G64 & G79)	18	4	0.565466	1.7720
G16	8	G86	18	1	0.661844	1.6757
G17	1	G20 & G64 & G87	19	3	0.222816	2.6647
G17	2	G64 & G75	18	2	0.355451	2.4820
G17	3	G20 & G64	19	2	0.444556	2.4429
G17	4	G64 & G87	19	2	0.465322	2.4222
G17	5	G53 & G64	18	2	0.465606	2.3719
G17	6	G54 & G87	18	2	0.568508	2.2690
G17	7	G20 & G87	19	2	0.719275	2.1682
G17	8	G64	19	1	0.446916	1.9406
G18	1	G21 | G30 | G99	16	3	0.388721	2.3488
G18	2	G17 | G21 | G99	17	3	0.587272	2.2002
G18	3	G53 | G99	16	2	0.759925	1.9776
G18	4	G58 | G99	16	2	0.842039	1.8955
G18	5	G17 | G99	16	2	0.864163	1.8733
G18	6	G21 | G99	16	2	0.930729	1.8068
G19	1	G77 | (G40 & G46)	18	3	0.133324	2.7042
G19	2	G36 | (G40 & G46)	18	3	0.397747	2.4398
G19	3	G46 | G77	18	2	0.613528	2.2240
G19	4	G77	18	1	0.133324	2.2042
G19	5	G45 & G77	17	2	0.639632	2.1479
G19	6	G77 | (G27 & G40 & G56)	17	4	0.216639	2.0709
G19	7	G77 | (G17 & G40 & G99) | (G17 & G74 & G99)	17	5	0.135739	1.7143
G20	1	G57 | (G21 & G55)	17	3	0.297658	2.4898
G20	2	G57 | (G21 & G4)	17	3	0.526336	2.2612
G20	3	G21 | G57 | (G17 & G81)	17	4	0.132880	2.1546
G20	4	G57 | (G17 & G21)	17	3	0.654694	2.1328
G20	5	G57 | (G21 & G75)	17	3	0.760703	2.0268
G20	6	G53 | G57	17	2	0.881328	1.9062
G20	7	G57 | G96	18	2	0.952991	1.8845
G21	1	G87 | (G68 & G93)	20	3	0.165555	2.7719
G21	2	G87	19	1	0.589549	1.7980
G22	1	G22	18	1	0.060681	2.2768
G23	1	G48 | G79 | G89	18	3	0.380785	2.4567
G23	2	G79 | G89 | (G15 & G48) | (G48 & G67)	18	5	0.229816	1.6702
G23	3	G79 | G89 | (G15 & G59) | (G59 & G67)	17	5	0.560112	1.2899
G24	1	G52 | G67 | G69	15	3	0.447184	2.2403
G24	2	G69 | (G75 & G97)	15	3	0.693542	1.9940
G24	3	G67 | G69	14	2	1.079961	1.6375
G24	4	G52 | G69	14	2	1.141949	1.6375
G25	1	G20 & (G98 | ~G74)	16	3	0.636361	2.1011
G25	2	G98 | ~G74	16	2	0.684795	2.0527
G25	3	G20 & ~G74	15	2	0.682792	2.0047
G25	4	~G74	15	1	0.686342	1.5012
G25	5	G98	15	1	0.861016	1.3265
G26	1	G5 & G69 & ~G3	17	3	0.424755	2.3627
G26	2	G39 & G69 & ~G3	18	3	0.894483	1.9430
G26	3	G39 & G69	17	2	1.361106	1.7875
G27	1	G86 & (G75 | G84)	19	3	0.323792	2.5637
G27	2	G75 & G86	19	2	0.485029	2.4025
G28	1	G36 | (G40 & G63)	15	3	0.431085	2.2564
G28	2	G40 | (G30 & G36)	16	3	1.212553	1.7375
G29	1	G16 & G68 & G69	18	3	0.444296	2.3932
G29	2	G1 & G62 & G69	18	3	0.630585	2.2069
G29	3	G1 & G16 & G62	17	3	0.626852	2.1606
G29	4	G69 & (G1 | G62)	17	3	0.630585	2.1569
G29	5	G1 & G69	17	2	0.665940	2.1216
G29	6	G62 & G69	18	2	0.828337	2.0092
G29	7	G1 & G58 & G62 & G69	17	4	0.480041	1.8075
G30	1	(G12 & G38) | (G12 & G76) | (G38 & G47) | (G47 & G76) | (G12 & G57 & G86) | (G47 & G57 & G86)	18	6	0.045760	1.8542
G31	1	G37 & G62	17	2	0.731988	2.0555
G31	2	G13 & G62	16	2	0.799446	1.9381
G32	1	G40 & G93 & G97	18	3	0.122733	2.7148
G32	2	G40 & G9 & G93	18	3	0.448751	2.3887
G32	3	G39 & G59 & G93	17	3	0.635326	2.1522
G32	4	G40 & G54 & G93	17	3	0.647837	2.1397
G32	5	G40 & G9 & G93 & G97	18	4	0.265204	2.0723
