generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty	avg_mlp_loss	min_mlp_loss	max_mlp_loss
0	10.04	1.91	6	14	0.460	0.0	1.0	1.2255	0.3764	1.4801
1	10.48	1.88	7	14	0.400	0.0	0.5	1.2453	0.3829	1.4839
2	11.04	1.82	7	14	0.350	0.0	0.5	1.1973	0.3885	1.4791
3	11.16	2.11	6	14	0.390	0.0	1.0	1.1712	0.1509	1.4753
4	12.10	2.11	6	14	0.380	0.0	1.5	1.2139	0.2911	1.4753
5	12.52	2.08	6	14	0.440	0.0	1.0	1.2500	0.2911	1.4805
6	12.72	2.04	6	16	0.440	0.0	1.5	1.2796	0.3328	1.4805
7	12.48	2.17	6	16	0.460	0.0	1.5	1.1935	0.3328	1.4817
8	12.74	2.07	7	16	0.350	0.0	1.5	1.1588	0.3328	1.4807
9	12.78	2.47	6	16	0.380	0.0	1.5	1.1311	0.3328	1.4622
10	12.64	2.63	6	16	0.250	0.0	1.5	1.1904	0.3328	1.4817
11	12.70	2.63	6	16	0.220	0.0	1.5	1.1905	0.3328	1.4662
12	12.90	2.59	6	16	0.240	0.0	1.5	1.1562	0.0965	1.4817
13	11.92	3.18	6	16	0.230	0.0	1.5	1.1325	0.0524	1.4636
14	13.02	2.72	9	16	0.180	0.0	1.0	1.1163	0.0965	1.4750
15	12.98	2.63	7	16	0.170	0.0	1.0	1.1956	0.4177	1.4603
16	12.82	2.80	8	16	0.140	0.0	1.0	1.1530	0.4584	1.4677
17	12.74	3.12	4	16	0.140	0.0	1.0	1.1378	0.2678	1.4544
18	12.68	2.93	6	16	0.190	0.0	1.0	1.0960	0.3459	1.4764
19	12.78	2.77	6	16	0.180	0.0	1.5	1.0610	0.1179	1.4544
20	12.52	3.21	6	16	0.180	0.0	1.5	1.0636	0.0574	1.4544
21	13.06	2.60	6	16	0.200	0.0	1.5	1.1088	0.4448	1.4713
22	12.78	2.47	9	16	0.140	0.0	1.0	1.0769	0.4129	1.4805
23	12.90	2.62	7	16	0.160	0.0	1.5	1.1641	0.2628	1.4647
24	12.64	3.10	6	16	0.170	0.0	1.0	1.1249	0.0965	1.4544
25	13.20	2.53	6	16	0.200	0.0	1.5	1.1450	0.2974	1.4639
26	13.34	2.56	7	16	0.110	0.0	0.5	1.1074	0.4394	1.4662
27	13.00	2.93	6	16	0.170	0.0	1.0	1.0754	0.2311	1.4622
28	12.84	2.56	8	16	0.150	0.0	1.0	1.0929	0.3497	1.4544
29	12.70	2.59	7	16	0.270	0.0	1.0	1.1221	0.3082	1.4805
30	13.32	2.34	6	16	0.160	0.0	1.0	1.1022	0.2077	1.4544
31	13.04	2.57	7	16	0.210	0.0	1.5	1.0609	0.2162	1.4544
32	12.84	2.64	7	16	0.180	0.0	1.5	1.1154	0.2096	1.4639
33	13.24	2.63	7	16	0.110	0.0	1.0	1.1253	0.0965	1.4778
34	12.34	2.86	6	16	0.210	0.0	1.0	1.0925	0.4724	1.4544
35	12.86	2.65	8	16	0.140	0.0	1.0	1.0964	0.3560	1.4753
36	12.94	2.87	6	16	0.160	0.0	1.0	1.0757	0.1623	1.4544
37	13.54	2.22	9	16	0.150	0.0	1.5	1.0466	0.1926	1.4544
38	13.24	2.54	8	16	0.110	0.0	0.5	1.1732	0.4844	1.4715
39	13.42	2.19	9	16	0.170	0.0	1.0	1.1352	0.4976	1.4715
40	13.28	2.61	5	16	0.150	0.0	1.0	1.0868	0.1179	1.4544
41	13.30	2.45	8	16	0.120	0.0	0.5	1.1127	0.5923	1.4670
42	13.06	2.67	6	16	0.200	0.0	1.0	1.1298	0.5957	1.4700
43	13.02	2.69	8	16	0.180	0.0	1.0	1.1135	0.0965	1.4817
44	13.14	2.73	7	16	0.190	0.0	1.5	1.1284	0.2185	1.4622
45	13.10	2.84	6	16	0.160	0.0	0.5	1.1220	0.7696	1.4553
46	12.76	2.57	6	16	0.180	0.0	1.0	1.1132	0.2638	1.4783
47	13.24	2.68	7	16	0.070	0.0	0.5	1.1398	0.3152	1.4783
48	13.52	2.63	6	16	0.170	0.0	1.0	1.1676	0.5491	1.4817
49	13.22	2.84	4	16	0.170	0.0	1.0	1.1422	0.0965	1.4805
50	13.24	2.58	6	16	0.160	0.0	1.0	1.1178	0.0846	1.4555
