Size	Network	Method	Binarization	Rep	Source_File	Gene	Position	Rule	Score	MSE	Correct	TP	FP	FN	TN	Precision	Recall	F1_score	Accuracy	DynamicAccuracy	N_Predictions	N_Errors	N_Regulators
10	size10_2	rules_WCSS_size10_2_1	WCSS	1	rules_by_gene.tsv	G1	1	G2 & G4 & G5	1.5875	1.347096	13	0	3	0	6	0	0	0	0.666666666666667	0.65	20	7	3
10	size10_2	rules_WCSS_size10_2_1	WCSS	1	rules_by_gene.tsv	G2	1	G5 & (G2 | G3)	2.6722	0.21529	19	1	1	1	6	0.5	0.5	0.5	0.777777777777778	0.95	20	1	2
10	size10_2	rules_WCSS_size10_2_1	WCSS	1	rules_by_gene.tsv	G3	1	G10 & G4 & G7	2.2162	0.571347	17	2	1	1	5	0.666666666666667	0.666666666666667	0.666666666666667	0.777777777777778	0.85	20	3	3
10	size10_2	rules_WCSS_size10_2_1	WCSS	1	rules_by_gene.tsv	G4	1	G3 | G6 | G8	1.7697	0.867759	14	1	2	1	5	0.333333333333333	0.5	0.4	0.666666666666667	0.7	20	6	3
10	size10_2	rules_WCSS_size10_2_1	WCSS	1	rules_by_gene.tsv	G5	1	G5 | (G3 & G6)	2.0578	0.679731	16	1	1	3	4	0.5	0.25	0.333333333333333	0.555555555555556	0.8	20	4	2
10	size10_2	rules_WCSS_size10_2_1	WCSS	1	rules_by_gene.tsv	G6	1	G10 & (G1 | G7)	2.4826	0.404884	19	1	2	1	5	0.333333333333333	0.5	0.4	0.666666666666667	0.95	20	1	3
10	size10_2	rules_WCSS_size10_2_1	WCSS	1	rules_by_gene.tsv	G7	1	G4 & G8	2.1774	0.560128	16	0	2	2	5	0	0	0	0.555555555555556	0.8	20	4	2
10	size10_2	rules_WCSS_size10_2_1	WCSS	1	rules_by_gene.tsv	G8	1	G6 | G7	2.7763	0.161183	20	0	2	1	6	0	0	0	0.666666666666667	1	20	0	2
10	size10_2	rules_WCSS_size10_2_1	WCSS	1	rules_by_gene.tsv	G9	1	G1 & G4 & G7	2.2761	0.561359	18	0	3	0	6	0	0	0	0.666666666666667	0.9	20	2	3
10	size10_2	rules_WCSS_size10_2_1	WCSS	1	rules_by_gene.tsv	G10	1	G6 & (G1 | G7)	2.3454	0.542104	19	0	3	0	6	0	0	0	0.666666666666667	0.95	20	1	3
