rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition	mlp_loss
1	G37 & G43 & G65	20	3	0.0	G37, G43, G65	3	1	0.12184994547723467
2	G37 & G43 & G65	20	3	0.0	G37, G43, G65	3	1	0.12184994547723467
3	G37 & G43 & G65	20	3	0.0	G37, G43, G65	3	1	0.12184994547723467
4	G37 & G43 & G65	20	3	0.0	G37, G43, G65	3	1	0.12184994547723467
5	G37 & G43 & G65	20	3	0.0	G37, G43, G65	3	1	0.12184994547723467
6	G37 & G43 & G65	20	3	0.0	G37, G43, G65	3	1	0.12184994547723467
7	G37 & G43 & G65	20	3	0.0	G37, G43, G65	3	1	0.12184994547723467
8	G37 & G43 & G65	20	3	0.0	G37, G43, G65	3	1	0.12184994547723467
9	G37 & G43 & G65	20	3	0.0	G37, G43, G65	3	1	0.12184994547723467
10	G37 & G43 & G65	20	3	0.0	G37, G43, G65	3	1	0.12184994547723467
11	G37 & G43 & G65	20	3	0.0	G37, G43, G65	3	1	0.12184994547723467
12	G37 & G43 & G65	20	3	0.0	G37, G43, G65	3	1	0.12184994547723467
13	G37 & G43 & G65	20	3	0.0	G37, G43, G65	3	1	0.12184994547723467
14	G3 & G37 & G70	20	3	0.0	G3, G37, G70	3	1	0.5098572194259715
15	G37 & G65	20	2	0.0	G37, G65	2	1	0.6605354355209312
16	G37 & G65	20	2	0.0	G37, G65	2	1	0.6605354355209312
17	G37 & G65	20	2	0.0	G37, G65	2	1	0.6605354355209312
18	G100 & G70	20	2	0.0	G100, G70	2	1	0.9842015566894403
19	G70	20	1	0.5	G70	1	1	1.0019241921738082
20	G70	20	1	0.5	G70	1	1	1.0019241921738082
21	G65 & (G17 | G48)	19	3	0.0	G17, G48, G65	3	1	0.4029310795239889
22	G18 & G3 & G37 & G65	19	4	0.5	G18, G3, G37, G65	4	1	0.3065993065604126
23	G43 & G65 & G99	18	3	0.0	G43, G65, G99	3	1	0.2040597241900555
24	G100 & G99	18	2	0.0	G100, G99	2	1	1.0052740488689378
25	G100 & G55	18	2	0.0	G100, G55	2	1	1.1049299219946365
26	G100 & G55	18	2	0.0	G100, G55	2	1	1.1049299219946365
27	G100 & G55	18	2	0.0	G100, G55	2	1	1.1049299219946365
28	G3 & G49 & G55	18	3	0.0	G3, G49, G55	3	1	1.1052458740781899
29	G61	18	1	0.5	G61	1	1	0.5901409368492412
30	G30	18	1	0.5	G30	1	1	1.1479602431709408
31	G18 & G28 & G3	17	3	0.0	G18, G28, G3	3	1	0.8982262205606771
32	G28 & G3	17	2	0.0	G28, G3	2	1	1.0163453066695853
33	G28 & G3	17	2	0.0	G28, G3	2	1	1.0163453066695853
34	G43 & G65	16	2	0.0	G43, G65	2	1	0.7227255284494182
35	G11	16	1	0.5	G11	1	1	0.573379716368239
36	G65	16	1	0.5	G65	1	1	0.7619602191260819
37	G65	16	1	0.5	G65	1	1	0.7619602191260819
38	G65	16	1	0.5	G65	1	1	0.7619602191260819
39	G65	16	1	0.5	G65	1	1	0.7619602191260819
40	G100 & G18 & G65	15	3	0.0	G100, G18, G65	3	1	0.4578520400180087
41	G18 & G43 & G65	15	3	0.0	G18, G43, G65	3	1	0.5925003572229289
42	G18 & G65	15	2	0.0	G18, G65	2	1	0.9578134025608596
43	G43 | (G17 & G37)	2	3	0.0	G17, G37, G43	3	1	0.2751472510446681
44	G43	2	1	0.5	G43	1	1	0.870220004721522
45	G58	2	1	0.5	G58	1	1	0.934456427104825
46	True	1	1	0.5	True	1	1	0.4656461633412224
47	G18 & G43	1	2	0.0	G18, G43	2	1	0.6297152146780683
48	G3 | ~G18 | ~G65	1	3	0.0	G18, G3, G65	3	1	0.8429066880829841
49	G18 & G3	1	2	0.0	G18, G3	2	1	0.9915305635542215
50	G18 & G3	1	2	0.0	G18, G3	2	1	0.9915305635542215
