rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition
1	G8 & G9	4	2	0.0	G8, G9	2	44
2	G8 & G9	4	2	0.0	G8, G9	2	44
3	G3 & ~G7	4	2	0.0	G3, G7	2	44
4	G3 & ~G7	4	2	0.0	G3, G7	2	44
5	G8 & G9	4	2	0.0	G8, G9	2	44
6	G8 & G9	4	2	0.0	G8, G9	2	44
7	G8 & G9	4	2	0.0	G8, G9	2	44
8	G3 & G9	4	2	0.0	G3, G9	2	44
9	G3 & ~G7	4	2	0.0	G3, G7	2	44
10	G8 & G9	4	2	0.0	G8, G9	2	44
11	G8 & G9	4	2	0.0	G8, G9	2	44
12	G8 & G9	4	2	0.0	G8, G9	2	44
13	G8 & G9	4	2	0.0	G8, G9	2	44
14	G8 & G9	4	2	0.0	G8, G9	2	44
15	G8 & G9	4	2	0.0	G8, G9	2	44
16	~G7	4	1	0.5	G7	1	44
17	G8 & (G10 | G3)	3	3	0.0	G10, G3, G8	3	44
18	G3 & G8	3	2	0.0	G3, G8	2	44
19	G3 & ~G6	3	2	0.0	G3, G6	2	44
20	G10 & G3	3	2	0.0	G10, G3	2	44
21	G3 & G8	3	2	0.0	G3, G8	2	44
22	G3 & G8	3	2	0.0	G3, G8	2	44
23	G3 & G8	3	2	0.0	G3, G8	2	44
24	G3 & G8	3	2	0.0	G3, G8	2	44
25	G10 & G8	3	2	0.0	G10, G8	2	44
26	G8	3	1	0.5	G8	1	44
27	G8	3	1	0.5	G8	1	44
28	G3	3	1	0.5	G3	1	44
29	G3	3	1	0.5	G3	1	44
30	G10	3	1	0.5	G10	1	44
31	G8	3	1	0.5	G8	1	44
32	G10	3	1	0.5	G10	1	44
33	G3	3	1	0.5	G3	1	44
34	G3	3	1	0.5	G3	1	44
35	G8	3	1	0.5	G8	1	44
36	G10 & G2	2	2	0.0	G10, G2	2	44
37	G1 & G10	2	2	0.0	G1, G10	2	44
38	G2 & G3	2	2	0.0	G2, G3	2	44
39	G10 & G7	2	2	0.0	G10, G7	2	44
40	G2 & G8	2	2	0.0	G2, G8	2	44
41	G3 | G4 | G8	2	3	0.0	G3, G4, G8	3	44
42	False	2	1	0.5	False	1	44
43	G3 & G7	1	2	0.0	G3, G7	2	44
44	G3 & G7 & G8	1	3	0.0	G3, G7, G8	3	44
45	~G8	1	1	0.5	G8	1	44
46	~G9	1	1	0.5	G9	1	44
47	~G8	1	1	0.5	G8	1	44
48	G7	0	1	0.5	G7	1	44
49	G7	0	1	0.5	G7	1	44
50	G7	0	1	0.5	G7	1	44
