generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty	avg_mlp_loss	min_mlp_loss	max_mlp_loss
0	10.06	6.03	1	19	0.380	0.0	1.0	0.7397	0.0848	1.6378
1	12.86	6.08	2	19	0.320	0.0	1.0	0.6135	0.0848	1.6378
2	14.12	6.30	1	19	0.280	0.0	1.0	0.5318	0.0848	1.6378
3	14.44	6.30	1	19	0.240	0.0	1.0	0.6066	0.0848	1.6378
4	16.64	4.78	2	19	0.200	0.0	1.0	0.5447	0.0998	1.6378
5	15.94	5.51	2	19	0.170	0.0	1.0	0.4167	0.0936	1.5675
6	16.52	5.25	2	19	0.170	0.0	1.5	0.3454	0.0833	1.5675
7	17.34	3.41	7	19	0.190	0.0	0.5	0.3637	0.0998	1.5675
8	17.06	4.63	1	19	0.100	0.0	1.0	0.3232	0.0982	1.3924
9	17.58	3.19	9	19	0.140	0.0	1.0	0.3462	0.0847	1.5675
10	17.96	3.14	2	19	0.120	0.0	0.5	0.2686	0.0998	0.9005
11	17.78	3.20	2	19	0.120	0.0	1.0	0.2787	0.0987	0.9005
12	17.82	3.53	2	19	0.140	0.0	0.5	0.3123	0.0998	1.6319
13	17.68	2.94	9	19	0.100	0.0	0.5	0.2978	0.0998	0.8691
14	17.68	3.29	2	19	0.170	0.0	1.0	0.3277	0.0998	1.3671
15	17.52	3.67	2	19	0.090	0.0	0.5	0.3191	0.0998	1.3671
16	16.86	4.79	2	19	0.160	0.0	0.5	0.3391	0.0895	1.3924
17	17.94	2.88	2	19	0.130	0.0	1.0	0.3291	0.0998	1.6378
18	17.28	3.59	2	19	0.160	0.0	0.5	0.3702	0.0998	1.3671
19	17.32	4.03	2	19	0.100	0.0	0.5	0.3123	0.0998	1.6319
20	16.94	4.13	1	19	0.150	0.0	0.5	0.4268	0.0998	1.6319
21	17.96	2.94	2	19	0.140	0.0	0.5	0.3039	0.0813	1.5675
22	17.64	3.48	1	19	0.140	0.0	1.0	0.2864	0.0618	1.3671
23	17.76	3.67	2	19	0.100	0.0	0.5	0.2862	0.0998	1.3924
24	16.56	4.36	2	19	0.110	0.0	0.5	0.4393	0.0998	1.3924
25	18.44	2.08	7	19	0.080	0.0	1.0	0.2532	0.0920	0.9005
26	17.52	3.72	2	19	0.130	0.0	0.5	0.4002	0.0936	1.3671
27	17.24	4.38	2	19	0.090	0.0	0.5	0.3142	0.0998	1.5675
28	17.26	3.68	2	19	0.150	0.0	0.5	0.3787	0.0998	1.5675
29	17.70	2.69	10	19	0.120	0.0	0.5	0.3645	0.0895	1.3671
30	18.00	2.51	7	19	0.090	0.0	0.5	0.2914	0.0998	0.9005
31	17.42	4.01	1	19	0.140	0.0	1.0	0.3077	0.0987	1.3671
32	17.80	3.29	2	19	0.180	0.0	1.5	0.3293	0.0388	1.3671
33	16.92	4.29	2	19	0.180	0.0	1.0	0.3532	0.0824	1.5675
34	16.92	4.40	1	19	0.130	0.0	0.5	0.3133	0.0998	1.3671
35	17.66	3.27	1	19	0.120	0.0	0.5	0.3302	0.0998	1.3671
36	16.92	4.29	2	19	0.130	0.0	0.5	0.3585	0.0869	1.3924
37	17.30	4.06	1	19	0.110	0.0	0.5	0.3502	0.0998	1.5675
38	17.34	3.86	2	19	0.140	0.0	0.5	0.4159	0.0998	1.6319
39	17.52	3.85	2	19	0.150	0.0	0.5	0.3335	0.0869	1.3671
40	17.02	4.18	2	19	0.110	0.0	1.0	0.3423	0.0573	1.3924
41	16.18	5.59	2	19	0.170	0.0	1.5	0.3292	0.0273	1.6319
42	17.80	2.71	9	19	0.140	0.0	0.5	0.3951	0.0998	1.5675
43	17.88	2.45	9	19	0.160	0.0	1.0	0.3796	0.0476	1.3924
44	17.58	3.48	2	19	0.110	0.0	0.5	0.3296	0.0998	0.9005
45	17.76	3.19	2	19	0.110	0.0	0.5	0.3487	0.0998	1.6319
46	17.62	2.79	9	19	0.110	0.0	0.5	0.3867	0.0998	1.3671
47	17.74	2.54	10	19	0.120	0.0	0.5	0.3709	0.0998	1.3671
48	17.46	3.92	2	19	0.090	0.0	0.5	0.3330	0.0476	1.5675
49	17.82	3.49	2	19	0.110	0.0	0.5	0.3653	0.0998	1.6319
50	16.90	4.85	2	19	0.120	0.0	0.5	0.3345	0.0998	1.6319
