generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty	avg_mlp_loss	min_mlp_loss	max_mlp_loss
0	9.92	2.66	6	16	0.400	0.0	1.0	0.8051	0.1791	1.0820
1	11.20	2.35	6	16	0.320	0.0	1.0	0.7397	0.0910	1.0809
2	11.62	2.41	6	16	0.310	0.0	1.0	0.8406	0.3767	1.0809
3	11.46	2.88	5	16	0.370	0.0	1.0	0.8323	0.3162	1.0831
4	11.68	3.06	5	16	0.310	0.0	0.5	0.7880	0.2614	1.0781
5	12.74	2.61	6	17	0.260	0.0	0.5	0.7903	0.3850	1.0825
6	13.22	2.74	5	17	0.290	0.0	1.0	0.7720	0.3730	1.0812
7	12.78	3.38	5	17	0.170	0.0	0.5	0.7910	0.3214	1.0820
8	13.32	3.40	4	17	0.200	0.0	0.5	0.7970	0.3115	1.0843
9	13.40	3.22	6	17	0.100	0.0	0.5	0.7850	0.1843	1.0816
10	13.50	3.18	5	17	0.180	0.0	1.0	0.7586	0.4427	1.0769
11	12.60	3.59	5	17	0.160	0.0	0.5	0.7569	0.1458	1.0792
12	13.24	3.43	6	17	0.160	0.0	0.5	0.7774	0.3449	1.0840
13	14.02	3.03	8	17	0.100	0.0	0.5	0.7490	0.4249	1.0768
14	13.28	3.44	7	17	0.150	0.0	0.5	0.7437	0.3946	1.0769
15	13.28	3.13	6	17	0.170	0.0	0.5	0.7464	0.2894	1.0769
16	13.04	3.05	5	17	0.200	0.0	1.0	0.7780	0.2725	1.0831
17	14.04	3.12	4	17	0.090	0.0	1.0	0.7206	0.2745	1.0769
18	13.16	3.31	6	17	0.100	0.0	0.5	0.7342	0.2521	1.0769
19	13.52	3.30	6	17	0.060	0.0	0.5	0.7714	0.3750	1.0803
20	14.06	2.58	8	17	0.100	0.0	0.5	0.7266	0.2569	1.0769
21	13.80	2.91	5	17	0.080	0.0	1.0	0.7428	0.2288	1.0769
22	13.34	3.13	6	17	0.090	0.0	0.5	0.7337	0.3119	1.0709
23	13.16	3.29	5	17	0.120	0.0	0.5	0.7342	0.3946	1.0769
24	12.92	3.71	6	17	0.100	0.0	1.0	0.6935	0.1894	1.0698
25	13.64	3.36	6	17	0.150	0.0	0.5	0.7096	0.1792	1.0769
26	14.32	2.66	6	17	0.130	0.0	0.5	0.7337	0.3946	1.0809
27	13.70	3.64	3	17	0.070	0.0	0.5	0.6738	0.3041	1.0769
28	14.38	2.42	8	17	0.160	0.0	1.0	0.6224	0.2385	1.0769
29	14.26	2.70	6	17	0.140	0.0	0.5	0.6172	0.2561	1.0769
30	13.64	2.98	6	17	0.190	0.0	1.0	0.6007	0.0606	1.0695
31	13.74	3.35	6	17	0.150	0.0	0.5	0.6344	0.2561	1.0438
32	13.20	3.57	5	17	0.130	0.0	1.0	0.6380	0.1976	1.0471
33	13.66	3.25	5	17	0.190	0.0	1.0	0.6383	0.2599	1.0530
34	13.82	2.93	5	17	0.190	0.0	0.5	0.6276	0.0904	1.0825
35	13.34	2.89	6	17	0.230	0.0	0.5	0.6678	0.0964	1.0769
36	14.26	2.46	7	17	0.210	0.0	1.0	0.6645	0.2561	1.0769
37	13.82	2.48	8	17	0.140	0.0	1.0	0.5989	0.1169	1.0530
38	14.30	2.75	5	17	0.150	0.0	0.5	0.6317	0.2561	1.0769
39	13.66	2.93	5	17	0.150	0.0	1.0	0.6739	0.0964	1.0769
40	13.62	2.74	7	17	0.110	0.0	1.0	0.6477	0.1169	1.0769
41	13.58	2.76	7	17	0.170	0.0	1.5	0.6285	0.0597	1.0769
42	13.18	3.25	6	17	0.140	0.0	1.5	0.6216	0.2067	1.0769
43	13.90	2.87	5	17	0.110	0.0	0.5	0.6544	0.2546	1.0809
44	14.22	2.39	10	17	0.150	0.0	0.5	0.6638	0.2561	1.0769
45	14.38	2.77	7	17	0.100	0.0	0.5	0.6088	0.0964	1.0769
46	14.08	2.98	7	17	0.130	0.0	1.0	0.6475	0.0597	1.0389
47	14.06	3.01	6	17	0.140	0.0	1.0	0.6214	0.2672	1.0678
48	13.84	2.91	6	17	0.160	0.0	0.5	0.5880	0.0964	1.0769
49	13.76	3.08	5	17	0.120	0.0	0.5	0.6631	0.0707	1.0825
50	14.06	2.67	7	17	0.140	0.0	1.0	0.6547	0.1135	1.0769
