rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition	mlp_loss
1	G8 | (G10 & ~G2)	15	3	0.0	G10, G2, G8	3	8	0.6908119506368531
2	G8 | (G3 & ~G2)	15	3	0.0	G2, G3, G8	3	8	0.8549746479234942
3	G8 | (G3 & ~G2)	15	3	0.0	G2, G3, G8	3	8	0.8549746479234942
4	G8 | (G3 & ~G2)	15	3	0.0	G2, G3, G8	3	8	0.8549746479234942
5	G8 | (G3 & ~G2)	15	3	0.0	G2, G3, G8	3	8	0.8549746479234942
6	G8 | (G3 & ~G2)	15	3	0.0	G2, G3, G8	3	8	0.8549746479234942
7	G8 | (G3 & ~G2)	15	3	0.0	G2, G3, G8	3	8	0.8549746479234942
8	G8 | (G3 & ~G2)	15	3	0.0	G2, G3, G8	3	8	0.8549746479234942
9	G8 | (G3 & ~G2)	15	3	0.0	G2, G3, G8	3	8	0.8549746479234942
10	G8 | (G3 & ~G2)	15	3	0.0	G2, G3, G8	3	8	0.8549746479234942
11	G8 | (G3 & ~G2)	15	3	0.0	G2, G3, G8	3	8	0.8549746479234942
12	G8 | (G3 & ~G2)	15	3	0.0	G2, G3, G8	3	8	0.8549746479234942
13	G8 | (G3 & ~G2)	15	3	0.0	G2, G3, G8	3	8	0.8549746479234942
14	G8 | (G3 & ~G2)	15	3	0.0	G2, G3, G8	3	8	0.8549746479234942
15	G8 | ~G10	14	2	0.0	G10, G8	2	8	1.6099054911821664
16	G8 | ~G2	14	2	0.0	G2, G8	2	8	1.6598527608222977
17	G8 | (~G2 & ~G3 & ~G6)	14	4	0.5	G2, G3, G6, G8	4	8	0.5913622143377254
18	G8	14	1	0.5	G8	1	8	1.5418928701742718
19	G8	14	1	0.5	G8	1	8	1.5418928701742718
20	G8	14	1	0.5	G8	1	8	1.5418928701742718
21	G8	14	1	0.5	G8	1	8	1.5418928701742718
22	G8	14	1	0.5	G8	1	8	1.5418928701742718
23	G8	14	1	0.5	G8	1	8	1.5418928701742718
24	G8 & ~G3 & ~G4	13	3	0.0	G3, G4, G8	3	8	1.1545938366534034
25	G2 & ~G9	13	2	0.0	G2, G9	2	8	1.8307581810194615
26	~G9	13	1	0.5	G9	1	8	1.6424051580482633
27	G2 | G3 | G8	12	3	0.0	G2, G3, G8	3	8	0.8549746479234942
28	G8 | ~G6	12	2	0.0	G6, G8	2	8	1.6520217762089584
29	G3 | ~G4	12	2	0.0	G3, G4	2	8	1.7338583230806321
30	G7 | ~G5	12	2	0.0	G5, G7	2	8	1.8313187536901478
31	G2 | G3 | G7 | G8	12	4	0.5	G2, G3, G7, G8	4	8	0.7493075276961931
32	G10 | G8	11	2	0.0	G10, G8	2	8	1.6099054911821664
33	G2 | G3	11	2	0.0	G2, G3	2	8	1.7874830007089044
34	True	11	1	0.5	True	1	8	1.7874830007089044
35	G2 | G3 | G6 | G8	11	4	0.5	G2, G3, G6, G8	4	8	0.5913622143377254
36	G2 | G3 | G6 | G8	11	4	0.5	G2, G3, G6, G8	4	8	0.5913622143377254
37	~G2	11	1	0.5	G2	1	8	1.8363786881562814
38	~G2	11	1	0.5	G2	1	8	1.8363786881562814
39	G2 | G3 | ~G8	10	3	0.0	G2, G3, G8	3	8	0.8549746479234942
40	G2 | G6	10	2	0.0	G2, G6	2	8	1.9233304792461547
41	~G6	10	1	0.5	G6	1	8	1.9224413643196925
42	G3 | G6	9	2	0.0	G3, G6	2	8	1.8473816028127275
43	G2	9	1	0.5	G2	1	8	1.8363786881562814
44	G2 | (~G10 & ~G4)	8	3	0.0	G10, G2, G4	3	8	0.9368281834743899
45	G10 | G3 | G4	8	3	0.0	G10, G3, G4	3	8	1.5149674191535363
46	G3	8	1	0.5	G3	1	8	1.7874830007089044
47	G4	8	1	0.5	G4	1	8	1.7365228961829657
48	~G8 & (G2 | G3)	7	3	0.0	G2, G3, G8	3	8	0.8549746479234942
49	~G6 & ~G8	7	2	0.0	G6, G8	2	8	1.6520217762089584
50	~G8	6	1	0.5	G8	1	8	1.5418928701742718
