rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition	mlp_loss
1	G10 & (G7 | G8)	18	3	0.0	G10, G7, G8	3	6	0.43646697099927334
2	G10 & (G7 | G8)	18	3	0.0	G10, G7, G8	3	6	0.43646697099927334
3	G10 & (G7 | G8)	18	3	0.0	G10, G7, G8	3	6	0.43646697099927334
4	G10 & (G7 | G8)	18	3	0.0	G10, G7, G8	3	6	0.43646697099927334
5	G10 & (G7 | G8)	18	3	0.0	G10, G7, G8	3	6	0.43646697099927334
6	G10 & (G7 | G8)	18	3	0.0	G10, G7, G8	3	6	0.43646697099927334
7	G10 & (G7 | G8)	18	3	0.0	G10, G7, G8	3	6	0.43646697099927334
8	G10 & (G7 | G8)	18	3	0.0	G10, G7, G8	3	6	0.43646697099927334
9	G10 & (G7 | G8)	18	3	0.0	G10, G7, G8	3	6	0.43646697099927334
10	G10 & (G7 | G8)	18	3	0.0	G10, G7, G8	3	6	0.43646697099927334
11	G10 & (G7 | G8)	18	3	0.0	G10, G7, G8	3	6	0.43646697099927334
12	G10 & (G7 | G8)	18	3	0.0	G10, G7, G8	3	6	0.43646697099927334
13	G10	16	1	0.5	G10	1	6	0.3719454179746942
14	G10	16	1	0.5	G10	1	6	0.5087067097885558
15	G10	16	1	0.5	G10	1	6	0.5519916137252551
16	G10	16	1	0.5	G10	1	6	0.5544102608997077
17	G10	16	1	0.5	G10	1	6	0.5544102608997077
18	G10	16	1	0.5	G10	1	6	0.5544102608997077
19	G10	16	1	0.5	G10	1	6	0.5544102608997077
20	G10	16	1	0.5	G10	1	6	0.5544102608997077
21	G10	16	1	0.5	G10	1	6	0.5544102608997077
22	G10 | G7	15	2	0.0	G10, G7	2	6	0.3719454179746942
23	G10 | G5	15	2	0.0	G10, G5	2	6	0.539183748280111
24	G10 | G5	15	2	0.0	G10, G5	2	6	0.539183748280111
25	G10 | G5	15	2	0.0	G10, G5	2	6	0.539183748280111
26	G10 & G7	15	2	0.0	G10, G7	2	6	0.5519916137252551
27	G10 | G7	15	2	0.0	G10, G7	2	6	0.5519916137252551
28	G10 & G7	15	2	0.0	G10, G7	2	6	0.5519916137252551
29	G10 & G7	15	2	0.0	G10, G7	2	6	0.5519916137252551
30	G10 | G7	15	2	0.0	G10, G7	2	6	0.5519916137252551
31	G10 | G7	15	2	0.0	G10, G7	2	6	0.5519916137252551
32	G10 | G7	15	2	0.0	G10, G7	2	6	0.5519916137252551
33	G10 | G7	15	2	0.0	G10, G7	2	6	0.5519916137252551
34	G10 & G7	15	2	0.0	G10, G7	2	6	0.5519916137252551
35	G10 | G7	15	2	0.0	G10, G7	2	6	0.5519916137252551
36	G10 | G7	15	2	0.0	G10, G7	2	6	0.43092425699850173
37	G4 & G7	14	2	0.0	G4, G7	2	6	0.3719454179746942
38	G10 & G3 & G7	14	3	0.0	G10, G3, G7	3	6	0.4727932195114221
39	G7	14	1	0.5	G7	1	6	0.5519916137252551
40	G3 & G7	14	2	0.0	G3, G7	2	6	0.8145929147046407
41	(G10 | G4) & (G10 | G5) & (G4 | G7) & (G5 | G7)	14	4	0.5	G10, G4, G5, G7	4	6	0.35392727702018234
42	G8 | (G10 & G7)	13	3	0.0	G10, G7, G8	3	6	0.43646697099927334
43	G10 & G2	13	2	0.0	G10, G2	2	6	0.4913582506946201
44	G4 & G8	13	2	0.0	G4, G8	2	6	0.6845773059793949
45	G4 & G5	13	2	0.0	G4, G5	2	6	0.99399104676201
46	G8 | (G4 & G7)	13	3	0.0	G4, G7, G8	3	6	0.4006604047063689
47	G10 & G7 & G8	12	3	0.0	G10, G7, G8	3	6	0.43646753470725136
48	G8	10	1	0.5	G8	1	6	0.43646697099927334
49	~G8	10	1	0.5	G8	1	6	0.8164116955838665
50	~G10	4	1	0.5	G10	1	6	0.5544102608997077
