rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition
1	G2 | ~G8	4	2	0.0	G2, G8	2	48
2	G10 | G4 | G9	4	3	0.0	G10, G4, G9	3	48
3	G4 | G5	4	2	0.0	G4, G5	2	48
4	G4 | G9	4	2	0.0	G4, G9	2	48
5	G4 | G5	4	2	0.0	G4, G5	2	48
6	G4 | G5	4	2	0.0	G4, G5	2	48
7	G4 | G9	4	2	0.0	G4, G9	2	48
8	G4 | G5	4	2	0.0	G4, G5	2	48
9	G4 | G9	4	2	0.0	G4, G9	2	48
10	G4 | G5	4	2	0.0	G4, G5	2	48
11	G4 | G5	4	2	0.0	G4, G5	2	48
12	G5 | G7	4	2	0.0	G5, G7	2	48
13	G4 | G5	4	2	0.0	G4, G5	2	48
14	G4 | G5	4	2	0.0	G4, G5	2	48
15	G4 | G5	4	2	0.0	G4, G5	2	48
16	G4 | G9	4	2	0.0	G4, G9	2	48
17	G4 | G9	4	2	0.0	G4, G9	2	48
18	G4 | G5	4	2	0.0	G4, G5	2	48
19	G10 | G4 | G9	4	3	0.0	G10, G4, G9	3	48
20	G4 | G5	4	2	0.0	G4, G5	2	48
21	G4 | G9	4	2	0.0	G4, G9	2	48
22	G4 | G9	4	2	0.0	G4, G9	2	48
23	G4 | G9	4	2	0.0	G4, G9	2	48
24	G4 | G9	4	2	0.0	G4, G9	2	48
25	G4 | G9	4	2	0.0	G4, G9	2	48
26	G4 | G9	4	2	0.0	G4, G9	2	48
27	G5	4	1	0.5	G5	1	48
28	G5	4	1	0.5	G5	1	48
29	G5	4	1	0.5	G5	1	48
30	G2 | ~G9	3	2	0.0	G2, G9	2	48
31	G1 | G5	3	2	0.0	G1, G5	2	48
32	G5 | G6	3	2	0.0	G5, G6	2	48
33	G4 | G7	3	2	0.0	G4, G7	2	48
34	G10 | G4	3	2	0.0	G10, G4	2	48
35	G5 | G6	3	2	0.0	G5, G6	2	48
36	G4 & G5	3	2	0.0	G4, G5	2	48
37	G3 | G4	3	2	0.0	G3, G4	2	48
38	G4	3	1	0.5	G4	1	48
39	G4	3	1	0.5	G4	1	48
40	G4	3	1	0.5	G4	1	48
41	G1 | G3 | G4 | G8 | G9	3	5	1.0	G1, G3, G4, G8, G9	5	48
42	G1 | G9	2	2	0.0	G1, G9	2	48
43	G9	2	1	0.5	G9	1	48
44	~G9	2	1	0.5	G9	1	48
45	G9	2	1	0.5	G9	1	48
46	G8 | G9 | (G3 & G4)	2	4	0.5	G3, G4, G8, G9	4	48
47	G1 | G8 | (G2 & G6) | (G4 & G9)	2	6	1.5	G1, G2, G4, G6, G8, G9	6	48
48	G2 | G8	1	2	0.0	G2, G8	2	48
49	~G4	1	1	0.5	G4	1	48
50	~G4	1	1	0.5	G4	1	48
