rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition	mlp_loss
1	G5 & (G7 | G9)	20	3	0.0	G5, G7, G9	3	1	0.20104889835886286
2	G5 & (G7 | G9)	20	3	0.0	G5, G7, G9	3	1	0.20104889835886286
3	G5 & (G7 | G9)	20	3	0.0	G5, G7, G9	3	1	0.20104889835886286
4	G5 & ~G10 & (G1 | G9)	20	4	0.5	G1, G10, G5, G9	4	1	0.028962759741364644
5	G5 & ~G10 & (G1 | G9)	20	4	0.5	G1, G10, G5, G9	4	1	0.028962759741364644
6	G5 & ~G10 & (G1 | G9)	20	4	0.5	G1, G10, G5, G9	4	1	0.028962759741364644
7	G5 & ~G10 & (G1 | G9)	20	4	0.5	G1, G10, G5, G9	4	1	0.028962759741364644
8	G5 & ~G10 & (G1 | G9)	20	4	0.5	G1, G10, G5, G9	4	1	0.028962759741364644
9	G5 & (G3 | G9) & (G7 | G9)	20	4	0.5	G3, G5, G7, G9	4	1	0.16167281854543897
10	G5 & ~G10 & (G7 | G9)	20	4	0.5	G10, G5, G7, G9	4	1	0.23734128085976153
11	G5 & ~G10 & (G7 | G9)	20	4	0.5	G10, G5, G7, G9	4	1	0.23734128085976153
12	G9 | (G5 & G7)	19	3	0.0	G5, G7, G9	3	1	0.20104889835886286
13	G5 & G9	19	2	0.0	G5, G9	2	1	0.5422900748395938
14	G5 & G9	19	2	0.0	G5, G9	2	1	0.5422900748395938
15	G9 & ~G10	18	2	0.0	G10, G9	2	1	0.1499677713237667
16	G5 & G7 & G9	18	3	0.0	G5, G7, G9	3	1	0.20104889835886286
17	G5 & G7 & G9	18	3	0.0	G5, G7, G9	3	1	0.20104889835886286
18	G9	18	1	0.5	G9	1	1	0.35763685868390654
19	G9	18	1	0.5	G9	1	1	0.35763685868390654
20	G7 & G9	18	2	0.0	G7, G9	2	1	0.5730833031679655
21	G9	18	1	0.5	G9	1	1	0.5724792650711202
22	G5	17	1	0.5	G5	1	1	0.20104889835886286
23	G5 & G7 & ~G9	17	3	0.0	G5, G7, G9	3	1	0.20104889835886286
24	G1 & G9	17	2	0.0	G1, G9	2	1	0.46937533454086994
25	G8 & G9	17	2	0.0	G8, G9	2	1	0.5517587681329589
26	G1 & G5 & G7 & G9	17	4	0.5	G1, G5, G7, G9	4	1	0.1712852747800212
27	G5	17	1	0.5	G5	1	1	0.8559353258438549
28	G5	17	1	0.5	G5	1	1	0.8559353258438549
29	G5	17	1	0.5	G5	1	1	0.8559353258438549
30	G5	17	1	0.5	G5	1	1	0.8559353258438549
31	G7 & G9 & (G10 | G8) & (G3 | G8)	17	5	1.0	G10, G3, G7, G8, G9	5	1	0.3560463154373651
32	G1 & G3 & G9	16	3	0.0	G1, G3, G9	3	1	0.4194117857977221
33	G10 & G5 & G9	16	3	0.0	G10, G5, G9	3	1	0.5331647754030654
34	G5 & G8 & G9 & (G10 | G2)	16	5	1.0	G10, G2, G5, G8, G9	5	1	0.013790383384893037
35	G3 & G5 & G7 & (G10 | G2)	16	5	1.0	G10, G2, G3, G5, G7	5	1	0.053663751362639386
36	G7 & G9 & (G10 | G2 | G6) & (G10 | G2 | G8)	16	6	1.5	G10, G2, G6, G7, G8, G9	6	1	0.0077655091165832885
37	G2 & G9	15	2	0.0	G2, G9	2	1	0.4756875784204996
38	G9 & ~G5	15	2	0.0	G5, G9	2	1	0.5422900748395938
39	G2 & G5	15	2	0.0	G2, G5	2	1	0.8231992102118733
40	G10 & G7	15	2	0.0	G10, G7	2	1	1.206095439956798
41	G1 & G7	14	2	0.0	G1, G7	2	1	0.7320729868171959
42	G3 & G7	14	2	0.0	G3, G7	2	1	0.9328494246244694
43	G7	14	1	0.5	G7	1	1	1.0639347257070515
44	G10 & ~G5 & ~G9	13	3	0.0	G10, G5, G9	3	1	0.5331647754030654
45	G10 | G4	11	2	0.0	G10, G4	2	1	1.1106028159460157
46	G5 | (G1 & ~G10) | (G9 & ~G10)	9	4	0.5	G1, G10, G5, G9	4	1	0.028962759741364644
47	G3 | (G5 & G7 & G9)	7	4	0.5	G3, G5, G7, G9	4	1	0.16167281854543897
48	G1	6	1	0.5	G1	1	1	0.6983112241039047
49	G3	6	1	0.5	G3	1	1	1.0055242976319252
50	~G9 | (G2 & G8)	1	3	0.0	G2, G8, G9	3	1	0.2186919746685834
