generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty	avg_mlp_loss	min_mlp_loss	max_mlp_loss
0	10.84	2.70	5	16	0.330	0.0	1.0	1.1954	0.1573	1.4894
1	11.24	2.94	4	16	0.300	0.0	1.0	1.1856	0.1600	1.4891
2	12.36	2.78	5	16	0.260	0.0	1.0	1.2097	0.1600	1.4891
3	11.94	3.06	5	16	0.260	0.0	1.0	1.1611	0.1093	1.4786
4	13.18	2.75	5	16	0.220	0.0	1.0	1.2523	0.7132	1.4875
5	12.88	3.47	4	16	0.310	0.0	0.5	1.1873	0.2989	1.4875
6	12.62	3.79	4	16	0.320	0.0	1.0	1.1649	0.1699	1.4706
7	13.16	3.48	4	16	0.350	0.0	1.5	1.1599	0.6386	1.4770
8	13.66	3.17	4	16	0.300	0.0	1.5	1.1175	0.0569	1.4879
9	13.42	3.05	6	16	0.190	0.0	1.0	1.1995	0.2049	1.4894
10	13.28	3.33	5	16	0.150	0.0	0.5	1.1641	0.4217	1.4879
11	12.44	3.77	4	16	0.160	0.0	1.0	1.0721	0.3220	1.4894
12	12.36	4.03	3	16	0.160	0.0	1.0	1.1292	0.3220	1.4778
13	13.22	3.39	4	17	0.170	0.0	1.5	1.0346	0.0398	1.4625
14	12.94	3.37	5	17	0.140	0.0	1.0	1.0776	0.1699	1.4437
15	13.20	3.75	4	17	0.140	0.0	1.0	1.0396	0.1411	1.4460
16	12.64	3.92	3	17	0.230	0.0	1.5	1.0261	0.2014	1.4688
17	13.92	2.95	4	17	0.160	0.0	1.0	1.0158	0.5562	1.4881
18	13.70	3.24	5	17	0.160	0.0	1.0	0.9693	0.3315	1.4894
19	14.60	2.30	8	17	0.060	0.0	0.5	1.0396	0.5676	1.3995
20	13.92	2.97	6	17	0.150	0.0	1.0	1.0578	0.1525	1.4879
21	13.84	2.67	8	17	0.140	0.0	0.5	1.1333	0.4316	1.4894
22	13.58	3.08	6	17	0.120	0.0	1.5	1.1192	0.1527	1.4894
23	13.80	3.05	6	17	0.090	0.0	0.5	1.1336	0.2631	1.4894
24	14.64	2.99	4	17	0.160	0.0	1.0	1.0349	0.4075	1.4861
25	14.18	2.61	9	17	0.160	0.0	1.0	1.0989	0.6111	1.4859
26	14.50	2.53	10	17	0.100	0.0	1.0	1.0825	0.6008	1.4595
27	14.72	2.76	8	17	0.120	0.0	1.0	1.0680	0.2230	1.4881
28	14.12	3.08	7	17	0.120	0.0	0.5	1.0887	0.5676	1.4891
29	14.14	2.54	8	17	0.140	0.0	0.5	1.0618	0.1476	1.4508
30	14.38	2.76	7	17	0.130	0.0	1.0	1.0243	0.1246	1.3924
31	14.38	3.22	4	17	0.210	0.0	1.5	1.0124	0.0856	1.4691
32	14.68	2.67	7	17	0.120	0.0	1.0	1.0212	0.0898	1.4684
33	14.74	2.76	4	17	0.130	0.0	0.5	1.0482	0.6242	1.4769
34	14.26	3.17	5	17	0.150	0.0	0.5	1.0608	0.5676	1.4409
35	14.64	2.70	7	17	0.170	0.0	1.0	1.0342	0.2863	1.4769
36	14.22	2.70	9	17	0.140	0.0	0.5	1.0835	0.3020	1.4652
37	13.88	2.98	7	17	0.100	0.0	1.0	1.0463	0.2863	1.4764
38	14.66	2.58	9	17	0.090	0.0	0.5	1.0666	0.5425	1.4881
39	14.58	2.71	7	17	0.110	0.0	0.5	1.0578	0.3581	1.4843
40	14.20	2.86	8	17	0.150	0.0	1.0	1.0198	0.1419	1.4349
41	14.88	2.55	9	17	0.040	0.0	0.5	1.0100	0.2381	1.4588
42	13.94	3.33	4	17	0.130	0.0	0.5	1.0779	0.5596	1.3932
43	14.08	2.88	5	17	0.100	0.0	1.0	1.0818	0.4075	1.4759
44	14.62	2.56	9	17	0.100	0.0	0.5	1.0865	0.7952	1.3924
45	14.02	2.65	7	17	0.160	0.0	1.0	1.0316	0.2616	1.4341
46	13.96	2.68	8	17	0.140	0.0	1.5	1.0278	0.3238	1.3857
47	14.20	2.62	9	17	0.160	0.0	1.0	1.0951	0.3446	1.4763
48	13.84	2.84	8	17	0.100	0.0	1.0	1.0448	0.3446	1.4780
49	13.58	3.33	4	17	0.120	0.0	1.0	1.0589	0.4227	1.4215
50	14.14	2.72	7	17	0.130	0.0	1.0	1.0568	0.3733	1.4215
