generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty	avg_mlp_loss	min_mlp_loss	max_mlp_loss
0	9.28	7.45	0	20	0.350	0.0	1.0	0.8063	0.0617	1.5374
1	13.00	7.20	0	20	0.270	0.0	0.5	0.8063	0.1587	1.5374
2	14.34	7.12	0	20	0.280	0.0	1.0	0.7793	0.0655	1.4647
3	16.16	5.99	0	20	0.290	0.0	0.5	0.8554	0.2023	1.5374
4	17.16	4.65	1	20	0.200	0.0	0.5	0.7080	0.1413	1.4647
5	14.96	6.73	1	20	0.180	0.0	1.0	0.6739	0.0910	1.5374
6	16.20	6.00	1	20	0.180	0.0	0.5	0.6747	0.2411	1.4647
7	15.98	6.73	0	20	0.120	0.0	0.5	0.5100	0.2694	1.1329
8	17.12	5.49	2	20	0.080	0.0	0.5	0.4776	0.1182	1.2509
9	16.16	6.26	2	20	0.110	0.0	0.5	0.4998	0.1182	1.2988
10	15.98	6.67	1	20	0.100	0.0	1.0	0.5306	0.0376	1.2810
11	15.70	6.54	0	20	0.170	0.0	1.0	0.5584	0.1023	1.5374
12	17.52	5.52	0	20	0.130	0.0	1.0	0.4254	0.0928	1.2729
13	16.40	6.91	0	20	0.190	0.0	1.0	0.5533	0.1023	1.5374
14	15.66	7.18	0	20	0.140	0.0	1.0	0.4815	0.0388	1.4271
15	14.96	7.38	0	20	0.160	0.0	1.0	0.4889	0.0333	1.5374
16	15.98	6.88	0	20	0.150	0.0	0.5	0.5030	0.0991	1.2988
17	16.86	6.11	1	20	0.200	0.0	1.0	0.5395	0.0747	1.5374
18	17.58	4.90	5	20	0.140	0.0	0.5	0.5401	0.1021	1.4647
19	15.96	6.62	1	20	0.140	0.0	1.0	0.4402	0.1142	1.2988
20	16.52	6.13	0	20	0.080	0.0	1.0	0.4538	0.1023	1.5374
21	15.96	6.51	1	20	0.130	0.0	1.0	0.4755	0.1142	1.2988
22	16.60	5.79	0	20	0.130	0.0	1.0	0.4519	0.1162	1.4271
23	14.88	7.29	2	20	0.110	0.0	1.0	0.5404	0.1541	1.5374
24	16.66	5.99	0	20	0.120	0.0	1.0	0.5067	0.0455	1.2988
25	16.20	6.26	0	20	0.050	0.0	0.5	0.4738	0.1413	1.5374
26	16.70	5.56	2	20	0.100	0.0	0.5	0.5012	0.1142	1.5374
27	16.00	5.90	1	20	0.090	0.0	0.5	0.5012	0.1391	1.4647
28	15.42	6.45	1	20	0.100	0.0	0.5	0.4848	0.0533	1.2988
29	15.44	6.54	2	20	0.090	0.0	0.5	0.5131	0.1021	1.5374
30	17.44	5.51	0	20	0.100	0.0	0.5	0.4739	0.1391	1.2988
31	17.06	5.48	2	20	0.140	0.0	1.0	0.4613	0.0376	1.1329
32	15.74	6.76	1	20	0.080	0.0	0.5	0.5120	0.0376	1.4626
33	14.82	6.99	0	20	0.160	0.0	1.0	0.5048	0.1195	1.5374
34	16.48	5.69	2	20	0.150	0.0	1.0	0.5377	0.1021	1.4647
35	15.88	6.24	0	20	0.090	0.0	0.5	0.4829	0.1142	1.2988
36	15.80	6.52	1	20	0.120	0.0	0.5	0.4985	0.1053	1.5374
37	16.60	6.34	1	20	0.120	0.0	0.5	0.4599	0.1142	1.2988
38	15.44	6.75	1	20	0.160	0.0	1.0	0.4510	0.1142	0.9767
39	16.60	6.14	1	20	0.060	0.0	0.5	0.4742	0.0910	1.2988
40	16.94	5.96	0	20	0.140	0.0	1.0	0.4948	0.1587	1.5374
41	17.20	4.83	2	20	0.120	0.0	0.5	0.4530	0.1021	1.5374
42	17.06	5.54	0	20	0.080	0.0	0.5	0.5180	0.1142	1.4271
43	17.22	5.74	1	20	0.140	0.0	0.5	0.6389	0.1443	1.5374
44	16.20	6.59	0	20	0.110	0.0	0.5	0.5298	0.1230	1.4647
45	16.96	5.43	0	20	0.140	0.0	1.0	0.4922	0.0525	1.2810
46	16.42	6.43	0	20	0.140	0.0	1.0	0.5388	0.2022	1.2988
47	14.74	7.13	1	20	0.080	0.0	1.0	0.5264	0.0369	1.5018
48	15.12	6.92	2	20	0.150	0.0	1.0	0.5365	0.2023	1.2729
49	16.36	6.08	2	20	0.110	0.0	1.0	0.4478	0.0522	1.2988
50	16.12	6.38	2	20	0.100	0.0	0.5	0.5450	0.2023	1.5374
