generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty	avg_mlp_loss	min_mlp_loss	max_mlp_loss
0	7.98	6.30	1	18	0.390	0.0	0.5	1.1167	0.6447	1.3879
1	11.64	6.62	1	19	0.350	0.0	0.5	1.1350	0.5324	1.3879
2	15.06	5.68	1	19	0.290	0.0	0.5	1.1513	0.8309	1.3879
3	13.38	6.70	1	19	0.210	0.0	1.0	1.1330	0.5194	1.4345
4	14.06	6.69	1	19	0.150	0.0	0.5	1.1369	0.5295	1.3902
5	13.92	7.04	1	19	0.190	0.0	1.0	1.1047	0.5295	1.4345
6	15.58	5.37	1	19	0.140	0.0	0.5	1.0913	0.7199	1.4345
7	15.92	5.43	1	19	0.160	0.0	0.5	1.0401	0.2747	1.4345
8	13.84	7.01	1	19	0.130	0.0	0.5	1.0331	0.5918	1.4345
9	14.52	6.72	1	19	0.150	0.0	0.5	0.9951	0.3657	1.4113
10	15.02	6.34	1	19	0.180	0.0	1.0	1.0294	0.3573	1.4197
11	15.58	5.58	2	19	0.120	0.0	0.5	1.0165	0.3573	1.4345
12	15.98	5.75	2	19	0.120	0.0	0.5	0.9956	0.3573	1.4345
13	15.92	5.15	2	19	0.210	0.0	1.0	0.9165	0.2034	1.4113
14	15.74	5.52	1	19	0.120	0.0	0.5	0.9571	0.2630	1.4113
15	16.10	5.41	2	19	0.110	0.0	0.5	0.9441	0.3573	1.3879
16	16.22	5.27	2	19	0.140	0.0	1.0	0.9442	0.3573	1.3879
17	15.54	6.04	2	19	0.130	0.0	1.0	0.9302	0.3573	1.4345
18	17.20	4.32	3	19	0.170	0.0	1.0	0.8880	0.3276	1.4345
19	16.98	4.68	2	19	0.140	0.0	1.0	0.8721	0.3573	1.4345
20	15.50	6.02	2	19	0.120	0.0	1.0	0.9361	0.3396	1.4345
21	14.72	6.65	2	19	0.200	0.0	1.0	0.9077	0.3573	1.3705
22	16.06	5.43	2	19	0.100	0.0	1.0	0.8830	0.3573	1.4345
23	14.52	6.59	2	19	0.130	0.0	1.0	0.9331	0.3573	1.4345
24	14.42	6.91	1	19	0.190	0.0	1.0	0.9081	0.2034	1.4345
25	15.12	5.60	2	19	0.150	0.0	1.0	0.8882	0.3573	1.4345
26	15.34	5.65	2	19	0.130	0.0	1.0	0.9714	0.3573	1.4345
27	16.18	5.03	1	19	0.120	0.0	1.0	0.8908	0.3573	1.3902
28	15.36	5.58	2	19	0.080	0.0	0.5	0.9252	0.3573	1.4345
29	14.66	6.34	1	19	0.170	0.0	1.0	0.9109	0.3573	1.3879
30	15.90	4.83	2	19	0.150	0.0	1.0	0.9116	0.2025	1.4345
31	15.56	5.22	2	19	0.140	0.0	1.0	0.9221	0.2034	1.4197
32	15.24	5.56	1	19	0.090	0.0	1.0	0.9263	0.3573	1.4345
33	14.90	5.91	2	19	0.170	0.0	1.0	0.9105	0.3396	1.4345
34	15.82	5.54	2	19	0.100	0.0	0.5	0.8474	0.3573	1.4345
35	16.10	4.96	3	19	0.210	0.0	1.0	0.8885	0.2034	1.4345
36	16.02	5.09	2	19	0.140	0.0	1.0	0.9061	0.2034	1.4345
37	15.92	4.59	1	19	0.180	0.0	1.0	0.8423	0.0715	1.4345
38	16.50	4.39	2	19	0.160	0.0	1.0	0.8398	0.2025	1.3902
39	15.44	5.65	2	19	0.180	0.0	1.0	0.8998	0.2034	1.4197
40	16.34	4.60	2	19	0.200	0.0	0.5	0.8931	0.3573	1.3879
41	14.30	5.98	2	19	0.160	0.0	1.5	0.9325	0.3573	1.4345
42	15.12	5.82	2	19	0.100	0.0	0.5	0.8800	0.3573	1.4345
43	14.82	5.99	2	19	0.160	0.0	0.5	0.8546	0.3573	1.3879
44	15.04	5.51	1	19	0.170	0.0	1.0	0.8823	0.3573	1.4113
45	16.48	4.34	3	19	0.140	0.0	1.0	0.8530	0.3573	1.3902
46	14.66	5.96	1	19	0.090	0.0	0.5	0.8770	0.3573	1.3705
47	15.30	5.02	2	19	0.110	0.0	1.0	0.9152	0.3573	1.3705
48	13.90	6.71	2	19	0.160	0.0	1.0	0.9558	0.3573	1.4345
49	15.24	5.73	1	19	0.130	0.0	1.0	0.9268	0.3573	1.4345
50	15.02	5.39	1	19	0.150	0.0	1.0	0.8671	0.2034	1.4197
