combination_id	final_score	composite_score	n_basins	avg_cycle_length	basin_entropy	final_state_concordance	fixed_point_ratio	total_literals	total_nots	avg_k	std_k	k_distance_from_2	G1_position	G1_rule	G10_position	G10_rule	G2_position	G2_rule	G3_position	G3_rule	G4_position	G4_rule	G5_position	G5_rule	G6_position	G6_rule	G7_position	G7_rule	G8_position	G8_rule	G9_position	G9_rule	composite_score_old
1_1_1_4_3_3_1_2_0_0	0.019999999999999997	0.64	1	1.0	-0.0	0.8	1.0	27	9	2.7	0.45825756949558405	0.7000000000000002	62	~G10 & ~G7 & ~G9	60	~G7 | (G2 & G3)	31	G7 & G8 & ~G5	10	G1 & ~G4	4	G1 & G8	3	G8 | G9	59	G1 | (G2 & G7)	211	G1 | G9 | ~G3	65	~G10 & (G2 | G5)	55	~G7 | (G10 & G2)	0.64
0_1_0_4_3_2_4_2_1_1	0.020666666666666667	0.62	1	1.0	-0.0	0.9	1.0	27	11	2.7	0.45825756949558405	0.7000000000000002	63	G1 & (~G3 | ~G5)	60	~G7 | (G2 & G3)	30	~G1 & (~G5 | ~G7)	10	G1 & ~G4	4	G1 & G8	2	G3 | G8	56	G9 | (G8 & ~G7)	211	G1 | G9 | ~G3	80	G6 & (G8 | ~G3)	54	~G7 & (G6 | G8)	0.62
4_1_3_0_3_3_3_2_0_0	0.020666666666666667	0.62	1	1.0	-0.0	0.9	1.0	27	11	2.7	0.45825756949558405	0.7000000000000002	59	~G10 & ~G6 & ~G7	60	~G7 | (G2 & G3)	33	~G1 & ~G3 & ~G6	7	G1 & ~G6	4	G1 & G8	3	G8 | G9	57	G1 | (G10 & G6)	211	G1 | G9 | ~G3	65	~G10 & (G2 | G5)	55	~G7 | (G10 & G2)	0.62
0_2_1_3_3_1_0_2_0_1	0.02533333333333333	0.64	1	1.0	-0.0	0.8	1.0	27	10	2.7	0.45825756949558405	0.7000000000000002	63	G1 & (~G3 | ~G5)	59	~G3 & ~G5 & ~G7	31	G7 & G8 & ~G5	9	G1 & ~G9	4	G1 & G8	1	G1 | G8	60	G1 | (G10 & G2)	211	G1 | G9 | ~G3	65	~G10 & (G2 | G5)	54	~G7 & (G6 | G8)	0.64
0_0_2_3_3_1_3_2_0_0	0.02533333333333333	0.64	1	1.0	-0.0	0.8	1.0	27	10	2.7	0.45825756949558405	0.7000000000000002	63	G1 & (~G3 | ~G5)	61	~G2 & ~G5 & ~G7	32	G7 & G8 & ~G1	9	G1 & ~G9	4	G1 & G8	1	G1 | G8	57	G1 | (G10 & G6)	211	G1 | G9 | ~G3	65	~G10 & (G2 | G5)	55	~G7 | (G10 & G2)	0.64
0_3_2_3_1_1_3_2_0_0	0.02533333333333333	0.64	1	1.0	-0.0	0.8	1.0	27	10	2.7	0.45825756949558405	0.7000000000000002	63	G1 & (~G3 | ~G5)	58	G8 & ~G10 & ~G7	32	G7 & G8 & ~G1	9	G1 & ~G9	2	G1 & ~G4	1	G1 | G8	57	G1 | (G10 & G6)	211	G1 | G9 | ~G3	65	~G10 & (G2 | G5)	55	~G7 | (G10 & G2)	0.64
4_1_2_4_3_1_1_4_0_1	0.02533333333333333	0.64	1	1.0	-0.0	0.8	1.0	27	10	2.7	0.45825756949558405	0.7000000000000002	59	~G10 & ~G6 & ~G7	60	~G7 | (G2 & G3)	32	G7 & G8 & ~G1	10	G1 & ~G4	4	G1 & G8	1	G1 | G8	59	G1 | (G2 & G7)	213	G9 | ~G1 | ~G4	65	~G10 & (G2 | G5)	54	~G7 & (G6 | G8)	0.64
1_1_4_0_3_1_3_4_0_1	0.026	0.62	1	1.0	-0.0	0.9	1.0	27	12	2.7	0.45825756949558405	0.7000000000000002	62	~G10 & ~G7 & ~G9	60	~G7 | (G2 & G3)	34	~G1 & (~G6 | ~G7)	7	G1 & ~G6	4	G1 & G8	1	G1 | G8	57	G1 | (G10 & G6)	213	G9 | ~G1 | ~G4	65	~G10 & (G2 | G5)	54	~G7 & (G6 | G8)	0.62
0_1_4_0_3_1_4_1_0_0	0.026	0.62	1	1.0	-0.0	0.9	1.0	27	12	2.7	0.45825756949558405	0.7000000000000002	63	G1 & (~G3 | ~G5)	60	~G7 | (G2 & G3)	34	~G1 & (~G6 | ~G7)	7	G1 & ~G6	4	G1 & G8	1	G1 | G8	56	G9 | (G8 & ~G7)	210	G3 | ~G1 | ~G4	65	~G10 & (G2 | G5)	55	~G7 | (G10 & G2)	0.62
1_1_4_4_3_1_0_4_1_1	0.026	0.62	1	1.0	-0.0	0.9	1.0	27	12	2.7	0.45825756949558405	0.7000000000000002	62	~G10 & ~G7 & ~G9	60	~G7 | (G2 & G3)	34	~G1 & (~G6 | ~G7)	10	G1 & ~G4	4	G1 & G8	1	G1 | G8	60	G1 | (G10 & G2)	213	G9 | ~G1 | ~G4	80	G6 & (G8 | ~G3)	54	~G7 & (G6 | G8)	0.62
