Gen	Regla	Error	N_reguladores
G1	(!G6 & !G7 & G8 & !G9) | (G6 & !G8 & !G9 & !G10) | (G6 & !G7 & !G8 & !G9)	0	5
G2	(!G3 & !G5 & !G8 & !G10) | (!G3 & G5 & G8) | (G3 & !G5 & G8 & G10) | (G3 & G5 & !G8 & G10)	1	4
G3	(!G5 & !G10) | (!G5 & !G8) | (G4 & !G10)	0	4
G4	(!G2 & !G3 & !G4 & !G5 & !G7) | (!G2 & !G3 & G4 & G5 & !G7) | (!G2 & G3 & !G4 & G5 & G7) | (G2 & !G3 & !G4 & !G5 & G7) | (G2 & G3 & G4 & !G5 & G7)	0	5
G5	(!G4 & !G5 & !G7 & !G8) | (G5 & G7 & !G8) | (!G4 & G5 & G7) | (G4 & !G5 & !G7 & G8)	2	4
G6	(!G5 & !G8 & !G9 & !G10) | (G3 & !G8 & !G9 & G10) | (G3 & !G5 & !G9 & !G10)	0	5
G7	(G6 & !G7 & G10) | (!G4 & G6 & G7) | (G4 & !G6 & G7 & !G10)	0	4
G8	(!G6)	0	1
G9	(G5 & G9) | (G5 & G7)	0	3
G10	(!G3 & !G4 & !G7 & G8 & !G10) | (G3 & !G4 & !G7 & !G8 & !G10) | (G3 & G4 & !G7 & G10) | (G3 & G4 & G7 & !G8 & !G10)	0	5
